ticker,week_monday,week_friday,asof_target,drop_reason,detail
AAPL,2023-06-05,2023-06-09,2023-06-08,too_few_in_prn_band,kept=3 need=4 inside=8 used_abslogm=0.0600 spot_scale=split_adj
AAPL,2023-06-12,2023-06-16,2023-06-15,too_few_in_prn_band,kept=3 need=4 inside=9 used_abslogm=0.0600 spot_scale=split_adj
AAPL,2023-06-19,2023-06-23,2023-06-22,too_few_in_prn_band,kept=3 need=4 inside=9 used_abslogm=0.0600 spot_scale=split_adj
PLTR,2023-06-26,2023-06-30,2023-06-26,thin_band_inside,inside=5 raw=5 spot_scale=split_adj used_abslogm=0.1000 spot=13.940000 splits_preload=0
AAPL,2023-06-26,2023-06-30,2023-06-28,too_few_in_prn_band,kept=3 need=4 inside=9 used_abslogm=0.0600 spot_scale=split_adj
AAPL,2023-06-26,2023-06-30,2023-06-29,too_few_in_prn_band,kept=3 need=4 inside=9 used_abslogm=0.0600 spot_scale=split_adj
PLTR,2023-06-26,2023-06-30,2023-06-29,too_few_in_prn_band,kept=3 need=4 inside=6 used_abslogm=0.0900 spot_scale=split_adj
AAPL,2023-07-03,2023-07-07,2023-07-06,too_few_in_prn_band,kept=3 need=4 inside=9 used_abslogm=0.0600 spot_scale=split_adj
AAPL,2023-07-10,2023-07-14,2023-07-12,too_few_in_prn_band,kept=3 need=4 inside=9 used_abslogm=0.0600 spot_scale=split_adj
AAPL,2023-07-10,2023-07-14,2023-07-13,too_few_in_prn_band,kept=3 need=4 inside=9 used_abslogm=0.0600 spot_scale=split_adj
AAPL,2023-07-17,2023-07-21,2023-07-20,too_few_in_prn_band,kept=3 need=4 inside=10 used_abslogm=0.0600 spot_scale=split_adj
AAPL,2023-07-24,2023-07-28,2023-07-27,too_few_in_prn_band,kept=3 need=4 inside=10 used_abslogm=0.0600 spot_scale=split_adj
AAPL,2023-08-07,2023-08-11,2023-08-10,too_few_in_prn_band,kept=3 need=4 inside=8 used_abslogm=0.0600 spot_scale=split_adj
GOOGL,2023-08-14,2023-08-18,2023-08-16,too_few_in_prn_band,kept=2 need=4 inside=15 used_abslogm=0.0600 spot_scale=split_adj
AAPL,2023-08-14,2023-08-18,2023-08-17,too_few_in_prn_band,kept=3 need=4 inside=8 used_abslogm=0.0600 spot_scale=split_adj
AAPL,2023-08-28,2023-09-01,2023-08-30,too_few_in_prn_band,kept=3 need=4 inside=9 used_abslogm=0.0600 spot_scale=split_adj
AAPL,2023-08-28,2023-09-01,2023-08-31,too_few_in_prn_band,kept=3 need=4 inside=9 used_abslogm=0.0600 spot_scale=split_adj
MSFT,2023-08-28,2023-09-01,2023-08-31,too_few_in_prn_band,kept=3 need=4 inside=16 used_abslogm=0.0600 spot_scale=split_adj
AAPL,2023-09-04,2023-09-08,2023-09-07,too_few_in_prn_band,kept=3 need=4 inside=9 used_abslogm=0.0600 spot_scale=split_adj
PLTR,2023-09-04,2023-09-08,2023-09-07,thin_band_inside,inside=5 raw=5 spot_scale=split_adj used_abslogm=0.1000 spot=15.210000 splits_preload=0
AAPL,2023-09-11,2023-09-15,2023-09-14,too_few_in_prn_band,kept=3 need=4 inside=7 used_abslogm=0.0600 spot_scale=split_adj
AAPL,2023-09-18,2023-09-22,2023-09-21,too_few_in_prn_band,kept=3 need=4 inside=8 used_abslogm=0.0600 spot_scale=split_adj
PLTR,2023-09-18,2023-09-22,2023-09-21,thin_band_inside,inside=5 raw=5 spot_scale=split_adj used_abslogm=0.1000 spot=14.000000 splits_preload=0
PLTR,2023-09-25,2023-09-29,2023-09-26,thin_band_inside,inside=5 raw=5 spot_scale=split_adj used_abslogm=0.1000 spot=13.960000 splits_preload=0
AAPL,2023-09-25,2023-09-29,2023-09-28,too_few_in_prn_band,kept=3 need=4 inside=8 used_abslogm=0.0600 spot_scale=split_adj
AAPL,2023-10-02,2023-10-06,2023-10-05,too_few_in_prn_band,kept=3 need=4 inside=9 used_abslogm=0.0600 spot_scale=split_adj
AAPL,2023-10-09,2023-10-13,2023-10-11,too_few_in_prn_band,kept=3 need=4 inside=8 used_abslogm=0.0600 spot_scale=split_adj
AAPL,2023-10-09,2023-10-13,2023-10-12,too_few_in_prn_band,kept=3 need=4 inside=8 used_abslogm=0.0600 spot_scale=split_adj
AAPL,2023-10-16,2023-10-20,2023-10-19,too_few_in_prn_band,kept=3 need=4 inside=8 used_abslogm=0.0600 spot_scale=split_adj
PLTR,2023-10-16,2023-10-20,2023-10-19,too_few_in_prn_band,kept=3 need=4 inside=6 used_abslogm=0.0900 spot_scale=split_adj
AAPL,2023-10-23,2023-10-27,2023-10-26,too_few_in_prn_band,kept=3 need=4 inside=7 used_abslogm=0.0600 spot_scale=split_adj
PLTR,2023-10-30,2023-11-03,2023-11-01,thin_band_inside,inside=5 raw=5 spot_scale=split_adj used_abslogm=0.1000 spot=14.920000 splits_preload=0
AAPL,2023-11-06,2023-11-10,2023-11-09,too_few_in_prn_band,kept=3 need=4 inside=8 used_abslogm=0.0600 spot_scale=split_adj
AAPL,2023-11-13,2023-11-17,2023-11-16,too_few_in_prn_band,kept=3 need=4 inside=9 used_abslogm=0.0600 spot_scale=split_adj
AAPL,2023-11-20,2023-11-24,2023-11-21,too_few_in_prn_band,kept=3 need=4 inside=9 used_abslogm=0.0600 spot_scale=split_adj
AAPL,2023-11-20,2023-11-24,2023-11-22,too_few_in_prn_band,kept=2 need=4 inside=9 used_abslogm=0.0600 spot_scale=split_adj
NVDA,2023-11-20,2023-11-24,2023-11-23,bad_T_days,0
AAPL,2023-11-20,2023-11-24,2023-11-23,bad_T_days,0
GOOGL,2023-11-20,2023-11-24,2023-11-23,bad_T_days,0
MSFT,2023-11-20,2023-11-24,2023-11-23,bad_T_days,0
META,2023-11-20,2023-11-24,2023-11-23,bad_T_days,0
AMZN,2023-11-20,2023-11-24,2023-11-23,bad_T_days,0
PLTR,2023-11-20,2023-11-24,2023-11-23,bad_T_days,0
AAPL,2023-11-27,2023-12-01,2023-11-28,too_few_in_prn_band,kept=3 need=4 inside=9 used_abslogm=0.0600 spot_scale=split_adj
AAPL,2023-11-27,2023-12-01,2023-11-29,too_few_in_prn_band,kept=3 need=4 inside=9 used_abslogm=0.0600 spot_scale=split_adj
AAPL,2023-11-27,2023-12-01,2023-11-30,too_few_in_prn_band,kept=3 need=4 inside=9 used_abslogm=0.0600 spot_scale=split_adj
AAPL,2023-12-04,2023-12-08,2023-12-06,too_few_in_prn_band,kept=3 need=4 inside=9 used_abslogm=0.0600 spot_scale=split_adj
AAPL,2023-12-04,2023-12-08,2023-12-07,too_few_in_prn_band,kept=3 need=4 inside=9 used_abslogm=0.0600 spot_scale=split_adj
AAPL,2023-12-11,2023-12-15,2023-12-13,too_few_in_prn_band,kept=3 need=4 inside=10 used_abslogm=0.0600 spot_scale=split_adj
AAPL,2023-12-11,2023-12-15,2023-12-14,too_few_in_prn_band,kept=3 need=4 inside=10 used_abslogm=0.0600 spot_scale=split_adj
AAPL,2023-12-18,2023-12-22,2023-12-20,too_few_in_prn_band,kept=3 need=4 inside=9 used_abslogm=0.0600 spot_scale=split_adj
AAPL,2023-12-18,2023-12-22,2023-12-21,too_few_in_prn_band,kept=3 need=4 inside=9 used_abslogm=0.0600 spot_scale=split_adj
AMZN,2023-12-18,2023-12-22,2023-12-21,too_few_in_prn_band,kept=3 need=4 inside=11 used_abslogm=0.0600 spot_scale=split_adj
AAPL,2023-12-25,2023-12-29,2023-12-27,too_few_in_prn_band,kept=3 need=4 inside=10 used_abslogm=0.0600 spot_scale=split_adj
AAPL,2023-12-25,2023-12-29,2023-12-28,too_few_in_prn_band,kept=2 need=4 inside=10 used_abslogm=0.0600 spot_scale=split_adj
AMZN,2023-12-25,2023-12-29,2023-12-28,too_few_in_prn_band,kept=2 need=4 inside=11 used_abslogm=0.0600 spot_scale=split_adj
AAPL,2024-01-08,2024-01-12,2024-01-11,too_few_in_prn_band,kept=3 need=4 inside=9 used_abslogm=0.0600 spot_scale=split_adj
AAPL,2024-01-15,2024-01-19,2024-01-17,too_few_in_prn_band,kept=3 need=4 inside=9 used_abslogm=0.0600 spot_scale=split_adj
AAPL,2024-01-15,2024-01-19,2024-01-18,too_few_in_prn_band,kept=3 need=4 inside=9 used_abslogm=0.0600 spot_scale=split_adj
AAPL,2024-01-22,2024-01-26,2024-01-25,too_few_in_prn_band,kept=3 need=4 inside=9 used_abslogm=0.0600 spot_scale=split_adj
AMZN,2024-01-22,2024-01-26,2024-01-25,too_few_in_prn_band,kept=3 need=4 inside=9 used_abslogm=0.0600 spot_scale=split_adj
AAPL,2024-02-05,2024-02-09,2024-02-08,too_few_in_prn_band,kept=3 need=4 inside=9 used_abslogm=0.0600 spot_scale=split_adj
MSFT,2024-02-05,2024-02-09,2024-02-08,too_few_in_prn_band,kept=3 need=4 inside=12 used_abslogm=0.0600 spot_scale=split_adj
AMZN,2024-02-05,2024-02-09,2024-02-08,too_few_in_prn_band,kept=3 need=4 inside=9 used_abslogm=0.0600 spot_scale=split_adj
AAPL,2024-02-19,2024-02-23,2024-02-22,too_few_in_prn_band,kept=3 need=4 inside=9 used_abslogm=0.0600 spot_scale=split_adj
AMZN,2024-02-19,2024-02-23,2024-02-22,too_few_in_prn_band,kept=3 need=4 inside=9 used_abslogm=0.0600 spot_scale=split_adj
AAPL,2024-03-11,2024-03-15,2024-03-14,too_few_in_prn_band,kept=3 need=4 inside=8 used_abslogm=0.0600 spot_scale=split_adj
AMZN,2024-03-18,2024-03-22,2024-03-21,too_few_in_prn_band,kept=3 need=4 inside=8 used_abslogm=0.0600 spot_scale=split_adj
NVDA,2024-03-25,2024-03-29,2024-03-25,empty_option_chain,asof=2024-03-25 exp_req=2024-03-29 exp_used=2024-03-29 conv=FRI
AAPL,2024-03-25,2024-03-29,2024-03-25,empty_option_chain,asof=2024-03-25 exp_req=2024-03-29 exp_used=2024-03-29 conv=FRI
GOOGL,2024-03-25,2024-03-29,2024-03-25,empty_option_chain,asof=2024-03-25 exp_req=2024-03-29 exp_used=2024-03-29 conv=FRI
MSFT,2024-03-25,2024-03-29,2024-03-25,empty_option_chain,asof=2024-03-25 exp_req=2024-03-29 exp_used=2024-03-29 conv=FRI
META,2024-03-25,2024-03-29,2024-03-25,empty_option_chain,asof=2024-03-25 exp_req=2024-03-29 exp_used=2024-03-29 conv=FRI
AMZN,2024-03-25,2024-03-29,2024-03-25,empty_option_chain,asof=2024-03-25 exp_req=2024-03-29 exp_used=2024-03-29 conv=FRI
PLTR,2024-03-25,2024-03-29,2024-03-25,empty_option_chain,asof=2024-03-25 exp_req=2024-03-29 exp_used=2024-03-29 conv=FRI
NVDA,2024-03-25,2024-03-29,2024-03-26,empty_option_chain,asof=2024-03-26 exp_req=2024-03-29 exp_used=2024-03-29 conv=FRI
AAPL,2024-03-25,2024-03-29,2024-03-26,empty_option_chain,asof=2024-03-26 exp_req=2024-03-29 exp_used=2024-03-29 conv=FRI
GOOGL,2024-03-25,2024-03-29,2024-03-26,empty_option_chain,asof=2024-03-26 exp_req=2024-03-29 exp_used=2024-03-29 conv=FRI
MSFT,2024-03-25,2024-03-29,2024-03-26,empty_option_chain,asof=2024-03-26 exp_req=2024-03-29 exp_used=2024-03-29 conv=FRI
META,2024-03-25,2024-03-29,2024-03-26,empty_option_chain,asof=2024-03-26 exp_req=2024-03-29 exp_used=2024-03-29 conv=FRI
AMZN,2024-03-25,2024-03-29,2024-03-26,empty_option_chain,asof=2024-03-26 exp_req=2024-03-29 exp_used=2024-03-29 conv=FRI
PLTR,2024-03-25,2024-03-29,2024-03-26,empty_option_chain,asof=2024-03-26 exp_req=2024-03-29 exp_used=2024-03-29 conv=FRI
NVDA,2024-03-25,2024-03-29,2024-03-27,empty_option_chain,asof=2024-03-27 exp_req=2024-03-29 exp_used=2024-03-29 conv=FRI
AAPL,2024-03-25,2024-03-29,2024-03-27,empty_option_chain,asof=2024-03-27 exp_req=2024-03-29 exp_used=2024-03-29 conv=FRI
GOOGL,2024-03-25,2024-03-29,2024-03-27,empty_option_chain,asof=2024-03-27 exp_req=2024-03-29 exp_used=2024-03-29 conv=FRI
MSFT,2024-03-25,2024-03-29,2024-03-27,empty_option_chain,asof=2024-03-27 exp_req=2024-03-29 exp_used=2024-03-29 conv=FRI
META,2024-03-25,2024-03-29,2024-03-27,empty_option_chain,asof=2024-03-27 exp_req=2024-03-29 exp_used=2024-03-29 conv=FRI
AMZN,2024-03-25,2024-03-29,2024-03-27,empty_option_chain,asof=2024-03-27 exp_req=2024-03-29 exp_used=2024-03-29 conv=FRI
PLTR,2024-03-25,2024-03-29,2024-03-27,empty_option_chain,asof=2024-03-27 exp_req=2024-03-29 exp_used=2024-03-29 conv=FRI
NVDA,2024-03-25,2024-03-29,2024-03-28,empty_option_chain,asof=2024-03-28 exp_req=2024-03-29 exp_used=2024-03-29 conv=FRI
AAPL,2024-03-25,2024-03-29,2024-03-28,empty_option_chain,asof=2024-03-28 exp_req=2024-03-29 exp_used=2024-03-29 conv=FRI
GOOGL,2024-03-25,2024-03-29,2024-03-28,empty_option_chain,asof=2024-03-28 exp_req=2024-03-29 exp_used=2024-03-29 conv=FRI
MSFT,2024-03-25,2024-03-29,2024-03-28,empty_option_chain,asof=2024-03-28 exp_req=2024-03-29 exp_used=2024-03-29 conv=FRI
META,2024-03-25,2024-03-29,2024-03-28,empty_option_chain,asof=2024-03-28 exp_req=2024-03-29 exp_used=2024-03-29 conv=FRI
AMZN,2024-03-25,2024-03-29,2024-03-28,empty_option_chain,asof=2024-03-28 exp_req=2024-03-29 exp_used=2024-03-29 conv=FRI
PLTR,2024-03-25,2024-03-29,2024-03-28,empty_option_chain,asof=2024-03-28 exp_req=2024-03-29 exp_used=2024-03-29 conv=FRI
AAPL,2024-04-01,2024-04-05,2024-04-03,too_few_in_prn_band,kept=3 need=4 inside=9 used_abslogm=0.0600 spot_scale=split_adj
AAPL,2024-04-08,2024-04-12,2024-04-11,too_few_in_prn_band,kept=3 need=4 inside=9 used_abslogm=0.0600 spot_scale=split_adj
GOOGL,2024-04-08,2024-04-12,2024-04-11,too_few_in_prn_band,kept=3 need=4 inside=7 used_abslogm=0.0600 spot_scale=split_adj
AAPL,2024-05-06,2024-05-10,2024-05-07,too_few_in_prn_band,kept=3 need=4 inside=9 used_abslogm=0.0600 spot_scale=split_adj
