C,window,window_start,window_end,n_val,w_sum_val,logloss_baseline,logloss_model,delta_model_minus_baseline
0.001,roll_val_1,2024-11-29,2025-01-31,2506,0.37871748101451613,0.5358553316197742,0.5242462988456315,-0.011609032774142714
0.001,roll_val_2,2025-02-07,2025-04-11,3259,0.4045002636072368,0.5870548040642242,0.6209589974476769,0.03390419338345274
0.001,roll_val_3,2025-04-25,2025-06-27,3127,0.4215214100763476,0.5253377061185042,0.513598807448022,-0.011738898670482167
0.001,roll_val_4,2025-07-11,2025-09-12,2838,0.4278497553298598,0.46168125896505424,0.47488146748310206,0.013200208518047818
0.002,roll_val_1,2024-11-29,2025-01-31,2506,0.37871748101451613,0.5358553316197742,0.5247702566169493,-0.011085075002824851
0.002,roll_val_2,2025-02-07,2025-04-11,3259,0.4045002636072368,0.5870548040642242,0.6221358085663633,0.035081004502139135
0.002,roll_val_3,2025-04-25,2025-06-27,3127,0.4215214100763476,0.5253377061185042,0.5126540212829972,-0.01268368483550697
0.002,roll_val_4,2025-07-11,2025-09-12,2838,0.4278497553298598,0.46168125896505424,0.47580298021346107,0.014121721248406827
0.005,roll_val_1,2024-11-29,2025-01-31,2506,0.37871748101451613,0.5358553316197742,0.5258067884060823,-0.010048543213691863
0.005,roll_val_2,2025-02-07,2025-04-11,3259,0.4045002636072368,0.5870548040642242,0.6240272737849228,0.036972469720698675
0.005,roll_val_3,2025-04-25,2025-06-27,3127,0.4215214100763476,0.5253377061185042,0.5113791011583163,-0.01395860496018786
0.005,roll_val_4,2025-07-11,2025-09-12,2838,0.4278497553298598,0.46168125896505424,0.476929492776136,0.015248233811081757
0.01,roll_val_1,2024-11-29,2025-01-31,2506,0.37871748101451613,0.5358553316197742,0.5266372390519137,-0.009218092567860436
0.01,roll_val_2,2025-02-07,2025-04-11,3259,0.4045002636072368,0.5870548040642242,0.6253686166553183,0.03831381259109412
0.01,roll_val_3,2025-04-25,2025-06-27,3127,0.4215214100763476,0.5253377061185042,0.5105518978218069,-0.01478580829669729
0.01,roll_val_4,2025-07-11,2025-09-12,2838,0.4278497553298598,0.46168125896505424,0.47738630742893146,0.015705048463877214
0.02,roll_val_1,2024-11-29,2025-01-31,2506,0.37871748101451613,0.5358553316197742,0.5272782711091186,-0.008577060510655543
0.02,roll_val_2,2025-02-07,2025-04-11,3259,0.4045002636072368,0.5870548040642242,0.6264031892495616,0.03934838518533745
0.02,roll_val_3,2025-04-25,2025-06-27,3127,0.4215214100763476,0.5253377061185042,0.5100706133155989,-0.01526709280290528
0.02,roll_val_4,2025-07-11,2025-09-12,2838,0.4278497553298598,0.46168125896505424,0.4777504771034033,0.01606921813834905
0.05,roll_val_1,2024-11-29,2025-01-31,2506,0.37871748101451613,0.5358553316197742,0.5278271232999578,-0.008028208319816321
0.05,roll_val_2,2025-02-07,2025-04-11,3259,0.4045002636072368,0.5870548040642242,0.6273055872516047,0.04025078318738051
0.05,roll_val_3,2025-04-25,2025-06-27,3127,0.4215214100763476,0.5253377061185042,0.509774036452371,-0.015563669666133206
0.05,roll_val_4,2025-07-11,2025-09-12,2838,0.4278497553298598,0.46168125896505424,0.47750218529004096,0.015820926324986717
0.1,roll_val_1,2024-11-29,2025-01-31,2506,0.37871748101451613,0.5358553316197742,0.5280470687006926,-0.007808262919081543
0.1,roll_val_2,2025-02-07,2025-04-11,3259,0.4045002636072368,0.5870548040642242,0.6276259898651804,0.0405711858009562
0.1,roll_val_3,2025-04-25,2025-06-27,3127,0.4215214100763476,0.5253377061185042,0.5096815678101297,-0.015656138308374423
