ticker,week_monday,week_friday,asof_target,drop_reason,detail
NVDA,2023-06-05,2023-06-09,2023-06-05,thin_band_inside,inside=0 raw=0 spot_scale=split_adj used_abslogm=0.1000 spot=39.171001 splits_preload=0
NVDA,2023-06-05,2023-06-09,2023-06-06,thin_band_inside,inside=0 raw=0 spot_scale=split_adj used_abslogm=0.1000 spot=38.653999 splits_preload=0
NVDA,2023-06-05,2023-06-09,2023-06-07,thin_band_inside,inside=0 raw=0 spot_scale=split_adj used_abslogm=0.1000 spot=37.474998 splits_preload=0
NVDA,2023-06-05,2023-06-09,2023-06-08,thin_band_inside,inside=0 raw=0 spot_scale=split_adj used_abslogm=0.1000 spot=38.509998 splits_preload=0
AAPL,2023-06-05,2023-06-09,2023-06-08,too_few_in_prn_band,kept=3 need=4 inside=8 used_abslogm=0.0600 spot_scale=split_adj
NVDA,2023-06-12,2023-06-16,2023-06-12,thin_band_inside,inside=0 raw=0 spot_scale=split_adj used_abslogm=0.1000 spot=39.481998 splits_preload=0
NVDA,2023-06-12,2023-06-16,2023-06-13,thin_band_inside,inside=0 raw=0 spot_scale=split_adj used_abslogm=0.1000 spot=41.021999 splits_preload=0
NVDA,2023-06-12,2023-06-16,2023-06-14,thin_band_inside,inside=0 raw=0 spot_scale=split_adj used_abslogm=0.1000 spot=42.997002 splits_preload=0
NVDA,2023-06-12,2023-06-16,2023-06-15,thin_band_inside,inside=0 raw=0 spot_scale=split_adj used_abslogm=0.1000 spot=42.653000 splits_preload=0
AAPL,2023-06-12,2023-06-16,2023-06-15,too_few_in_prn_band,kept=3 need=4 inside=9 used_abslogm=0.0600 spot_scale=split_adj
NVDA,2023-06-19,2023-06-23,2023-06-19,thin_band_inside,inside=0 raw=0 spot_scale=split_adj used_abslogm=0.1000 spot=43.807999 splits_preload=0
NVDA,2023-06-19,2023-06-23,2023-06-20,thin_band_inside,inside=0 raw=0 spot_scale=split_adj used_abslogm=0.1000 spot=43.807999 splits_preload=0
NVDA,2023-06-19,2023-06-23,2023-06-21,thin_band_inside,inside=0 raw=0 spot_scale=split_adj used_abslogm=0.1000 spot=43.044998 splits_preload=0
NVDA,2023-06-19,2023-06-23,2023-06-22,thin_band_inside,inside=0 raw=0 spot_scale=split_adj used_abslogm=0.1000 spot=43.025002 splits_preload=0
AAPL,2023-06-19,2023-06-23,2023-06-22,too_few_in_prn_band,kept=3 need=4 inside=9 used_abslogm=0.0600 spot_scale=split_adj
NVDA,2023-06-26,2023-06-30,2023-06-26,thin_band_inside,inside=0 raw=0 spot_scale=split_adj used_abslogm=0.1000 spot=40.632000 splits_preload=0
PLTR,2023-06-26,2023-06-30,2023-06-26,thin_band_inside,inside=5 raw=5 spot_scale=split_adj used_abslogm=0.1000 spot=13.940000 splits_preload=0
NVDA,2023-06-26,2023-06-30,2023-06-27,thin_band_inside,inside=0 raw=0 spot_scale=split_adj used_abslogm=0.1000 spot=41.875999 splits_preload=0
NVDA,2023-06-26,2023-06-30,2023-06-28,thin_band_inside,inside=0 raw=0 spot_scale=split_adj used_abslogm=0.1000 spot=41.117001 splits_preload=0
AAPL,2023-06-26,2023-06-30,2023-06-28,too_few_in_prn_band,kept=3 need=4 inside=9 used_abslogm=0.0600 spot_scale=split_adj
NVDA,2023-06-26,2023-06-30,2023-06-29,thin_band_inside,inside=0 raw=0 spot_scale=split_adj used_abslogm=0.1000 spot=40.821999 splits_preload=0
AAPL,2023-06-26,2023-06-30,2023-06-29,too_few_in_prn_band,kept=3 need=4 inside=9 used_abslogm=0.0600 spot_scale=split_adj
PLTR,2023-06-26,2023-06-30,2023-06-29,too_few_in_prn_band,kept=3 need=4 inside=6 used_abslogm=0.0900 spot_scale=split_adj
