ticker,week_monday,week_friday,asof_target,asof_date,expiry_close_date_used,option_expiration_requested,option_expiration_used,expiry_convention,T_days,T_years,r,S_asof_close_raw,S_expiry_close_raw,S_asof_close_adj,S_expiry_close_adj,split_events_in_preload_range,split_adjustment_applied,spot_scale_used,spot_scale_score_raw,spot_scale_score_adj,S_asof_close,S_expiry_close,asof_fallback_days,expiry_fallback_days,K,log_m,abs_log_m,rv20,pRN,qRN,pRN_raw,qRN_raw,outcome_ST_gt_K,max_abs_logm_start,max_abs_logm_cap,used_max_abs_logm,n_band_raw,n_band_inside,calls_k_min,calls_k_max,theta_quote_source,n_chain_raw,n_chain_used,rel_spread_median,dropped_liquidity,dropped_intrinsic,dropped_insane,prn_monotone_adj_intervals,prn_monotone_adj_targets,group_id,median_dK,min_dK,quality_weight,group_size,group_weight,ticker_group_count,ticker_weight,sample_weight_final
AAPL,2023-06-05,2023-06-09,2023-06-05,2023-06-05,2023-06-09,2023-06-09,2023-06-09,FRI,4,0.010951403,0.03,179.5800018,180.9600067,179.5800018,180.9600067,0,True,split_adj,1000009.0,1000009.0,179.5800018,180.9600067,0,0,172.5,-0.040223565,0.040223565,,0.8857951,0.1142049,0.9101347,0.0898653,1,0.06,0.1,0.06,9,9,50.0,250.0,bidask_mid,55,55,0.02463605823068312,0,0,0,True,False,AAPL|2023-06-05|2023-06-09,2.5,2.5,0.8295628415300547,6.0,0.16666666666666666,10.0,0.1,0.013826047358834245
AAPL,2023-06-05,2023-06-09,2023-06-05,2023-06-05,2023-06-09,2023-06-09,2023-06-09,FRI,4,0.010951403,0.03,179.5800018,180.9600067,179.5800018,180.9600067,0,True,split_adj,1000009.0,1000009.0,179.5800018,180.9600067,0,0,175.0,-0.025834827,0.025834827,,0.7952612,0.2047388,0.7952612,0.2047388,1,0.06,0.1,0.06,9,9,50.0,250.0,bidask_mid,55,55,0.02463605823068312,0,0,0,True,False,AAPL|2023-06-05|2023-06-09,2.5,2.5,0.8295628415300547,6.0,0.16666666666666666,10.0,0.1,0.013826047358834245
AAPL,2023-06-05,2023-06-09,2023-06-05,2023-06-05,2023-06-09,2023-06-09,2023-06-09,FRI,4,0.010951403,0.03,179.5800018,180.9600067,179.5800018,180.9600067,0,True,split_adj,1000009.0,1000009.0,179.5800018,180.9600067,0,0,177.5,-0.011650192,0.011650192,,0.6742215,0.3257785,0.6742215,0.3257785,1,0.06,0.1,0.06,9,9,50.0,250.0,bidask_mid,55,55,0.02463605823068312,0,0,0,True,False,AAPL|2023-06-05|2023-06-09,2.5,2.5,0.8295628415300547,6.0,0.16666666666666666,10.0,0.1,0.013826047358834245
AAPL,2023-06-05,2023-06-09,2023-06-05,2023-06-05,2023-06-09,2023-06-09,2023-06-09,FRI,4,0.010951403,0.03,179.5800018,180.9600067,179.5800018,180.9600067,0,True,split_adj,1000009.0,1000009.0,179.5800018,180.9600067,0,0,180.0,0.00233605,0.00233605,,0.4761564,0.5238436,0.4761564,0.5238436,1,0.06,0.1,0.06,9,9,50.0,250.0,bidask_mid,55,55,0.02463605823068312,0,0,0,True,False,AAPL|2023-06-05|2023-06-09,2.5,2.5,0.8295628415300547,6.0,0.16666666666666666,10.0,0.1,0.013826047358834245
AAPL,2023-06-05,2023-06-09,2023-06-05,2023-06-05,2023-06-09,2023-06-09,2023-06-09,FRI,4,0.010951403,0.03,179.5800018,180.9600067,179.5800018,180.9600067,0,True,split_adj,1000009.0,1000009.0,179.5800018,180.9600067,0,0,182.5,0.016129372,0.016129372,,0.2960973,0.7039027,0.2960973,0.7039027,0,0.06,0.1,0.06,9,9,50.0,250.0,bidask_mid,55,55,0.02463605823068312,0,0,0,True,False,AAPL|2023-06-05|2023-06-09,2.5,2.5,0.8295628415300547,6.0,0.16666666666666666,10.0,0.1,0.013826047358834245
AAPL,2023-06-05,2023-06-09,2023-06-05,2023-06-05,2023-06-09,2023-06-09,2023-06-09,FRI,4,0.010951403,0.03,179.5800018,180.9600067,179.5800018,180.9600067,0,True,split_adj,1000009.0,1000009.0,179.5800018,180.9600067,0,0,185.0,0.029735024,0.029735024,,0.1620532,0.8379468,0.1620532,0.8379468,0,0.06,0.1,0.06,9,9,50.0,250.0,bidask_mid,55,55,0.02463605823068312,0,0,0,True,False,AAPL|2023-06-05|2023-06-09,2.5,2.5,0.8295628415300547,6.0,0.16666666666666666,10.0,0.1,0.013826047358834245
AMZN,2023-06-05,2023-06-09,2023-06-05,2023-06-05,2023-06-09,2023-06-09,2023-06-09,FRI,4,0.010951403,0.03,125.3000031,123.4300003,125.3000031,123.4300003,0,True,split_adj,1000015.0,1000015.0,125.3000031,123.4300003,0,0,120.0,-0.043219143,0.043219143,,0.8925751,0.1074249,0.9126355,0.0873645,1,0.06,0.1,0.06,15,15,55.0,160.0,bidask_mid,69,69,0.029850746268656747,0,0,0,True,False,AMZN|2023-06-05|2023-06-09,1.0,1.0,0.8253623188405795,12.0,0.08333333333333333,15.0,0.06666666666666667,0.004585346215780997
AMZN,2023-06-05,2023-06-09,2023-06-05,2023-06-05,2023-06-09,2023-06-09,2023-06-09,FRI,4,0.010951403,0.03,125.3000031,123.4300003,125.3000031,123.4300003,0,True,split_adj,1000015.0,1000015.0,125.3000031,123.4300003,0,0,121.0,-0.034920341,0.034920341,,0.8252711,0.1747289,0.8252711,0.1747289,1,0.06,0.1,0.06,15,15,55.0,160.0,bidask_mid,69,69,0.029850746268656747,0,0,0,True,False,AMZN|2023-06-05|2023-06-09,1.0,1.0,0.8253623188405795,12.0,0.08333333333333333,15.0,0.06666666666666667,0.004585346215780997
AMZN,2023-06-05,2023-06-09,2023-06-05,2023-06-05,2023-06-09,2023-06-09,2023-06-09,FRI,4,0.010951403,0.03,125.3000031,123.4300003,125.3000031,123.4300003,0,True,split_adj,1000015.0,1000015.0,125.3000031,123.4300003,0,0,122.0,-0.026689842,0.026689842,,0.812767,0.187233,0.812767,0.187233,1,0.06,0.1,0.06,15,15,55.0,160.0,bidask_mid,69,69,0.029850746268656747,0,0,0,True,False,AMZN|2023-06-05|2023-06-09,1.0,1.0,0.8253623188405795,12.0,0.08333333333333333,15.0,0.06666666666666667,0.004585346215780997
AMZN,2023-06-05,2023-06-09,2023-06-05,2023-06-05,2023-06-09,2023-06-09,2023-06-09,FRI,4,0.010951403,0.03,125.3000031,123.4300003,125.3000031,123.4300003,0,True,split_adj,1000015.0,1000015.0,125.3000031,123.4300003,0,0,123.0,-0.018526531,0.018526531,,0.7402432,0.2597568,0.7402432,0.2597568,1,0.06,0.1,0.06,15,15,55.0,160.0,bidask_mid,69,69,0.029850746268656747,0,0,0,True,False,AMZN|2023-06-05|2023-06-09,1.0,1.0,0.8253623188405795,12.0,0.08333333333333333,15.0,0.06666666666666667,0.004585346215780997
