model,split,group_type,group_value,logloss,brier,ece,ece_q,n,weight_sum
baseline_pRN,val_pool,ticker,QQQ,0.5310196468571506,0.1756803309725864,0.05910908065834488,0.055521862134629056,841,0.05305953021837469
logit_C=0.2,val_pool,ticker,QQQ,0.5295733488565596,0.17443650138677486,0.062346910061272964,0.0588782927290388,841,0.05305953021837469
baseline_pRN,val_pool,ticker,SPY,0.527331544799752,0.17452446284451675,0.04218120424803457,0.03478074139249223,555,0.06623410948931696
logit_C=0.2,val_pool,ticker,SPY,0.5306016584882614,0.17564140929753555,0.054219814693303725,0.05374014912460621,555,0.06623410948931696
baseline_pRN,val_pool,ticker,META,0.4358835790120827,0.13618628977809571,0.10551117579874028,0.10840617730970127,366,0.0659751963246358
logit_C=0.2,val_pool,ticker,META,0.41857931595268577,0.1335803356070135,0.06070385631563343,0.07336969706363035,366,0.0659751963246358
baseline_pRN,val_pool,ticker,TSLA,0.5193360183832714,0.17104652308233717,0.07328152249223764,0.06586284063249528,328,0.06921946370635369
logit_C=0.2,val_pool,ticker,TSLA,0.5181593375653021,0.1703876842544254,0.07031919663155896,0.07033572378917258,328,0.06921946370635369
baseline_pRN,val_pool,ticker,NFLX,0.5317147233216865,0.17506723358407206,0.14357627680210927,0.13013203917431382,282,0.03516082296552595
logit_C=0.2,val_pool,ticker,NFLX,0.5212925906869976,0.16882259978358471,0.1096295207657998,0.11307269133555414,282,0.03516082296552595
baseline_pRN,val_pool,ticker,IWM,0.5631305515917782,0.19021382966356457,0.06485950447514127,0.046398230202101765,227,0.05692615173089666
logit_C=0.2,val_pool,ticker,IWM,0.5675713718380291,0.19165109468130437,0.07653821673355121,0.05372407039323748,227,0.05692615173089666
baseline_pRN,val_pool,ticker,MSFT,0.48076578278503174,0.15730127635466487,0.09534746034953837,0.09660419757990067,177,0.08833240213895081
logit_C=0.2,val_pool,ticker,MSFT,0.4760658707593009,0.15805584171093437,0.11955811535120213,0.10224516791730495,177,0.08833240213895081
baseline_pRN,val_pool,ticker,PLTR,0.550219558529972,0.18330655942650256,0.09105186753492747,0.09031746217711331,117,0.07177603951756471
logit_C=0.2,val_pool,ticker,PLTR,0.6259611854692053,0.19836999300748137,0.15294681738811047,0.1374520422573042,117,0.07177603951756471
baseline_pRN,val_pool,ticker,NVDA,0.4046511109594605,0.1220564553862951,0.14545518973054852,0.12810688769924206,111,0.037159254386869615
logit_C=0.2,val_pool,ticker,NVDA,0.3473985367592664,0.10571902781193804,0.09183803648472899,0.0881632095851068,111,0.037159254386869615
baseline_pRN,val_pool,ticker,GOOGL,0.4888081194721566,0.15834491539581116,0.1253604140750695,0.1256684726047574,92,0.079751224460432
logit_C=0.2,val_pool,ticker,GOOGL,0.4812424869425892,0.15707136595888022,0.11649761452167488,0.0880275918921377,92,0.079751224460432
baseline_pRN,test,ticker,QQQ,0.5045299254686026,0.16473604563063896,0.07362597953029547,0.06751494798417818,302,0.028423357140936835
logit_C=0.2,test,ticker,QQQ,0.49447004604608086,0.16179243836689788,0.06010618732105943,0.05681040895844611,302,0.028423357140936835
baseline_pRN,test,ticker,SPY,0.4456604799603427,0.14202430244621755,0.08272313960694395,0.07000654733290693,240,0.03202216767575583
logit_C=0.2,test,ticker,SPY,0.44056341385438597,0.14129869005058182,0.08223638942655889,0.0650229087368824,240,0.03202216767575583
baseline_pRN,test,ticker,META,0.49949815709666473,0.16270202229727024,0.1618941181327091,0.16189411813270904,149,0.033164635063887796
logit_C=0.2,test,ticker,META,0.5091722112663125,0.1669235500641977,0.16361446327817125,0.15442224949690977,149,0.033164635063887796
baseline_pRN,test,ticker,TSLA,0.4505458956289031,0.14053433498847134,0.14337436652325009,0.1260265981675443,142,0.033755478024669806
logit_C=0.2,test,ticker,TSLA,0.4303437926773599,0.1355530196451999,0.11473738343760233,0.10963728855561232,142,0.033755478024669806
baseline_pRN,test,ticker,IWM,0.4918197722397441,0.15864991379446883,0.0850135497890604,0.0923522385960606,103,0.0322009998193636
logit_C=0.2,test,ticker,IWM,0.48780324604883923,0.15710600893007717,0.08156231455447673,0.0843697776973305,103,0.0322009998193636
baseline_pRN,test,ticker,NFLX,0.3572822375946503,0.10107014731473324,0.1747875091287871,0.16171143047831074,68,0.0110420662319362
logit_C=0.2,test,ticker,NFLX,0.31449762433010003,0.08852671801362952,0.12389317515890642,0.12653720215039416,68,0.0110420662319362
baseline_pRN,test,ticker,MSFT,0.47774162239455475,0.15678048981066786,0.19597808599510566,0.19817284015949874,61,0.024403311453308697
logit_C=0.2,test,ticker,MSFT,0.500470812637557,0.1637266421764997,0.16804972538260332,0.16053422550471103,61,0.024403311453308697
baseline_pRN,test,ticker,PLTR,0.46714292217020265,0.15149251165866154,0.17904248178940851,0.2001147012995987,57,0.033227594085906295
logit_C=0.2,test,ticker,PLTR,0.5033130237058225,0.16787730055635616,0.20397455488220084,0.2136436380744155,57,0.033227594085906295
baseline_pRN,test,ticker,GOOGL,0.37046692013352484,0.10622769931051908,0.2023071877120128,0.21922291703192326,39,0.036639038856000186
logit_C=0.2,test,ticker,GOOGL,0.3207023257148334,0.09048282283463618,0.17751387792525392,0.17751387792525392,39,0.036639038856000186
baseline_pRN,test,ticker,NVDA,0.3445059785596241,0.09870454660369915,0.22101457540362138,0.19661177032102828,39,0.007468608153537
logit_C=0.2,test,ticker,NVDA,0.3076658890422393,0.09295918179907732,0.14949552323137613,0.14952912139823576,39,0.007468608153537
baseline_pRN,val_pool,T_days,1,0.4953221839837126,0.1613117378597848,0.05688069007461665,0.05618314671724313,3187,0.7431898622148785
logit_C=0.2,val_pool,T_days,1,0.4917899192517637,0.16039298673273808,0.05627505036241287,0.05627505036241285,3187,0.7431898622148785
baseline_pRN,test,T_days,1,0.4304988329489706,0.13356549269940535,0.10514134330592273,0.10284074192155403,1240,0.3512551172395538
logit_C=0.2,test,T_days,1,0.4083106365564274,0.12775418300918662,0.060210635617284784,0.0517035507038136,1240,0.3512551172395538
baseline_pRN,val_pool,asof_dow,Mon,0.501685903046601,0.16317976120010538,0.08183989246267703,0.05542427030533605,320,0.03325041476862486
logit_C=0.2,val_pool,asof_dow,Mon,0.4948870891441924,0.16135877567980844,0.06802818213085567,0.03765146338482603,320,0.03325041476862486
baseline_pRN,val_pool,asof_dow,Thu,0.5058997974258767,0.16559306883163122,0.039252776293532125,0.040976930343956844,1138,0.28830061509855787
logit_C=0.2,val_pool,asof_dow,Thu,0.5006758087219644,0.163981193699543,0.03789746706203328,0.02676107798617902,1138,0.28830061509855787
baseline_pRN,val_pool,asof_dow,Tue,0.4712783824000952,0.15087083231656157,0.11643768284238737,0.1156056776055436,375,0.03852380821182891
logit_C=0.2,val_pool,asof_dow,Tue,0.452538912590576,0.14481663285627608,0.09918767844188929,0.09081872860593736,375,0.03852380821182891
baseline_pRN,val_pool,asof_dow,Wed,0.48922774807810265,0.15897771438263478,0.09454875070873502,0.09471516746309427,1354,0.38311502413586696
logit_C=0.2,val_pool,asof_dow,Wed,0.4887811849079411,0.15917524621113954,0.10526672561545743,0.10526672561545743,1354,0.38311502413586696
baseline_pRN,test,asof_dow,Mon,0.4298215683343041,0.1339367825686566,0.14062088586314378,0.13998895247991278,144,0.01965774295698524
logit_C=0.2,test,asof_dow,Mon,0.4098568532138664,0.12774527123385307,0.11550376543665768,0.1112872254778065,144,0.01965774295698524
