model,split,group_type,group_value,logloss,brier,ece,ece_q,n,weight_sum
baseline_pRN,val_pool,ticker,QQQ,0.5310196468571506,0.1756803309725864,0.05910908065834488,0.055521862134629056,841,0.05305953021837469
logit_C=1,val_pool,ticker,QQQ,0.5295645994701761,0.17442868502637798,0.06219141557545504,0.05869621005667478,841,0.05305953021837469
baseline_pRN,val_pool,ticker,SPY,0.527331544799752,0.17452446284451675,0.04218120424803457,0.03478074139249223,555,0.06623410948931696
logit_C=1,val_pool,ticker,SPY,0.5305653940136456,0.17562398196080553,0.05412425672102789,0.05364611853985381,555,0.06623410948931696
baseline_pRN,val_pool,ticker,META,0.4358835790120827,0.13618628977809571,0.10551117579874028,0.10840617730970127,366,0.0659751963246358
logit_C=1,val_pool,ticker,META,0.4184684106548843,0.13354221596195714,0.060674709500604745,0.07330565255214198,366,0.0659751963246358
baseline_pRN,val_pool,ticker,TSLA,0.5193360183832714,0.17104652308233717,0.07328152249223764,0.06586284063249528,328,0.06921946370635369
logit_C=1,val_pool,ticker,TSLA,0.5181210923981554,0.17037127294013188,0.0701132525605104,0.07020106452783204,328,0.06921946370635369
baseline_pRN,val_pool,ticker,NFLX,0.5317147233216865,0.17506723358407206,0.14357627680210927,0.13013203917431382,282,0.03516082296552595
logit_C=1,val_pool,ticker,NFLX,0.5203200679861997,0.16844081116720408,0.10813788556795559,0.11225865296037418,282,0.03516082296552595
baseline_pRN,val_pool,ticker,IWM,0.5631305515917782,0.19021382966356457,0.06485950447514127,0.046398230202101765,227,0.05692615173089666
logit_C=1,val_pool,ticker,IWM,0.5676773413625672,0.19168080808755023,0.07637935018823404,0.053710088116181984,227,0.05692615173089666
baseline_pRN,val_pool,ticker,MSFT,0.48076578278503174,0.15730127635466487,0.09534746034953837,0.09660419757990067,177,0.08833240213895081
logit_C=1,val_pool,ticker,MSFT,0.47593769639367545,0.15801839394557954,0.11939442868851914,0.1020460746638245,177,0.08833240213895081
baseline_pRN,val_pool,ticker,PLTR,0.550219558529972,0.18330655942650256,0.09105186753492747,0.09031746217711331,117,0.07177603951756471
logit_C=1,val_pool,ticker,PLTR,0.6272670842522376,0.19870490628745996,0.1531547432526088,0.13880827752747246,117,0.07177603951756471
baseline_pRN,val_pool,ticker,NVDA,0.4046511109594605,0.1220564553862951,0.14545518973054852,0.12810688769924206,111,0.037159254386869615
logit_C=1,val_pool,ticker,NVDA,0.34733577433339285,0.10558591467392035,0.09165389563563726,0.08757235276077335,111,0.037159254386869615
baseline_pRN,val_pool,ticker,GOOGL,0.4888081194721566,0.15834491539581116,0.1253604140750695,0.1256684726047574,92,0.079751224460432
logit_C=1,val_pool,ticker,GOOGL,0.48175192265791916,0.1572714931805667,0.11716072173313792,0.08866727205241338,92,0.079751224460432
baseline_pRN,test,ticker,QQQ,0.5045299254686026,0.16473604563063896,0.07362597953029547,0.06751494798417818,302,0.028423357140936835
logit_C=1,test,ticker,QQQ,0.4944000038628357,0.16177212179609918,0.05984265986181783,0.05655780568427431,302,0.028423357140936835
baseline_pRN,test,ticker,SPY,0.4456604799603427,0.14202430244621755,0.08272313960694395,0.07000654733290693,240,0.03202216767575583
logit_C=1,test,ticker,SPY,0.44034198038559424,0.14124923448937565,0.08200846954623887,0.06471632312857135,240,0.03202216767575583
baseline_pRN,test,ticker,META,0.49949815709666473,0.16270202229727024,0.1618941181327091,0.16189411813270904,149,0.033164635063887796
logit_C=1,test,ticker,META,0.5091489752831725,0.1669261976355011,0.163665781913207,0.15443916126501928,149,0.033164635063887796
baseline_pRN,test,ticker,TSLA,0.4505458956289031,0.14053433498847134,0.14337436652325009,0.1260265981675443,142,0.033755478024669806
logit_C=1,test,ticker,TSLA,0.43032117667517766,0.13553793107027487,0.11474665154954124,0.10965167273087324,142,0.033755478024669806
baseline_pRN,test,ticker,IWM,0.4918197722397441,0.15864991379446883,0.0850135497890604,0.0923522385960606,103,0.0322009998193636
logit_C=1,test,ticker,IWM,0.48770335536350196,0.15706724577729206,0.08143663538586153,0.08423773018102498,103,0.0322009998193636
baseline_pRN,test,ticker,NFLX,0.3572822375946503,0.10107014731473324,0.1747875091287871,0.16171143047831074,68,0.0110420662319362
logit_C=1,test,ticker,NFLX,0.3157300715989029,0.08886829572272614,0.14229516963423247,0.12608048476709097,68,0.0110420662319362
baseline_pRN,test,ticker,MSFT,0.47774162239455475,0.15678048981066786,0.19597808599510566,0.19817284015949874,61,0.024403311453308697
logit_C=1,test,ticker,MSFT,0.5001597123470297,0.16365487090075848,0.16806156536767522,0.15779516432897472,61,0.024403311453308697
baseline_pRN,test,ticker,PLTR,0.46714292217020265,0.15149251165866154,0.17904248178940851,0.2001147012995987,57,0.033227594085906295
logit_C=1,test,ticker,PLTR,0.5037464820429748,0.1680084473920551,0.20418588498490356,0.21384554089885302,57,0.033227594085906295
baseline_pRN,test,ticker,GOOGL,0.37046692013352484,0.10622769931051908,0.2023071877120128,0.21922291703192326,39,0.036639038856000186
logit_C=1,test,ticker,GOOGL,0.3204606679137887,0.09041066592198096,0.17730356936206232,0.17730356936206237,39,0.036639038856000186
baseline_pRN,test,ticker,NVDA,0.3445059785596241,0.09870454660369915,0.22101457540362138,0.19661177032102828,39,0.007468608153537
logit_C=1,test,ticker,NVDA,0.3092756880775856,0.09344748013765715,0.15055611142484282,0.1500137060926928,39,0.007468608153537
baseline_pRN,val_pool,T_days,1,0.4953221839837126,0.1613117378597848,0.05688069007461665,0.05618314671724313,3187,0.7431898622148785
logit_C=1,val_pool,T_days,1,0.4919178532415949,0.1604231671579424,0.056281918502749585,0.05628191850274952,3187,0.7431898622148785
baseline_pRN,test,T_days,1,0.4304988329489706,0.13356549269940535,0.10514134330592273,0.10284074192155403,1240,0.3512551172395538
logit_C=1,test,T_days,1,0.4083724581184973,0.12778108589940296,0.060108024440971006,0.05188985003871118,1240,0.3512551172395538
baseline_pRN,val_pool,asof_dow,Mon,0.501685903046601,0.16317976120010538,0.08183989246267703,0.05542427030533605,320,0.03325041476862486
logit_C=1,val_pool,asof_dow,Mon,0.494863513767324,0.16134639338507764,0.06723353793847955,0.03766252076933731,320,0.03325041476862486
baseline_pRN,val_pool,asof_dow,Thu,0.5058997974258767,0.16559306883163122,0.039252776293532125,0.040976930343956844,1138,0.28830061509855787
logit_C=1,val_pool,asof_dow,Thu,0.5007846020424771,0.1640002903240325,0.03879075621643389,0.03414547371874871,1138,0.28830061509855787
baseline_pRN,val_pool,asof_dow,Tue,0.4712783824000952,0.15087083231656157,0.11643768284238737,0.1156056776055436,375,0.03852380821182891
logit_C=1,val_pool,asof_dow,Tue,0.4524949961831671,0.14481776590889628,0.09906509298714088,0.09082999626403201,375,0.03852380821182891
baseline_pRN,val_pool,asof_dow,Wed,0.48922774807810265,0.15897771438263478,0.09454875070873502,0.09471516746309427,1354,0.38311502413586696
logit_C=1,val_pool,asof_dow,Wed,0.4889539522942311,0.15922038222332102,0.10535063783026839,0.10535063783026838,1354,0.38311502413586696
baseline_pRN,test,asof_dow,Mon,0.4298215683343041,0.1339367825686566,0.14062088586314378,0.13998895247991278,144,0.01965774295698524
logit_C=1,test,asof_dow,Mon,0.40960754740658056,0.12767975669399292,0.11527928614833882,0.1110297577328516,144,0.01965774295698524
baseline_pRN,test,asof_dow,Thu,0.4208735078643227,0.13050804419229983,0.11216637222422157,0.11536095708957304,351,0.12734646806782304
logit_C=1,test,asof_dow,Thu,0.39332473836060006,0.12212722226778781,0.05566344682372963,0.041091327625334205,351,0.12734646806782304
baseline_pRN,test,asof_dow,Tue,0.6022138855261977,0.20716404833489482,0.1168368972554719,0.07663749174877184,156,0.02266155651383074
logit_C=1,test,asof_dow,Tue,0.6094046695148081,0.21002366145856427,0.09520548761417905,0.0754828700461818,156,0.02266155651383074
baseline_pRN,test,asof_dow,Wed,0.41589298890922294,0.1264846739062279,0.1325646890220708,0.12439825470500747,589,0.18158934970091484
logit_C=1,test,asof_dow,Wed,0.3937036026588761,0.12149352934468124,0.08489189355996811,0.06886901916122008,589,0.18158934970091484
