model,split,group_type,group_value,logloss,brier,ece,ece_q,n,weight_sum
baseline_pRN,val_pool,ticker,QQQ,0.5310196468571506,0.1756803309725864,0.05910908065834488,0.055521862134629056,841,0.05305953021837469
logit_C=2,val_pool,ticker,QQQ,0.5295771275996588,0.17443093186499442,0.06218693803650046,0.05870778456921898,841,0.05305953021837469
baseline_pRN,val_pool,ticker,SPY,0.527331544799752,0.17452446284451675,0.04218120424803457,0.03478074139249223,555,0.06623410948931696
logit_C=2,val_pool,ticker,SPY,0.5305818430284408,0.17562891014788357,0.054175654471758344,0.05369791844668004,555,0.06623410948931696
baseline_pRN,val_pool,ticker,META,0.4358835790120827,0.13618628977809571,0.10551117579874028,0.10840617730970127,366,0.0659751963246358
logit_C=2,val_pool,ticker,META,0.4184577069361903,0.1335389218659291,0.060685687902498675,0.07330743824590134,366,0.0659751963246358
baseline_pRN,val_pool,ticker,TSLA,0.5193360183832714,0.17104652308233717,0.07328152249223764,0.06586284063249528,328,0.06921946370635369
logit_C=2,val_pool,ticker,TSLA,0.5181391765466005,0.17037604075058743,0.07013969753385409,0.07022316117052071,328,0.06921946370635369
baseline_pRN,val_pool,ticker,NFLX,0.5317147233216865,0.17506723358407206,0.14357627680210927,0.13013203917431382,282,0.03516082296552595
logit_C=2,val_pool,ticker,NFLX,0.520139186489804,0.16836853785833028,0.10785166964098548,0.11101495983964264,282,0.03516082296552595
baseline_pRN,val_pool,ticker,IWM,0.5631305515917782,0.19021382966356457,0.06485950447514127,0.046398230202101765,227,0.05692615173089666
logit_C=2,val_pool,ticker,IWM,0.5677012726433109,0.1916871406076402,0.07640293198430341,0.05371701805789294,227,0.05692615173089666
baseline_pRN,val_pool,ticker,MSFT,0.48076578278503174,0.15730127635466487,0.09534746034953837,0.09660419757990067,177,0.08833240213895081
logit_C=2,val_pool,ticker,MSFT,0.4759517708451595,0.15802439508426164,0.11942015474857964,0.10207068112668724,177,0.08833240213895081
baseline_pRN,val_pool,ticker,PLTR,0.550219558529972,0.18330655942650256,0.09105186753492747,0.09031746217711331,117,0.07177603951756471
logit_C=2,val_pool,ticker,PLTR,0.6273169488784985,0.19871753769089417,0.15320299429614356,0.13886847566468113,117,0.07177603951756471
baseline_pRN,val_pool,ticker,NVDA,0.4046511109594605,0.1220564553862951,0.14545518973054852,0.12810688769924206,111,0.037159254386869615
logit_C=2,val_pool,ticker,NVDA,0.3473248794437513,0.10556079165413446,0.09161005012754632,0.08745028048820043,111,0.037159254386869615
baseline_pRN,val_pool,ticker,GOOGL,0.4888081194721566,0.15834491539581116,0.1253604140750695,0.1256684726047574,92,0.079751224460432
logit_C=2,val_pool,ticker,GOOGL,0.48177848986512223,0.15728115945298732,0.11719081785828735,0.08869686687195191,92,0.079751224460432
baseline_pRN,test,ticker,QQQ,0.5045299254686026,0.16473604563063896,0.07362597953029547,0.06751494798417818,302,0.028423357140936835
logit_C=2,test,ticker,QQQ,0.49439285488819257,0.16177029760036404,0.059813053980075234,0.05653204375526009,302,0.028423357140936835
baseline_pRN,test,ticker,SPY,0.4456604799603427,0.14202430244621755,0.08272313960694395,0.07000654733290693,240,0.03202216767575583
logit_C=2,test,ticker,SPY,0.44032267670453895,0.14124561590586945,0.08198928173631462,0.064694082815604,240,0.03202216767575583
baseline_pRN,test,ticker,META,0.49949815709666473,0.16270202229727024,0.1618941181327091,0.16189411813270904,149,0.033164635063887796
logit_C=2,test,ticker,META,0.5091298937859203,0.1669201811855069,0.1636523012938502,0.15442468843052096,149,0.033164635063887796
baseline_pRN,test,ticker,TSLA,0.4505458956289031,0.14053433498847134,0.14337436652325009,0.1260265981675443,142,0.033755478024669806
logit_C=2,test,ticker,TSLA,0.43031251932328163,0.13553479622727632,0.11474027628923582,0.10964565251790397,142,0.033755478024669806
baseline_pRN,test,ticker,IWM,0.4918197722397441,0.15864991379446883,0.0850135497890604,0.0923522385960606,103,0.0322009998193636
logit_C=2,test,ticker,IWM,0.48769289006506833,0.15706282837414662,0.08142767792725616,0.08421959683334984,103,0.0322009998193636
baseline_pRN,test,ticker,NFLX,0.3572822375946503,0.10107014731473324,0.1747875091287871,0.16171143047831074,68,0.0110420662319362
logit_C=2,test,ticker,NFLX,0.31590145639829953,0.08891879077173848,0.14232666166967334,0.12602518050929096,68,0.0110420662319362
baseline_pRN,test,ticker,MSFT,0.47774162239455475,0.15678048981066786,0.19597808599510566,0.19817284015949874,61,0.024403311453308697
logit_C=2,test,ticker,MSFT,0.5001512444064692,0.16365519109785231,0.16807486790397266,0.1578098376071223,61,0.024403311453308697
baseline_pRN,test,ticker,PLTR,0.46714292217020265,0.15149251165866154,0.17904248178940851,0.2001147012995987,57,0.033227594085906295
logit_C=2,test,ticker,PLTR,0.5038505444132061,0.16804242802923441,0.20424363666353396,0.21389793691265202,57,0.033227594085906295
baseline_pRN,test,ticker,GOOGL,0.37046692013352484,0.10622769931051908,0.2023071877120128,0.21922291703192326,39,0.036639038856000186
logit_C=2,test,ticker,GOOGL,0.32042235724479873,0.09039771124596481,0.17726611637203016,0.1772661163720302,39,0.036639038856000186
baseline_pRN,test,ticker,NVDA,0.3445059785596241,0.09870454660369915,0.22101457540362138,0.19661177032102828,39,0.007468608153537
logit_C=2,test,ticker,NVDA,0.3094806018355828,0.0935103248164313,0.1506891329333764,0.15007497764265856,39,0.007468608153537
baseline_pRN,val_pool,T_days,1,0.4953221839837126,0.1613117378597848,0.05688069007461665,0.05618314671724313,3187,0.7431898622148785
logit_C=2,val_pool,T_days,1,0.4919255127046638,0.16042386683069698,0.05627783044637903,0.05627783044637903,3187,0.7431898622148785
baseline_pRN,test,T_days,1,0.4304988329489706,0.13356549269940535,0.10514134330592273,0.10284074192155403,1240,0.3512551172395538
logit_C=2,test,T_days,1,0.40838707302765426,0.12778713006137396,0.06009345650800792,0.05173543505209056,1240,0.3512551172395538
baseline_pRN,val_pool,asof_dow,Mon,0.501685903046601,0.16317976120010538,0.08183989246267703,0.05542427030533605,320,0.03325041476862486
logit_C=2,val_pool,asof_dow,Mon,0.4948583673624994,0.16134545355430888,0.06721639926462196,0.03767415134476062,320,0.03325041476862486
baseline_pRN,val_pool,asof_dow,Thu,0.5058997974258767,0.16559306883163122,0.039252776293532125,0.040976930343956844,1138,0.28830061509855787
logit_C=2,val_pool,asof_dow,Thu,0.5008022778005637,0.1640038722557257,0.03813596162935975,0.03414140599341136,1138,0.28830061509855787
baseline_pRN,val_pool,asof_dow,Tue,0.4712783824000952,0.15087083231656157,0.11643768284238737,0.1156056776055436,375,0.03852380821182891
logit_C=2,val_pool,asof_dow,Tue,0.4524661202956001,0.1448074732301801,0.09900949933633879,0.0907782770099722,375,0.03852380821182891
baseline_pRN,val_pool,asof_dow,Wed,0.48922774807810265,0.15897771438263478,0.09454875070873502,0.09471516746309427,1354,0.38311502413586696
logit_C=2,val_pool,asof_dow,Wed,0.48895885952183954,0.15922016056542915,0.10534121799484501,0.10534121799484508,1354,0.38311502413586696
baseline_pRN,test,asof_dow,Mon,0.4298215683343041,0.1339367825686566,0.14062088586314378,0.13998895247991278,144,0.01965774295698524
logit_C=2,test,asof_dow,Mon,0.4095732849233099,0.12766980298022537,0.1152440216461468,0.11099585565171478,144,0.01965774295698524
