model,split,group_type,group_value,logloss,brier,ece,ece_q,n,weight_sum
baseline_pRN,val_pool,ticker,QQQ,0.5310196468571506,0.1756803309725864,0.05910908065834488,0.055521862134629056,841,0.05305953021837469
logit_C=10,val_pool,ticker,QQQ,0.5295861202222338,0.17443254286685636,0.062183803833782886,0.05871793145939893,841,0.05305953021837469
baseline_pRN,val_pool,ticker,SPY,0.527331544799752,0.17452446284451675,0.04218120424803457,0.03478074139249223,555,0.06623410948931696
logit_C=10,val_pool,ticker,SPY,0.5305953354176739,0.1756330951669203,0.0542186768498781,0.053741208822958186,555,0.06623410948931696
baseline_pRN,val_pool,ticker,META,0.4358835790120827,0.13618628977809571,0.10551117579874028,0.10840617730970127,366,0.0659751963246358
logit_C=10,val_pool,ticker,META,0.4184516041926199,0.1335369989155865,0.06069444272045368,0.07331021092714549,366,0.0659751963246358
baseline_pRN,val_pool,ticker,TSLA,0.5193360183832714,0.17104652308233717,0.07328152249223764,0.06586284063249528,328,0.06921946370635369
logit_C=10,val_pool,ticker,TSLA,0.5181510218424714,0.17037952503924253,0.07015776238661688,0.07023976996768891,328,0.06921946370635369
baseline_pRN,val_pool,ticker,NFLX,0.5317147233216865,0.17506723358407206,0.14357627680210927,0.13013203917431382,282,0.03516082296552595
logit_C=10,val_pool,ticker,NFLX,0.5199931085236157,0.1683109394732482,0.10762246232104593,0.11083682836831824,282,0.03516082296552595
baseline_pRN,val_pool,ticker,IWM,0.5631305515917782,0.19021382966356457,0.06485950447514127,0.046398230202101765,227,0.05692615173089666
logit_C=10,val_pool,ticker,IWM,0.5677188037645852,0.1916918149732859,0.07663829986565894,0.053721687723394626,227,0.05692615173089666
baseline_pRN,val_pool,ticker,MSFT,0.48076578278503174,0.15730127635466487,0.09534746034953837,0.09660419757990067,177,0.08833240213895081
logit_C=10,val_pool,ticker,MSFT,0.4759638247553371,0.15802948810724085,0.11944083936701555,0.10209182761987617,177,0.08833240213895081
baseline_pRN,val_pool,ticker,PLTR,0.550219558529972,0.18330655942650256,0.09105186753492747,0.09031746217711331,117,0.07177603951756471
logit_C=10,val_pool,ticker,PLTR,0.6273562627854309,0.19872859845368984,0.1532425891905475,0.13891873713033523,117,0.07177603951756471
baseline_pRN,val_pool,ticker,NVDA,0.4046511109594605,0.1220564553862951,0.14545518973054852,0.12810688769924206,111,0.037159254386869615
logit_C=10,val_pool,ticker,NVDA,0.34731651544042286,0.1055409746770633,0.09157654117679084,0.08735536980967169,111,0.037159254386869615
baseline_pRN,val_pool,ticker,GOOGL,0.4888081194721566,0.15834491539581116,0.1253604140750695,0.1256684726047574,92,0.079751224460432
logit_C=10,val_pool,ticker,GOOGL,0.48180199592459233,0.15729002421107408,0.11721856060240965,0.08872323116224255,92,0.079751224460432
baseline_pRN,test,ticker,QQQ,0.5045299254686026,0.16473604563063896,0.07362597953029547,0.06751494798417818,302,0.028423357140936835
logit_C=10,test,ticker,QQQ,0.4943583588196401,0.16176109751649453,0.05971731523199519,0.05644306090953976,302,0.028423357140936835
baseline_pRN,test,ticker,SPY,0.4456604799603427,0.14202430244621755,0.08272313960694395,0.07000654733290693,240,0.03202216767575583
logit_C=10,test,ticker,SPY,0.4402668463264998,0.14123456924559588,0.08193039390027876,0.06462129799560618,240,0.03202216767575583
baseline_pRN,test,ticker,META,0.49949815709666473,0.16270202229727024,0.1618941181327091,0.16189411813270904,149,0.033164635063887796
logit_C=10,test,ticker,META,0.5090845820164941,0.16690537979706743,0.16356241060797705,0.1543287049064256,149,0.033164635063887796
baseline_pRN,test,ticker,TSLA,0.4505458956289031,0.14053433498847134,0.14337436652325009,0.1260265981675443,142,0.033755478024669806
logit_C=10,test,ticker,TSLA,0.4302462619363701,0.13551857761625838,0.11466713470730036,0.10957499235199157,142,0.033755478024669806
baseline_pRN,test,ticker,IWM,0.4918197722397441,0.15864991379446883,0.0850135497890604,0.0923522385960606,103,0.0322009998193636
logit_C=10,test,ticker,IWM,0.48766724649828835,0.15705212592173795,0.0814058552144286,0.08417459264197662,103,0.0322009998193636
baseline_pRN,test,ticker,NFLX,0.3572822375946503,0.10107014731473324,0.1747875091287871,0.16171143047831074,68,0.0110420662319362
logit_C=10,test,ticker,NFLX,0.3158603161307609,0.08891219053363787,0.14548445827975934,0.12590368814279612,68,0.0110420662319362
baseline_pRN,test,ticker,MSFT,0.47774162239455475,0.15678048981066786,0.19597808599510566,0.19817284015949874,61,0.024403311453308697
logit_C=10,test,ticker,MSFT,0.5002262475800057,0.16367490710973862,0.1681284316551273,0.15786552979457416,61,0.024403311453308697
baseline_pRN,test,ticker,PLTR,0.46714292217020265,0.15149251165866154,0.17904248178940851,0.2001147012995987,57,0.033227594085906295
logit_C=10,test,ticker,PLTR,0.5039219311392134,0.16805239748864798,0.20427033797992847,0.21388589962939675,57,0.033227594085906295
baseline_pRN,test,ticker,GOOGL,0.37046692013352484,0.10622769931051908,0.2023071877120128,0.21922291703192326,39,0.036639038856000186
logit_C=10,test,ticker,GOOGL,0.32029014502755765,0.09036164708618295,0.17715550172203182,0.17715550172203182,39,0.036639038856000186
baseline_pRN,test,ticker,NVDA,0.3445059785596241,0.09870454660369915,0.22101457540362138,0.19661177032102828,39,0.007468608153537
