model,split,group_type,group_value,logloss,brier,ece,ece_q,n,weight_sum
baseline_pRN,val_pool,ticker,QQQ,0.5310196468571506,0.1756803309725864,0.05910908065834488,0.055521862134629056,841,0.05305953021837469
logit_C=0.05,val_pool,ticker,QQQ,0.5293229177174859,0.17440157683104127,0.06008900424294049,0.05853507709683789,841,0.05305953021837469
baseline_pRN,val_pool,ticker,SPY,0.527331544799752,0.17452446284451675,0.04218120424803457,0.03478074139249223,555,0.06623410948931696
logit_C=0.05,val_pool,ticker,SPY,0.5303872291316144,0.17558762717190796,0.053487027075389854,0.052995849488099545,555,0.06623410948931696
baseline_pRN,val_pool,ticker,META,0.4358835790120827,0.13618628977809571,0.10551117579874028,0.10840617730970127,366,0.0659751963246358
logit_C=0.05,val_pool,ticker,META,0.4191558180014923,0.13376961314308017,0.061092884558217646,0.07388479979913735,366,0.0659751963246358
baseline_pRN,val_pool,ticker,TSLA,0.5193360183832714,0.17104652308233717,0.07328152249223764,0.06586284063249528,328,0.06921946370635369
logit_C=0.05,val_pool,ticker,TSLA,0.5179133698819054,0.17036159693709407,0.0703859478608959,0.07888702409145054,328,0.06921946370635369
baseline_pRN,val_pool,ticker,NFLX,0.5317147233216865,0.17506723358407206,0.14357627680210927,0.13013203917431382,282,0.03516082296552595
logit_C=0.05,val_pool,ticker,NFLX,0.5235153445942827,0.1698090146303192,0.11425509543141155,0.11345375222205098,282,0.03516082296552595
baseline_pRN,val_pool,ticker,IWM,0.5631305515917782,0.19021382966356457,0.06485950447514127,0.046398230202101765,227,0.05692615173089666
logit_C=0.05,val_pool,ticker,IWM,0.566969776483079,0.19148883671857558,0.07375418785371347,0.0475373532473976,227,0.05692615173089666
baseline_pRN,val_pool,ticker,MSFT,0.48076578278503174,0.15730127635466487,0.09534746034953837,0.09660419757990067,177,0.08833240213895081
logit_C=0.05,val_pool,ticker,MSFT,0.47605738278342324,0.15801713200379794,0.11511620146163713,0.10218542197995706,177,0.08833240213895081
baseline_pRN,val_pool,ticker,PLTR,0.550219558529972,0.18330655942650256,0.09105186753492747,0.09031746217711331,117,0.07177603951756471
logit_C=0.05,val_pool,ticker,PLTR,0.6243145301770012,0.19805413150251727,0.1600433734353735,0.13612294492621843,117,0.07177603951756471
baseline_pRN,val_pool,ticker,NVDA,0.4046511109594605,0.1220564553862951,0.14545518973054852,0.12810688769924206,111,0.037159254386869615
