label,bin,bin_lo,bin_hi,n,weight_sum,avg_pred,emp_rate
val_pool__baseline_pRN,1,0.0,0.06666666666666667,0,0.0,,
val_pool__baseline_pRN,2,0.06666666666666667,0.13333333333333333,150,0.038149972933592985,0.11499148115793223,0.04198439659825134
val_pool__baseline_pRN,3,0.13333333333333333,0.2,248,0.06168518137820079,0.1654841930819874,0.07733798319406951
val_pool__baseline_pRN,4,0.2,0.26666666666666666,220,0.05703216315748669,0.236075420136892,0.12077631562602767
val_pool__baseline_pRN,5,0.26666666666666666,0.3333333333333333,182,0.04348818896158012,0.30163400938661356,0.20804165218583828
val_pool__baseline_pRN,6,0.3333333333333333,0.4,183,0.046882019986924706,0.36627023913132034,0.28679420727353316
val_pool__baseline_pRN,7,0.4,0.4666666666666667,180,0.0451602237033424,0.42991905386842766,0.3049113477223871
val_pool__baseline_pRN,8,0.4666666666666667,0.5333333333333333,197,0.04762942516888964,0.5005235298825543,0.42581746141751103
val_pool__baseline_pRN,9,0.5333333333333333,0.6,205,0.04917941250796892,0.5628747625938819,0.4960355128646923
val_pool__baseline_pRN,10,0.6,0.6666666666666666,276,0.05827431217339733,0.6341048359059155,0.6559654102641503
val_pool__baseline_pRN,11,0.6666666666666666,0.7333333333333333,303,0.06549777492085085,0.7031363641104261,0.7176517509359
val_pool__baseline_pRN,12,0.7333333333333333,0.8,294,0.06358396515943245,0.7647061873314858,0.7635738617314581
val_pool__baseline_pRN,13,0.8,0.8666666666666667,423,0.0944396274123967,0.8342367217002873,0.8578161691810295
val_pool__baseline_pRN,14,0.8666666666666667,0.9333333333333333,326,0.07218759475081496,0.8854603868878034,0.9223716740459491
val_pool__baseline_pRN,15,0.9333333333333333,1.0,0,0.0,,
val_pool__logit_C=0.05,1,0.0,0.06666666666666667,19,0.009982346069147425,0.054645011355291505,0.0
val_pool__logit_C=0.05,2,0.06666666666666667,0.13333333333333333,253,0.06952982221402985,0.10376043040167819,0.05379733120672863
val_pool__logit_C=0.05,3,0.13333333333333333,0.2,230,0.05660812002967587,0.1666999739981168,0.11209304271805771
val_pool__logit_C=0.05,4,0.2,0.26666666666666666,199,0.048107899745757604,0.22927802840625788,0.18113275916344973
val_pool__logit_C=0.05,5,0.26666666666666666,0.3333333333333333,163,0.03785436081411621,0.2990464444058183,0.19191703882924213
val_pool__logit_C=0.05,6,0.3333333333333333,0.4,160,0.044169770420284055,0.3641173176769859,0.34113163375091043
val_pool__logit_C=0.05,7,0.4,0.4666666666666667,144,0.031026743724238897,0.4339473410777792,0.3846140291987608
val_pool__logit_C=0.05,8,0.4666666666666667,0.5333333333333333,170,0.03965636738988974,0.5020905503512737,0.42889383165261147
val_pool__logit_C=0.05,9,0.5333333333333333,0.6,151,0.03525630899108757,0.5678563150535046,0.49915275452019264
val_pool__logit_C=0.05,10,0.6,0.6666666666666666,185,0.035923574959518326,0.6315592024421599,0.5688564963466387
