model,split,group_type,group_value,logloss,brier,ece,ece_q,n,weight_sum
baseline_pRN,val_pool,ticker,QQQ,0.5310196468571506,0.1756803309725864,0.05910908065834488,0.055521862134629056,841,0.05305953021837469
logit_C=0.1,val_pool,ticker,QQQ,0.5287623424182074,0.1742150550615245,0.05958812282912065,0.058684428883419223,841,0.05305953021837469
baseline_pRN,val_pool,ticker,SPY,0.527331544799752,0.17452446284451675,0.04218120424803457,0.03478074139249223,555,0.06623410948931696
logit_C=0.1,val_pool,ticker,SPY,0.5299836563300068,0.1754425195460318,0.05320022015365289,0.05271309711613034,555,0.06623410948931696
baseline_pRN,val_pool,ticker,META,0.4358835790120827,0.13618628977809571,0.10551117579874028,0.10840617730970127,366,0.0659751963246358
logit_C=0.1,val_pool,ticker,META,0.4190783073984325,0.13380340982822514,0.06503474414370342,0.07515454428789481,366,0.0659751963246358
baseline_pRN,val_pool,ticker,TSLA,0.5193360183832714,0.17104652308233717,0.07328152249223764,0.06586284063249528,328,0.06921946370635369
logit_C=0.1,val_pool,ticker,TSLA,0.5175420076642158,0.17021076012698408,0.06935855607884812,0.06805293086121746,328,0.06921946370635369
baseline_pRN,val_pool,ticker,NFLX,0.5317147233216865,0.17506723358407206,0.14357627680210927,0.13013203917431382,282,0.03516082296552595
logit_C=0.1,val_pool,ticker,NFLX,0.5230656289360183,0.16940936210515153,0.11124370418639895,0.1146291291050855,282,0.03516082296552595
baseline_pRN,val_pool,ticker,IWM,0.5631305515917782,0.19021382966356457,0.06485950447514127,0.046398230202101765,227,0.05692615173089666
logit_C=0.1,val_pool,ticker,IWM,0.5668369904676733,0.19142063314249677,0.07234192849909177,0.04775114977669588,227,0.05692615173089666
baseline_pRN,val_pool,ticker,MSFT,0.48076578278503174,0.15730127635466487,0.09534746034953837,0.09660419757990067,177,0.08833240213895081
logit_C=0.1,val_pool,ticker,MSFT,0.47514843004755863,0.15771815386334492,0.10843440034879147,0.10030684616707165,177,0.08833240213895081
baseline_pRN,val_pool,ticker,PLTR,0.550219558529972,0.18330655942650256,0.09105186753492747,0.09031746217711331,117,0.07177603951756471
