model,split,group_type,group_value,logloss,brier,ece,ece_q,n,weight_sum
baseline_pRN,val_pool,ticker,QQQ,0.5310196468571506,0.1756803309725864,0.05910908065834488,0.055521862134629056,841,0.05305953021837469
logit_C=0.5,val_pool,ticker,QQQ,0.5295350518506347,0.17442044449450295,0.060596002740448934,0.0557452165563554,841,0.05305953021837469
baseline_pRN,val_pool,ticker,SPY,0.527331544799752,0.17452446284451675,0.04218120424803457,0.03478074139249223,555,0.06623410948931696
logit_C=0.5,val_pool,ticker,SPY,0.5306977394776345,0.17569410771505073,0.05409237289952998,0.05360799393880473,555,0.06623410948931696
baseline_pRN,val_pool,ticker,META,0.4358835790120827,0.13618628977809571,0.10551117579874028,0.10840617730970127,366,0.0659751963246358
logit_C=0.5,val_pool,ticker,META,0.4205595775872981,0.1341776620844869,0.06317830580248594,0.06926355666000832,366,0.0659751963246358
baseline_pRN,val_pool,ticker,TSLA,0.5193360183832714,0.17104652308233717,0.07328152249223764,0.06586284063249528,328,0.06921946370635369
logit_C=0.5,val_pool,ticker,TSLA,0.51812650276698,0.17033971398117298,0.07115195949334842,0.07029158473496964,328,0.06921946370635369
baseline_pRN,val_pool,ticker,NFLX,0.5317147233216865,0.17506723358407206,0.14357627680210927,0.13013203917431382,282,0.03516082296552595
logit_C=0.5,val_pool,ticker,NFLX,0.5189864471664931,0.16795317422027645,0.10934438160853804,0.11136734233465713,282,0.03516082296552595
baseline_pRN,val_pool,ticker,IWM,0.5631305515917782,0.19021382966356457,0.06485950447514127,0.046398230202101765,227,0.05692615173089666
logit_C=0.5,val_pool,ticker,IWM,0.5673959225041769,0.1916099274220502,0.07250756819672662,0.05330084063066709,227,0.05692615173089666
baseline_pRN,val_pool,ticker,MSFT,0.48076578278503174,0.15730127635466487,0.09534746034953837,0.09660419757990067,177,0.08833240213895081
logit_C=0.5,val_pool,ticker,MSFT,0.47634646590175683,0.15817357264427004,0.11552483584645158,0.10229990529326047,177,0.08833240213895081
baseline_pRN,val_pool,ticker,PLTR,0.550219558529972,0.18330655942650256,0.09105186753492747,0.09031746217711331,117,0.07177603951756471
logit_C=0.5,val_pool,ticker,PLTR,0.6263841798623591,0.198751239248,0.16460024769565157,0.1390714315582934,117,0.07177603951756471
baseline_pRN,val_pool,ticker,NVDA,0.4046511109594605,0.1220564553862951,0.14545518973054852,0.12810688769924206,111,0.037159254386869615
logit_C=0.5,val_pool,ticker,NVDA,0.34872502672788536,0.10588579524419958,0.10231372222440958,0.0874519049670861,111,0.037159254386869615
baseline_pRN,val_pool,ticker,GOOGL,0.4888081194721566,0.15834491539581116,0.1253604140750695,0.1256684726047574,92,0.079751224460432
logit_C=0.5,val_pool,ticker,GOOGL,0.4810693825721774,0.1569373560207496,0.12733926770898799,0.0890883668892321,92,0.079751224460432
baseline_pRN,test,ticker,QQQ,0.5045299254686026,0.16473604563063896,0.07362597953029547,0.06751494798417818,302,0.028423357140936835
logit_C=0.5,test,ticker,QQQ,0.49389013106046425,0.161548041442027,0.052971627872854955,0.056170398026754026,302,0.028423357140936835
baseline_pRN,test,ticker,SPY,0.4456604799603427,0.14202430244621755,0.08272313960694395,0.07000654733290693,240,0.03202216767575583
logit_C=0.5,test,ticker,SPY,0.4399860566242893,0.14109862518807995,0.07359741266452742,0.06435622202225091,240,0.03202216767575583
baseline_pRN,test,ticker,META,0.49949815709666473,0.16270202229727024,0.1618941181327091,0.16189411813270904,149,0.033164635063887796
logit_C=0.5,test,ticker,META,0.5064474434800176,0.16619842617691444,0.1543944967466591,0.15403880471582504,149,0.033164635063887796
baseline_pRN,test,ticker,TSLA,0.4505458956289031,0.14053433498847134,0.14337436652325009,0.1260265981675443,142,0.033755478024669806
logit_C=0.5,test,ticker,TSLA,0.4330068329165629,0.13637494803444927,0.11525371555568974,0.11111960158478454,142,0.033755478024669806
baseline_pRN,test,ticker,IWM,0.4918197722397441,0.15864991379446883,0.0850135497890604,0.0923522385960606,103,0.0322009998193636
logit_C=0.5,test,ticker,IWM,0.4876236401167229,0.15707312654487018,0.08118719576809257,0.08406088926108721,103,0.0322009998193636
baseline_pRN,test,ticker,NFLX,0.3572822375946503,0.10107014731473324,0.1747875091287871,0.16171143047831074,68,0.0110420662319362
logit_C=0.5,test,ticker,NFLX,0.3160120981040161,0.08892181214653129,0.14218658612849683,0.11999946528037915,68,0.0110420662319362
baseline_pRN,test,ticker,MSFT,0.47774162239455475,0.15678048981066786,0.19597808599510566,0.19817284015949874,61,0.024403311453308697
logit_C=0.5,test,ticker,MSFT,0.5063931596674133,0.1653037706875218,0.15996155687948066,0.15996155687948055,61,0.024403311453308697
baseline_pRN,test,ticker,PLTR,0.46714292217020265,0.15149251165866154,0.17904248178940851,0.2001147012995987,57,0.033227594085906295
logit_C=0.5,test,ticker,PLTR,0.5036991529653236,0.16805386602810102,0.21565427614748778,0.2138372175778784,57,0.033227594085906295
baseline_pRN,test,ticker,GOOGL,0.37046692013352484,0.10622769931051908,0.2023071877120128,0.21922291703192326,39,0.036639038856000186
logit_C=0.5,test,ticker,GOOGL,0.32115420786468296,0.09074790720905136,0.17813945052272273,0.1781394505227228,39,0.036639038856000186
baseline_pRN,test,ticker,NVDA,0.3445059785596241,0.09870454660369915,0.22101457540362138,0.19661177032102828,39,0.007468608153537
logit_C=0.5,test,ticker,NVDA,0.310292294363416,0.09371259681634103,0.1515696064092086,0.1506568421701247,39,0.007468608153537
baseline_pRN,val_pool,T_days,1,0.4953221839837126,0.1613117378597848,0.05688069007461665,0.05618314671724313,3187,0.7431898622148785
logit_C=0.5,val_pool,T_days,1,0.4916570863713226,0.16033619517281436,0.056297703074873674,0.05629770307487368,3187,0.7431898622148785
baseline_pRN,test,T_days,1,0.4304988329489706,0.13356549269940535,0.10514134330592273,0.10284074192155403,1240,0.3512551172395538
logit_C=0.5,test,T_days,1,0.4089182831002807,0.12789048209540135,0.05651873235865015,0.05247117416544138,1240,0.3512551172395538
baseline_pRN,val_pool,asof_dow,Mon,0.501685903046601,0.16317976120010538,0.08183989246267703,0.05542427030533605,320,0.03325041476862486
logit_C=0.5,val_pool,asof_dow,Mon,0.4951374760280661,0.16144392277745778,0.06898142850972667,0.0385566699892016,320,0.03325041476862486
baseline_pRN,val_pool,asof_dow,Thu,0.5058997974258767,0.16559306883163122,0.039252776293532125,0.040976930343956844,1138,0.28830061509855787
logit_C=0.5,val_pool,asof_dow,Thu,0.49974712943462446,0.16366919947572658,0.043327946075428184,0.03128224978537761,1138,0.28830061509855787
baseline_pRN,val_pool,asof_dow,Tue,0.4712783824000952,0.15087083231656157,0.11643768284238737,0.1156056776055436,375,0.03852380821182891
logit_C=0.5,val_pool,asof_dow,Tue,0.45234906769802913,0.14479376988126236,0.10065564743090251,0.09065210403473939,375,0.03852380821182891
baseline_pRN,val_pool,asof_dow,Wed,0.48922774807810265,0.15897771438263478,0.09454875070873502,0.09471516746309427,1354,0.38311502413586696
logit_C=0.5,val_pool,asof_dow,Wed,0.4892197133643092,0.15929476856005673,0.10567155771623134,0.10567155771623134,1354,0.38311502413586696
baseline_pRN,test,asof_dow,Mon,0.4298215683343041,0.1339367825686566,0.14062088586314378,0.13998895247991278,144,0.01965774295698524
logit_C=0.5,test,asof_dow,Mon,0.41018921308418255,0.1278785959214765,0.12346420129937608,0.1116069308414216,144,0.01965774295698524
baseline_pRN,test,asof_dow,Thu,0.4208735078643227,0.13050804419229983,0.11216637222422157,0.11536095708957304,351,0.12734646806782304
logit_C=0.5,test,asof_dow,Thu,0.3934046012527736,0.12199737210686366,0.050235281715477156,0.04281142256094095,351,0.12734646806782304
baseline_pRN,test,asof_dow,Tue,0.6022138855261977,0.20716404833489482,0.1168368972554719,0.07663749174877184,156,0.02266155651383074
logit_C=0.5,test,asof_dow,Tue,0.6087346020618524,0.20969345303196144,0.0952253265021905,0.07550198962786818,156,0.02266155651383074
baseline_pRN,test,asof_dow,Wed,0.41589298890922294,0.1264846739062279,0.1325646890220708,0.12439825470500747,589,0.18158934970091484
logit_C=0.5,test,asof_dow,Wed,0.3947240595199304,0.12181588437054745,0.08102509875635083,0.0703264212064336,589,0.18158934970091484
