model,split,group_type,group_value,logloss,brier,ece,ece_q,n,weight_sum
baseline_pRN,val_pool,ticker,QQQ,0.5310196468571506,0.1756803309725864,0.05910908065834488,0.055521862134629056,841,0.05305953021837469
logit_C=5,val_pool,ticker,QQQ,0.5295840423548002,0.1744269469312686,0.060556135851437945,0.0557266863184334,841,0.05305953021837469
baseline_pRN,val_pool,ticker,SPY,0.527331544799752,0.17452446284451675,0.04218120424803457,0.03478074139249223,555,0.06623410948931696
logit_C=5,val_pool,ticker,SPY,0.5307526175379027,0.17570999186340835,0.05424932577527546,0.053766684859017075,555,0.06623410948931696
baseline_pRN,val_pool,ticker,META,0.4358835790120827,0.13618628977809571,0.10551117579874028,0.10840617730970127,366,0.0659751963246358
logit_C=5,val_pool,ticker,META,0.4204771510132331,0.13414016687112387,0.06268698117373231,0.06903313599088334,366,0.0659751963246358
baseline_pRN,val_pool,ticker,TSLA,0.5193360183832714,0.17104652308233717,0.07328152249223764,0.06586284063249528,328,0.06921946370635369
logit_C=5,val_pool,ticker,TSLA,0.5181778106782124,0.17034921816374027,0.07112861217825445,0.0702958782120298,328,0.06921946370635369
baseline_pRN,val_pool,ticker,NFLX,0.5317147233216865,0.17506723358407206,0.14357627680210927,0.13013203917431382,282,0.03516082296552595
logit_C=5,val_pool,ticker,NFLX,0.5186017128477466,0.1677904680867979,0.10807878676075712,0.1055487975972133,282,0.03516082296552595
baseline_pRN,val_pool,ticker,IWM,0.5631305515917782,0.19021382966356457,0.06485950447514127,0.046398230202101765,227,0.05692615173089666
logit_C=5,val_pool,ticker,IWM,0.5675225832503077,0.19164454069793535,0.07262256742143683,0.05331653174076485,227,0.05692615173089666
baseline_pRN,val_pool,ticker,MSFT,0.48076578278503174,0.15730127635466487,0.09534746034953837,0.09660419757990067,177,0.08833240213895081
logit_C=5,val_pool,ticker,MSFT,0.47632394408427803,0.15817292161803032,0.1155058752386964,0.10225099711312956,177,0.08833240213895081
baseline_pRN,val_pool,ticker,PLTR,0.550219558529972,0.18330655942650256,0.09105186753492747,0.09031746217711331,117,0.07177603951756471
logit_C=5,val_pool,ticker,PLTR,0.6261531641772936,0.19870651616936616,0.1645165939891584,0.13889926457669588,117,0.07177603951756471
baseline_pRN,val_pool,ticker,NVDA,0.4046511109594605,0.1220564553862951,0.14545518973054852,0.12810688769924206,111,0.037159254386869615
logit_C=5,val_pool,ticker,NVDA,0.3488193172369242,0.10589376373899048,0.0876419763745636,0.08740172295630391,111,0.037159254386869615
baseline_pRN,val_pool,ticker,GOOGL,0.4888081194721566,0.15834491539581116,0.1253604140750695,0.1256684726047574,92,0.079751224460432
logit_C=5,val_pool,ticker,GOOGL,0.480994048161119,0.15690321184725298,0.12734075122566058,0.08909732611621837,92,0.079751224460432
baseline_pRN,test,ticker,QQQ,0.5045299254686026,0.16473604563063896,0.07362597953029547,0.06751494798417818,302,0.028423357140936835
logit_C=5,test,ticker,QQQ,0.4938414409810621,0.1615361665702311,0.05277739176074896,0.056011453688545806,302,0.028423357140936835
baseline_pRN,test,ticker,SPY,0.4456604799603427,0.14202430244621755,0.08272313960694395,0.07000654733290693,240,0.03202216767575583
logit_C=5,test,ticker,SPY,0.43989757866927537,0.14108723520263505,0.07352031852755667,0.06429884904915373,240,0.03202216767575583
baseline_pRN,test,ticker,META,0.49949815709666473,0.16270202229727024,0.1618941181327091,0.16189411813270904,149,0.033164635063887796
logit_C=5,test,ticker,META,0.5063317455993681,0.16615333379096264,0.15431364029276867,0.15395954968596934,149,0.033164635063887796
baseline_pRN,test,ticker,TSLA,0.4505458956289031,0.14053433498847134,0.14337436652325009,0.1260265981675443,142,0.033755478024669806
logit_C=5,test,ticker,TSLA,0.4329779472697582,0.13635677739519397,0.11518771238088757,0.11105269623046564,142,0.033755478024669806
