model,split,group_type,group_value,logloss,brier,ece,ece_q,n,weight_sum
baseline_pRN,val_pool,ticker,QQQ,0.5310196468571506,0.1756803309725864,0.05910908065834488,0.055521862134629056,841,0.05305953021837469
logit_C=0.1,val_pool,ticker,QQQ,0.5295255858913691,0.17443211819680285,0.06210768776386678,0.058945062013689556,841,0.05305953021837469
baseline_pRN,val_pool,ticker,SPY,0.527331544799752,0.17452446284451675,0.04218120424803457,0.03478074139249223,555,0.06623410948931696
logit_C=0.1,val_pool,ticker,SPY,0.5305801280249225,0.17564044012453356,0.05414234813621373,0.0536597780087016,555,0.06623410948931696
baseline_pRN,val_pool,ticker,META,0.4358835790120827,0.13618628977809571,0.10551117579874028,0.10840617730970127,366,0.0659751963246358
logit_C=0.1,val_pool,ticker,META,0.4186973088304392,0.13361551301015762,0.06066553608959872,0.07342199667723465,366,0.0659751963246358
baseline_pRN,val_pool,ticker,TSLA,0.5193360183832714,0.17104652308233717,0.07328152249223764,0.06586284063249528,328,0.06921946370635369
logit_C=0.1,val_pool,ticker,TSLA,0.5180840871068467,0.17037621701286923,0.07032173419594806,0.07033392561970644,328,0.06921946370635369
baseline_pRN,val_pool,ticker,NFLX,0.5317147233216865,0.17506723358407206,0.14357627680210927,0.13013203917431382,282,0.03516082296552595
logit_C=0.1,val_pool,ticker,NFLX,0.522366914055904,0.16926921008727877,0.11471174865605459,0.11382250023942772,282,0.03516082296552595
baseline_pRN,val_pool,ticker,IWM,0.5631305515917782,0.19021382966356457,0.06485950447514127,0.046398230202101765,227,0.05692615173089666
logit_C=0.1,val_pool,ticker,IWM,0.5674106675123761,0.19160768793153254,0.07637839850336782,0.053693321496423634,227,0.05692615173089666
baseline_pRN,val_pool,ticker,MSFT,0.48076578278503174,0.15730127635466487,0.09534746034953837,0.09660419757990067,177,0.08833240213895081
logit_C=0.1,val_pool,ticker,MSFT,0.47606597888389124,0.15804541428039479,0.11525429061297165,0.10223176533850759,177,0.08833240213895081
baseline_pRN,val_pool,ticker,PLTR,0.550219558529972,0.18330655942650256,0.09105186753492747,0.09031746217711331,117,0.07177603951756471
logit_C=0.1,val_pool,ticker,PLTR,0.6248498024766266,0.1981109152479969,0.16024398498117323,0.13636840857943652,117,0.07177603951756471
baseline_pRN,val_pool,ticker,NVDA,0.4046511109594605,0.1220564553862951,0.14545518973054852,0.12810688769924206,111,0.037159254386869615
logit_C=0.1,val_pool,ticker,NVDA,0.34758912188996127,0.10594112296409998,0.09433316148879513,0.08913607017519438,111,0.037159254386869615
baseline_pRN,val_pool,ticker,GOOGL,0.4888081194721566,0.15834491539581116,0.1253604140750695,0.1256684726047574,92,0.079751224460432
logit_C=0.1,val_pool,ticker,GOOGL,0.480849751747576,0.15692119688279788,0.11598908323538934,0.08751622564064919,92,0.079751224460432
baseline_pRN,test,ticker,QQQ,0.5045299254686026,0.16473604563063896,0.07362597953029547,0.06751494798417818,302,0.028423357140936835
logit_C=0.1,test,ticker,QQQ,0.494547395895766,0.16181088049252884,0.0504039492028599,0.05709611074998672,302,0.028423357140936835
baseline_pRN,test,ticker,SPY,0.4456604799603427,0.14202430244621755,0.08272313960694395,0.07000654733290693,240,0.03202216767575583
logit_C=0.1,test,ticker,SPY,0.44077306080349515,0.14133578147127587,0.08440310835761458,0.065238848685462,240,0.03202216767575583
baseline_pRN,test,ticker,META,0.49949815709666473,0.16270202229727024,0.1618941181327091,0.16189411813270904,149,0.033164635063887796
logit_C=0.1,test,ticker,META,0.5093509792439785,0.166975713582084,0.1637093738244707,0.15453279833855554,149,0.033164635063887796
baseline_pRN,test,ticker,TSLA,0.4505458956289031,0.14053433498847134,0.14337436652325009,0.1260265981675443,142,0.033755478024669806
logit_C=0.1,test,ticker,TSLA,0.4303932406758067,0.13557367260628797,0.114753625972714,0.10964899409196815,142,0.033755478024669806
baseline_pRN,test,ticker,IWM,0.4918197722397441,0.15864991379446883,0.0850135497890604,0.0923522385960606,103,0.0322009998193636
logit_C=0.1,test,ticker,IWM,0.48792716723129964,0.1571597357638715,0.08164246996470725,0.08459866837219066,103,0.0322009998193636
baseline_pRN,test,ticker,NFLX,0.3572822375946503,0.10107014731473324,0.1747875091287871,0.16171143047831074,68,0.0110420662319362
logit_C=0.1,test,ticker,NFLX,0.31381357591879044,0.08835766037775278,0.1236132067125861,0.1269239318644025,68,0.0110420662319362
baseline_pRN,test,ticker,MSFT,0.47774162239455475,0.15678048981066786,0.19597808599510566,0.19817284015949874,61,0.024403311453308697
logit_C=0.1,test,ticker,MSFT,0.5006490644150999,0.16375234854911996,0.16794822457880423,0.16041046187796962,61,0.024403311453308697
baseline_pRN,test,ticker,PLTR,0.46714292217020265,0.15149251165866154,0.17904248178940851,0.2001147012995987,57,0.033227594085906295
logit_C=0.1,test,ticker,PLTR,0.5029110675940321,0.16776047346035286,0.20377776716834128,0.21346444244378587,57,0.033227594085906295
baseline_pRN,test,ticker,GOOGL,0.37046692013352484,0.10622769931051908,0.2023071877120128,0.21922291703192326,39,0.036639038856000186
logit_C=0.1,test,ticker,GOOGL,0.3210113446789469,0.09058179563136355,0.17780127775368146,0.1778012777536815,39,0.036639038856000186
baseline_pRN,test,ticker,NVDA,0.3445059785596241,0.09870454660369915,0.22101457540362138,0.19661177032102828,39,0.007468608153537
logit_C=0.1,test,ticker,NVDA,0.30678529111377395,0.09268907108131837,0.14891694398121882,0.14930936357521876,39,0.007468608153537
baseline_pRN,val_pool,T_days,1,0.4953221839837126,0.1613117378597848,0.05688069007461665,0.05618314671724313,3187,0.7431898622148785
logit_C=0.1,val_pool,T_days,1,0.4916603327609024,0.1603664670682778,0.05632725484547678,0.05632725484547677,3187,0.7431898622148785
baseline_pRN,test,T_days,1,0.4304988329489706,0.13356549269940535,0.10514134330592273,0.10284074192155403,1240,0.3512551172395538
logit_C=0.1,test,T_days,1,0.40825764718548785,0.12772225472954424,0.05937771994750369,0.05157835985957325,1240,0.3512551172395538
baseline_pRN,val_pool,asof_dow,Mon,0.501685903046601,0.16317976120010538,0.08183989246267703,0.05542427030533605,320,0.03325041476862486
logit_C=0.1,val_pool,asof_dow,Mon,0.4949413509840098,0.16137644818598368,0.06559210248078204,0.038246256333027945,320,0.03325041476862486
baseline_pRN,val_pool,asof_dow,Thu,0.5058997974258767,0.16559306883163122,0.039252776293532125,0.040976930343956844,1138,0.28830061509855787
logit_C=0.1,val_pool,asof_dow,Thu,0.5004693268485205,0.1639312045632947,0.039345813767251187,0.024815340748279544,1138,0.28830061509855787
baseline_pRN,val_pool,asof_dow,Tue,0.4712783824000952,0.15087083231656157,0.11643768284238737,0.1156056776055436,375,0.03852380821182891
logit_C=0.1,val_pool,asof_dow,Tue,0.4526724715610332,0.14485009159866438,0.10121030441418273,0.09097997221513282,375,0.03852380821182891
baseline_pRN,val_pool,asof_dow,Wed,0.48922774807810265,0.15897771438263478,0.09454875070873502,0.09471516746309427,1354,0.38311502413586696
logit_C=0.1,val_pool,asof_dow,Wed,0.4886670470087315,0.15915652122535004,0.10529561243420336,0.10529561243420342,1354,0.38311502413586696
baseline_pRN,test,asof_dow,Mon,0.4298215683343041,0.1339367825686566,0.14062088586314378,0.13998895247991278,144,0.01965774295698524
logit_C=0.1,test,asof_dow,Mon,0.4102859388396288,0.12787387988899718,0.11596271953478575,0.11170827694047841,144,0.01965774295698524
baseline_pRN,test,asof_dow,Thu,0.4208735078643227,0.13050804419229983,0.11216637222422157,0.11536095708957304,351,0.12734646806782304
logit_C=0.1,test,asof_dow,Thu,0.3929546948813357,0.12201431206510677,0.053378235319941396,0.04051894145015562,351,0.12734646806782304
baseline_pRN,test,asof_dow,Tue,0.6022138855261977,0.20716404833489482,0.1168368972554719,0.07663749174877184,156,0.02266155651383074
logit_C=0.1,test,asof_dow,Tue,0.6089436908537373,0.20987664138560205,0.09460217386270722,0.07485336172213032,156,0.02266155651383074
baseline_pRN,test,asof_dow,Wed,0.41589298890922294,0.1264846739062279,0.1325646890220708,0.12439825470500747,589,0.18158934970091484
logit_C=0.1,test,asof_dow,Wed,0.3937251163211701,0.12145624547239332,0.08451372083101938,0.06972819581545917,589,0.18158934970091484
