model,split,group_type,group_value,logloss,brier,ece,ece_q,n,weight_sum
baseline_pRN,val_pool,ticker,QQQ,0.5310196468571506,0.1756803309725864,0.05910908065834488,0.055521862134629056,841,0.05305953021837469
logit_C=0.5,val_pool,ticker,QQQ,0.5295338122205571,0.17442381961602194,0.06221803437732643,0.058700847240560995,841,0.05305953021837469
baseline_pRN,val_pool,ticker,SPY,0.527331544799752,0.17452446284451675,0.04218120424803457,0.03478074139249223,555,0.06623410948931696
logit_C=0.5,val_pool,ticker,SPY,0.5305451424691621,0.1756199545657403,0.05406748875920099,0.05358799778371712,555,0.06623410948931696
baseline_pRN,val_pool,ticker,META,0.4358835790120827,0.13618628977809571,0.10551117579874028,0.10840617730970127,366,0.0659751963246358
logit_C=0.5,val_pool,ticker,META,0.4185233761967175,0.1335591715182047,0.060666258720564074,0.07333035696631775,366,0.0659751963246358
baseline_pRN,val_pool,ticker,TSLA,0.5193360183832714,0.17104652308233717,0.07328152249223764,0.06586284063249528,328,0.06921946370635369
logit_C=0.5,val_pool,ticker,TSLA,0.5180706814384608,0.17036226973948573,0.07006584463809366,0.07017089443957669,328,0.06921946370635369
baseline_pRN,val_pool,ticker,NFLX,0.5317147233216865,0.17506723358407206,0.14357627680210927,0.13013203917431382,282,0.03516082296552595
logit_C=0.5,val_pool,ticker,NFLX,0.5205269736033122,0.16853349852969468,0.10851783523077116,0.11242824529055871,282,0.03516082296552595
baseline_pRN,val_pool,ticker,IWM,0.5631305515917782,0.19021382966356457,0.06485950447514127,0.046398230202101765,227,0.05692615173089666
logit_C=0.5,val_pool,ticker,IWM,0.5676092249227149,0.1916629105374767,0.07630926462174623,0.053690251813777685,227,0.05692615173089666
baseline_pRN,val_pool,ticker,MSFT,0.48076578278503174,0.15730127635466487,0.09534746034953837,0.09660419757990067,177,0.08833240213895081
logit_C=0.5,val_pool,ticker,MSFT,0.4759277663043367,0.1580120368748843,0.11510046468809298,0.10202721879737389,177,0.08833240213895081
baseline_pRN,val_pool,ticker,PLTR,0.550219558529972,0.18330655942650256,0.09105186753492747,0.09031746217711331,117,0.07177603951756471
logit_C=0.5,val_pool,ticker,PLTR,0.6271155778002157,0.19867702842770887,0.15365276210412923,0.13866745222642243,117,0.07177603951756471
baseline_pRN,val_pool,ticker,NVDA,0.4046511109594605,0.1220564553862951,0.14545518973054852,0.12810688769924206,111,0.037159254386869615
logit_C=0.5,val_pool,ticker,NVDA,0.3473479345544794,0.10562656424354373,0.09173373225165712,0.08779037621993951,111,0.037159254386869615
baseline_pRN,val_pool,ticker,GOOGL,0.4888081194721566,0.15834491539581116,0.1253604140750695,0.1256684726047574,92,0.079751224460432
logit_C=0.5,val_pool,ticker,GOOGL,0.48171010678268195,0.157258597123359,0.11711633060314393,0.08861303072548637,92,0.079751224460432
