label,bin,bin_lo,bin_hi,n,weight_sum,avg_pred,emp_rate
val_pool__baseline_pRN,1,0.0,0.06666666666666667,0,0.0,,
val_pool__baseline_pRN,2,0.06666666666666667,0.13333333333333333,150,0.038149972933592985,0.11499148115793223,0.04198439659825134
val_pool__baseline_pRN,3,0.13333333333333333,0.2,248,0.06168518137820079,0.1654841930819874,0.07733798319406951
val_pool__baseline_pRN,4,0.2,0.26666666666666666,220,0.05703216315748669,0.236075420136892,0.12077631562602767
val_pool__baseline_pRN,5,0.26666666666666666,0.3333333333333333,182,0.04348818896158012,0.30163400938661356,0.20804165218583828
val_pool__baseline_pRN,6,0.3333333333333333,0.4,183,0.046882019986924706,0.36627023913132034,0.28679420727353316
val_pool__baseline_pRN,7,0.4,0.4666666666666667,180,0.0451602237033424,0.42991905386842766,0.3049113477223871
val_pool__baseline_pRN,8,0.4666666666666667,0.5333333333333333,197,0.04762942516888964,0.5005235298825543,0.42581746141751103
val_pool__baseline_pRN,9,0.5333333333333333,0.6,205,0.04917941250796892,0.5628747625938819,0.4960355128646923
val_pool__baseline_pRN,10,0.6,0.6666666666666666,276,0.05827431217339733,0.6341048359059155,0.6559654102641503
val_pool__baseline_pRN,11,0.6666666666666666,0.7333333333333333,303,0.06549777492085085,0.7031363641104261,0.7176517509359
val_pool__baseline_pRN,12,0.7333333333333333,0.8,294,0.06358396515943245,0.7647061873314858,0.7635738617314581
val_pool__baseline_pRN,13,0.8,0.8666666666666667,423,0.0944396274123967,0.8342367217002873,0.8578161691810295
val_pool__baseline_pRN,14,0.8666666666666667,0.9333333333333333,326,0.07218759475081496,0.8854603868878034,0.9223716740459491
val_pool__baseline_pRN,15,0.9333333333333333,1.0,0,0.0,,
val_pool__logit_C=0.05,1,0.0,0.06666666666666667,14,0.006260802390708299,0.05515225749335877,0.0
val_pool__logit_C=0.05,2,0.06666666666666667,0.13333333333333333,273,0.07622052595070986,0.10207145414944514,0.05590212336762222
val_pool__logit_C=0.05,3,0.13333333333333333,0.2,230,0.057623978776498844,0.16852163549126076,0.11469372848895383
val_pool__logit_C=0.05,4,0.2,0.26666666666666666,187,0.04397773427765876,0.22721975339735512,0.18592422051601373
val_pool__logit_C=0.05,5,0.26666666666666666,0.3333333333333333,173,0.04111576156177779,0.29995592290837036,0.25536495423087985
val_pool__logit_C=0.05,6,0.3333333333333333,0.4,158,0.0388362502480752,0.3631587693347093,0.24556528234327787
val_pool__logit_C=0.05,7,0.4,0.4666666666666667,142,0.032852528967785344,0.4310317463401206,0.3425992169361275
val_pool__logit_C=0.05,8,0.4666666666666667,0.5333333333333333,156,0.034813268924576486,0.4978322395701575,0.46000283740463216
val_pool__logit_C=0.05,9,0.5333333333333333,0.6,170,0.04154908708482262,0.5650518189155693,0.49905727765274316
val_pool__logit_C=0.05,10,0.6,0.6666666666666666,187,0.03733611659186103,0.6314789033336476,0.5536215983420563
