model,split,group_type,group_value,logloss,brier,ece,ece_q,n,weight_sum
baseline_pRN,val_pool,ticker,QQQ,0.5310196468571506,0.1756803309725864,0.05910908065834488,0.055521862134629056,841,0.05305953021837469
logit_C=0.1,val_pool,ticker,QQQ,0.5276045636280644,0.17408120168653726,0.0590906268796442,0.056872213742898255,841,0.05305953021837469
baseline_pRN,val_pool,ticker,SPY,0.527331544799752,0.17452446284451675,0.04218120424803457,0.03478074139249223,555,0.06623410948931696
logit_C=0.1,val_pool,ticker,SPY,0.5265469837152358,0.17428181359498726,0.04484255418580058,0.04169451793484962,555,0.06623410948931696
baseline_pRN,val_pool,ticker,META,0.4358835790120827,0.13618628977809571,0.10551117579874028,0.10840617730970127,366,0.0659751963246358
logit_C=0.1,val_pool,ticker,META,0.421868020709282,0.1348764841998224,0.06448685289308909,0.07869404196148197,366,0.0659751963246358
baseline_pRN,val_pool,ticker,TSLA,0.5193360183832714,0.17104652308233717,0.07328152249223764,0.06586284063249528,328,0.06921946370635369
logit_C=0.1,val_pool,ticker,TSLA,0.5196200632206153,0.1710603252032131,0.0741681866222346,0.08193793502804465,328,0.06921946370635369
baseline_pRN,val_pool,ticker,NFLX,0.5317147233216865,0.17506723358407206,0.14357627680210927,0.13013203917431382,282,0.03516082296552595
logit_C=0.1,val_pool,ticker,NFLX,0.5404179011721788,0.17648068028188493,0.13203938366014145,0.1319502459867324,282,0.03516082296552595
baseline_pRN,val_pool,ticker,IWM,0.5631305515917782,0.19021382966356457,0.06485950447514127,0.046398230202101765,227,0.05692615173089666
logit_C=0.1,val_pool,ticker,IWM,0.5658420045488106,0.1912062983466886,0.07651557683398573,0.04564864844488295,227,0.05692615173089666
baseline_pRN,val_pool,ticker,MSFT,0.48076578278503174,0.15730127635466487,0.09534746034953837,0.09660419757990067,177,0.08833240213895081
logit_C=0.1,val_pool,ticker,MSFT,0.4733221752598924,0.1569868662755254,0.11235448030482624,0.09745830821048959,177,0.08833240213895081
baseline_pRN,val_pool,ticker,PLTR,0.550219558529972,0.18330655942650256,0.09105186753492747,0.09031746217711331,117,0.07177603951756471
logit_C=0.1,val_pool,ticker,PLTR,0.5908497319800341,0.19044745855426648,0.11984663616466978,0.10874631616250435,117,0.07177603951756471
baseline_pRN,val_pool,ticker,NVDA,0.4046511109594605,0.1220564553862951,0.14545518973054852,0.12810688769924206,111,0.037159254386869615
logit_C=0.1,val_pool,ticker,NVDA,0.34977034319895034,0.10741115824837301,0.0916901905339797,0.074194159662447,111,0.037159254386869615
baseline_pRN,val_pool,ticker,GOOGL,0.4888081194721566,0.15834491539581116,0.1253604140750695,0.1256684726047574,92,0.079751224460432
logit_C=0.1,val_pool,ticker,GOOGL,0.47078726171459484,0.15295425153398398,0.10627861479099596,0.07384217972465147,92,0.079751224460432
baseline_pRN,test,ticker,QQQ,0.5045299254686026,0.16473604563063896,0.07362597953029547,0.06751494798417818,302,0.028423357140936835
