model,split,group_type,group_value,logloss,brier,ece,ece_q,n,weight_sum
baseline_pRN,val_pool,ticker,QQQ,0.5310196468571506,0.1756803309725864,0.05910908065834488,0.055521862134629056,841,0.05305953021837469
logit_C=0.2,val_pool,ticker,QQQ,0.5276382038579922,0.17408473536420452,0.06008347522742374,0.056823189594998484,841,0.05305953021837469
baseline_pRN,val_pool,ticker,SPY,0.527331544799752,0.17452446284451675,0.04218120424803457,0.03478074139249223,555,0.06623410948931696
logit_C=0.2,val_pool,ticker,SPY,0.5265447142974791,0.17427890217986108,0.04495898654303533,0.041643295538307916,555,0.06623410948931696
baseline_pRN,val_pool,ticker,META,0.4358835790120827,0.13618628977809571,0.10551117579874028,0.10840617730970127,366,0.0659751963246358
logit_C=0.2,val_pool,ticker,META,0.42172973200929176,0.13483125888132344,0.0648280359840815,0.07859732749111485,366,0.0659751963246358
baseline_pRN,val_pool,ticker,TSLA,0.5193360183832714,0.17104652308233717,0.07328152249223764,0.06586284063249528,328,0.06921946370635369
logit_C=0.2,val_pool,ticker,TSLA,0.5196807515117688,0.1710689532393507,0.07415234769379757,0.08194590146575585,328,0.06921946370635369
baseline_pRN,val_pool,ticker,NFLX,0.5317147233216865,0.17506723358407206,0.14357627680210927,0.13013203917431382,282,0.03516082296552595
logit_C=0.2,val_pool,ticker,NFLX,0.540602783948896,0.17652641328731225,0.1311037456955612,0.13236967545017675,282,0.03516082296552595
baseline_pRN,val_pool,ticker,IWM,0.5631305515917782,0.19021382966356457,0.06485950447514127,0.046398230202101765,227,0.05692615173089666
logit_C=0.2,val_pool,ticker,IWM,0.5659849824408155,0.19124645404495236,0.07652909410988937,0.045819310719761655,227,0.05692615173089666
baseline_pRN,val_pool,ticker,MSFT,0.48076578278503174,0.15730127635466487,0.09534746034953837,0.09660419757990067,177,0.08833240213895081
logit_C=0.2,val_pool,ticker,MSFT,0.4732633923166725,0.15697571539715585,0.11230217755677528,0.09737861720443694,177,0.08833240213895081
baseline_pRN,val_pool,ticker,PLTR,0.550219558529972,0.18330655942650256,0.09105186753492747,0.09031746217711331,117,0.07177603951756471
logit_C=0.2,val_pool,ticker,PLTR,0.5908709418944631,0.19044462113754423,0.1330132898827376,0.10875356143965742,117,0.07177603951756471
baseline_pRN,val_pool,ticker,NVDA,0.4046511109594605,0.1220564553862951,0.14545518973054852,0.12810688769924206,111,0.037159254386869615
logit_C=0.2,val_pool,ticker,NVDA,0.3498175870010835,0.10741706903050671,0.09165692420894563,0.0741647923488333,111,0.037159254386869615
baseline_pRN,val_pool,ticker,GOOGL,0.4888081194721566,0.15834491539581116,0.1253604140750695,0.1256684726047574,92,0.079751224460432
logit_C=0.2,val_pool,ticker,GOOGL,0.47079002219830046,0.15295513012801035,0.10624017364924858,0.07388344092139908,92,0.079751224460432
baseline_pRN,test,ticker,QQQ,0.5045299254686026,0.16473604563063896,0.07362597953029547,0.06751494798417818,302,0.028423357140936835
logit_C=0.2,test,ticker,QQQ,0.4955144098175029,0.16196373411495685,0.06266935418230003,0.05901998225389309,302,0.028423357140936835
baseline_pRN,test,ticker,SPY,0.4456604799603427,0.14202430244621755,0.08272313960694395,0.07000654733290693,240,0.03202216767575583
logit_C=0.2,test,ticker,SPY,0.44076021272617266,0.14090281857909495,0.07303747937855933,0.06045359270635327,240,0.03202216767575583
