model,split,group_type,group_value,logloss,brier,ece,ece_q,n,weight_sum
baseline_pRN,val_pool,ticker,QQQ,0.5310196468571506,0.1756803309725864,0.05910908065834488,0.055521862134629056,841,0.05305953021837469
logit_C=0.05,val_pool,ticker,QQQ,0.5301075990647793,0.17436526615553283,0.06128557672726293,0.054532538832394936,841,0.05305953021837469
baseline_pRN,val_pool,ticker,SPY,0.527331544799752,0.17452446284451675,0.04218120424803457,0.03478074139249223,555,0.06623410948931696
logit_C=0.05,val_pool,ticker,SPY,0.5274381042248014,0.17439873729083913,0.043578647226617064,0.04123118624241513,555,0.06623410948931696
baseline_pRN,val_pool,ticker,META,0.4358835790120827,0.13618628977809571,0.10551117579874028,0.10840617730970127,366,0.0659751963246358
logit_C=0.05,val_pool,ticker,META,0.4179210960330424,0.13390256132780687,0.07348373284455198,0.07148842176182943,366,0.0659751963246358
baseline_pRN,val_pool,ticker,TSLA,0.5193360183832714,0.17104652308233717,0.07328152249223764,0.06586284063249528,328,0.06921946370635369
logit_C=0.05,val_pool,ticker,TSLA,0.5261455217303657,0.1721560454594031,0.07662648954920621,0.07759034534831004,328,0.06921946370635369
baseline_pRN,val_pool,ticker,NFLX,0.5317147233216865,0.17506723358407206,0.14357627680210927,0.13013203917431382,282,0.03516082296552595
logit_C=0.05,val_pool,ticker,NFLX,0.5243121818343545,0.16902140413454272,0.10859629568951713,0.10697597099115291,282,0.03516082296552595
baseline_pRN,val_pool,ticker,IWM,0.5631305515917782,0.19021382966356457,0.06485950447514127,0.046398230202101765,227,0.05692615173089666
logit_C=0.05,val_pool,ticker,IWM,0.5730927194001124,0.19317507256506136,0.06483790111950703,0.061183627262122876,227,0.05692615173089666
baseline_pRN,val_pool,ticker,MSFT,0.48076578278503174,0.15730127635466487,0.09534746034953837,0.09660419757990067,177,0.08833240213895081
logit_C=0.05,val_pool,ticker,MSFT,0.47128034734252605,0.15696173955000806,0.11191631134807499,0.09320934674780243,177,0.08833240213895081
baseline_pRN,val_pool,ticker,PLTR,0.550219558529972,0.18330655942650256,0.09105186753492747,0.09031746217711331,117,0.07177603951756471
logit_C=0.05,val_pool,ticker,PLTR,0.6081353371836182,0.19247516497461725,0.15189045929863806,0.11250118386042302,117,0.07177603951756471
baseline_pRN,val_pool,ticker,NVDA,0.4046511109594605,0.1220564553862951,0.14545518973054852,0.12810688769924206,111,0.037159254386869615
logit_C=0.05,val_pool,ticker,NVDA,0.34384533845042664,0.10595535206509854,0.08670615960971051,0.08857589406372875,111,0.037159254386869615
baseline_pRN,val_pool,ticker,GOOGL,0.4888081194721566,0.15834491539581116,0.1253604140750695,0.1256684726047574,92,0.079751224460432
logit_C=0.05,val_pool,ticker,GOOGL,0.46956646823462583,0.15259331879966362,0.11447310377034185,0.07920877702063639,92,0.079751224460432
baseline_pRN,test,ticker,QQQ,0.5045299254686026,0.16473604563063896,0.07362597953029547,0.06751494798417818,302,0.028423357140936835
logit_C=0.05,test,ticker,QQQ,0.4968505691545182,0.16240798616576618,0.0743092319172622,0.05868876981885934,302,0.028423357140936835
baseline_pRN,test,ticker,SPY,0.4456604799603427,0.14202430244621755,0.08272313960694395,0.07000654733290693,240,0.03202216767575583
logit_C=0.05,test,ticker,SPY,0.43953238806852724,0.14040029182604263,0.0683412483901644,0.05356716418659689,240,0.03202216767575583
baseline_pRN,test,ticker,META,0.49949815709666473,0.16270202229727024,0.1618941181327091,0.16189411813270904,149,0.033164635063887796
logit_C=0.05,test,ticker,META,0.521287422932679,0.17064032403544824,0.17149676400953295,0.16268073116505843,149,0.033164635063887796
baseline_pRN,test,ticker,TSLA,0.4505458956289031,0.14053433498847134,0.14337436652325009,0.1260265981675443,142,0.033755478024669806
logit_C=0.05,test,ticker,TSLA,0.4377088343029175,0.13739200442975064,0.13072785585817698,0.11566993565685257,142,0.033755478024669806
baseline_pRN,test,ticker,IWM,0.4918197722397441,0.15864991379446883,0.0850135497890604,0.0923522385960606,103,0.0322009998193636
logit_C=0.05,test,ticker,IWM,0.49157245504766595,0.15919007078680866,0.10803129732265469,0.09361831189187497,103,0.0322009998193636
baseline_pRN,test,ticker,NFLX,0.3572822375946503,0.10107014731473324,0.1747875091287871,0.16171143047831074,68,0.0110420662319362
logit_C=0.05,test,ticker,NFLX,0.3061392877035395,0.08727216595277024,0.1334781569125722,0.1293051945736403,68,0.0110420662319362
baseline_pRN,test,ticker,MSFT,0.47774162239455475,0.15678048981066786,0.19597808599510566,0.19817284015949874,61,0.024403311453308697
logit_C=0.05,test,ticker,MSFT,0.48473852809937734,0.1579100337943416,0.14855190478181862,0.14729657330754825,61,0.024403311453308697
baseline_pRN,test,ticker,PLTR,0.46714292217020265,0.15149251165866154,0.17904248178940851,0.2001147012995987,57,0.033227594085906295
logit_C=0.05,test,ticker,PLTR,0.44566356883424346,0.14760823693172856,0.20878921038801,0.17670606077687162,57,0.033227594085906295
baseline_pRN,test,ticker,GOOGL,0.37046692013352484,0.10622769931051908,0.2023071877120128,0.21922291703192326,39,0.036639038856000186
logit_C=0.05,test,ticker,GOOGL,0.33130832552052314,0.09615295902962762,0.18903773319861353,0.1890377331986135,39,0.036639038856000186
baseline_pRN,test,ticker,NVDA,0.3445059785596241,0.09870454660369915,0.22101457540362138,0.19661177032102828,39,0.007468608153537
logit_C=0.05,test,ticker,NVDA,0.30704486552535204,0.09307038244424991,0.14770888073367,0.14650618459806714,39,0.007468608153537
baseline_pRN,val_pool,T_days,1,0.4953221839837126,0.1613117378597848,0.05688069007461665,0.05618314671724313,3187,0.7431898622148785
logit_C=0.05,val_pool,T_days,1,0.48723183230097195,0.1586829252851645,0.05327815753937065,0.0532781575393707,3187,0.7431898622148785
baseline_pRN,test,T_days,1,0.4304988329489706,0.13356549269940535,0.10514134330592273,0.10284074192155403,1240,0.3512551172395538
logit_C=0.05,test,T_days,1,0.401288645133514,0.1253135345095618,0.061735340937268075,0.051952288454285955,1240,0.3512551172395538
baseline_pRN,val_pool,asof_dow,Mon,0.501685903046601,0.16317976120010538,0.08183989246267703,0.05542427030533605,320,0.03325041476862486
logit_C=0.05,val_pool,asof_dow,Mon,0.4929550453880082,0.1604380537075487,0.0431349244960965,0.03806890413643201,320,0.03325041476862486
baseline_pRN,val_pool,asof_dow,Thu,0.5058997974258767,0.16559306883163122,0.039252776293532125,0.040976930343956844,1138,0.28830061509855787
logit_C=0.05,val_pool,asof_dow,Thu,0.49906799653410655,0.1632009975358629,0.04038824197902582,0.03453537817891303,1138,0.28830061509855787
baseline_pRN,val_pool,asof_dow,Tue,0.4712783824000952,0.15087083231656157,0.11643768284238737,0.1156056776055436,375,0.03852380821182891
logit_C=0.05,val_pool,asof_dow,Tue,0.4531894953216321,0.1461803575908737,0.09817885749454942,0.09693484421956157,375,0.03852380821182891
baseline_pRN,val_pool,asof_dow,Wed,0.48922774807810265,0.15897771438263478,0.09454875070873502,0.09471516746309427,1354,0.38311502413586696
logit_C=0.05,val_pool,asof_dow,Wed,0.48125129895575286,0.15638785675078493,0.10093744312157098,0.100937443121571,1354,0.38311502413586696
baseline_pRN,test,asof_dow,Mon,0.4298215683343041,0.1339367825686566,0.14062088586314378,0.13998895247991278,144,0.01965774295698524
logit_C=0.05,test,asof_dow,Mon,0.43161940458578474,0.13578480649555594,0.1461142953376457,0.14047803638434997,144,0.01965774295698524
baseline_pRN,test,asof_dow,Thu,0.4208735078643227,0.13050804419229983,0.11216637222422157,0.11536095708957304,351,0.12734646806782304
logit_C=0.05,test,asof_dow,Thu,0.3826680180980097,0.11918833470705611,0.07340165017457834,0.07425351839125645,351,0.12734646806782304
baseline_pRN,test,asof_dow,Tue,0.6022138855261977,0.20716404833489482,0.1168368972554719,0.07663749174877184,156,0.02266155651383074
logit_C=0.05,test,asof_dow,Tue,0.6071888735513497,0.2083978004266701,0.09568690132561503,0.06842071723650121,156,0.02266155651383074
baseline_pRN,test,asof_dow,Wed,0.41589298890922294,0.1264846739062279,0.1325646890220708,0.12439825470500747,589,0.18158934970091484
logit_C=0.05,test,asof_dow,Wed,0.38536820236478214,0.1181069565812824,0.07928481809791567,0.07782698258300184,589,0.18158934970091484
