model,split,group_type,group_value,logloss,brier,ece,ece_q,n,weight_sum
baseline_pRN,val_pool,ticker,QQQ,0.5310196468571506,0.1756803309725864,0.05910908065834488,0.055521862134629056,841,0.05305953021837469
logit_C=0.05,val_pool,ticker,QQQ,0.5283976699076671,0.1741772900836803,0.06496779457643628,0.05379760183368907,841,0.05305953021837469
baseline_pRN,val_pool,ticker,SPY,0.527331544799752,0.17452446284451675,0.04218120424803457,0.03478074139249223,555,0.06623410948931696
logit_C=0.05,val_pool,ticker,SPY,0.5259606781163847,0.17401358310979473,0.0401523941581882,0.0363225981541976,555,0.06623410948931696
baseline_pRN,val_pool,ticker,META,0.4358835790120827,0.13618628977809571,0.10551117579874028,0.10840617730970127,366,0.0659751963246358
logit_C=0.05,val_pool,ticker,META,0.41717043933913683,0.13334707774745064,0.06687367067282092,0.06976994238307192,366,0.0659751963246358
baseline_pRN,val_pool,ticker,TSLA,0.5193360183832714,0.17104652308233717,0.07328152249223764,0.06586284063249528,328,0.06921946370635369
logit_C=0.05,val_pool,ticker,TSLA,0.5203878650606513,0.17086368048913936,0.07347954953306016,0.07293007057699054,328,0.06921946370635369
baseline_pRN,val_pool,ticker,NFLX,0.5317147233216865,0.17506723358407206,0.14357627680210927,0.13013203917431382,282,0.03516082296552595
logit_C=0.05,val_pool,ticker,NFLX,0.5241191888363625,0.16972249449027582,0.10678600701058073,0.10412668270281249,282,0.03516082296552595
baseline_pRN,val_pool,ticker,IWM,0.5631305515917782,0.19021382966356457,0.06485950447514127,0.046398230202101765,227,0.05692615173089666
logit_C=0.05,val_pool,ticker,IWM,0.5700464804059233,0.19240440011445356,0.061807154938209846,0.059045391703487285,227,0.05692615173089666
baseline_pRN,val_pool,ticker,MSFT,0.48076578278503174,0.15730127635466487,0.09534746034953837,0.09660419757990067,177,0.08833240213895081
logit_C=0.05,val_pool,ticker,MSFT,0.46948960204105605,0.15603442743101273,0.09447223575957775,0.09073811064541981,177,0.08833240213895081
baseline_pRN,val_pool,ticker,PLTR,0.550219558529972,0.18330655942650256,0.09105186753492747,0.09031746217711331,117,0.07177603951756471
logit_C=0.05,val_pool,ticker,PLTR,0.5936760466766334,0.1905276049131283,0.13368358096429206,0.10704161430419715,117,0.07177603951756471
baseline_pRN,val_pool,ticker,NVDA,0.4046511109594605,0.1220564553862951,0.14545518973054852,0.12810688769924206,111,0.037159254386869615
logit_C=0.05,val_pool,ticker,NVDA,0.3470645860760707,0.10634412527993269,0.09107098416397155,0.08989319686308117,111,0.037159254386869615
baseline_pRN,val_pool,ticker,GOOGL,0.4888081194721566,0.15834491539581116,0.1253604140750695,0.1256684726047574,92,0.079751224460432
logit_C=0.05,val_pool,ticker,GOOGL,0.46854581556072933,0.1521722196114461,0.11329395961281456,0.0734719386265313,92,0.079751224460432
baseline_pRN,test,ticker,QQQ,0.5045299254686026,0.16473604563063896,0.07362597953029547,0.06751494798417818,302,0.028423357140936835
logit_C=0.05,test,ticker,QQQ,0.49687446618816433,0.1623982645987751,0.07744307308179589,0.05832413196151999,302,0.028423357140936835
baseline_pRN,test,ticker,SPY,0.4456604799603427,0.14202430244621755,0.08272313960694395,0.07000654733290693,240,0.03202216767575583
logit_C=0.05,test,ticker,SPY,0.4392171645443253,0.14032258714404283,0.07123557781430856,0.05323843971467947,240,0.03202216767575583
baseline_pRN,test,ticker,META,0.49949815709666473,0.16270202229727024,0.1618941181327091,0.16189411813270904,149,0.033164635063887796
logit_C=0.05,test,ticker,META,0.5200801072629219,0.17023744936624438,0.17146251551739203,0.16247272343881805,149,0.033164635063887796
