model,split,group_type,group_value,logloss,brier,ece,ece_q,n,weight_sum
baseline_pRN,val_pool,ticker,QQQ,0.5310196468571506,0.1756803309725864,0.05910908065834488,0.055521862134629056,841,0.05305953021837469
logit_C=0.1,val_pool,ticker,QQQ,0.5303719116796335,0.17441148140332527,0.06196735707173708,0.055154349706641966,841,0.05305953021837469
baseline_pRN,val_pool,ticker,SPY,0.527331544799752,0.17452446284451675,0.04218120424803457,0.03478074139249223,555,0.06623410948931696
logit_C=0.1,val_pool,ticker,SPY,0.5276613388734299,0.17444852477423547,0.04352046502832556,0.03970333212678351,555,0.06623410948931696
baseline_pRN,val_pool,ticker,META,0.4358835790120827,0.13618628977809571,0.10551117579874028,0.10840617730970127,366,0.0659751963246358
logit_C=0.1,val_pool,ticker,META,0.4176398226330582,0.13381101434457973,0.07373324821087036,0.0713468695655351,366,0.0659751963246358
baseline_pRN,val_pool,ticker,TSLA,0.5193360183832714,0.17104652308233717,0.07328152249223764,0.06586284063249528,328,0.06921946370635369
logit_C=0.1,val_pool,ticker,TSLA,0.5264149394620781,0.17219583242357867,0.07672180725680014,0.07870249209842796,328,0.06921946370635369
baseline_pRN,val_pool,ticker,NFLX,0.5317147233216865,0.17506723358407206,0.14357627680210927,0.13013203917431382,282,0.03516082296552595
logit_C=0.1,val_pool,ticker,NFLX,0.5244758870763971,0.1690119567866611,0.1140261426700191,0.10622386805965013,282,0.03516082296552595
baseline_pRN,val_pool,ticker,IWM,0.5631305515917782,0.19021382966356457,0.06485950447514127,0.046398230202101765,227,0.05692615173089666
logit_C=0.1,val_pool,ticker,IWM,0.5736653405888231,0.19331542099905966,0.06718673505799738,0.06177897355223727,227,0.05692615173089666
baseline_pRN,val_pool,ticker,MSFT,0.48076578278503174,0.15730127635466487,0.09534746034953837,0.09660419757990067,177,0.08833240213895081
logit_C=0.1,val_pool,ticker,MSFT,0.47128164379153886,0.1569757622607699,0.10782265216604275,0.09308079503041237,177,0.08833240213895081
baseline_pRN,val_pool,ticker,PLTR,0.550219558529972,0.18330655942650256,0.09105186753492747,0.09031746217711331,117,0.07177603951756471
logit_C=0.1,val_pool,ticker,PLTR,0.608360412272821,0.1924835634311918,0.15194823552630604,0.11261559484170235,117,0.07177603951756471
baseline_pRN,val_pool,ticker,NVDA,0.4046511109594605,0.1220564553862951,0.14545518973054852,0.12810688769924206,111,0.037159254386869615
logit_C=0.1,val_pool,ticker,NVDA,0.3440102711656806,0.10597923025707666,0.08662018991610025,0.08856726892380827,111,0.037159254386869615
baseline_pRN,val_pool,ticker,GOOGL,0.4888081194721566,0.15834491539581116,0.1253604140750695,0.1256684726047574,92,0.079751224460432
logit_C=0.1,val_pool,ticker,GOOGL,0.4696712449964127,0.15262048099866746,0.11446743640898031,0.07938711589934096,92,0.079751224460432
baseline_pRN,test,ticker,QQQ,0.5045299254686026,0.16473604563063896,0.07362597953029547,0.06751494798417818,302,0.028423357140936835
logit_C=0.1,test,ticker,QQQ,0.49671288393641566,0.16236377194004778,0.0730675032333128,0.05820391418735515,302,0.028423357140936835
baseline_pRN,test,ticker,SPY,0.4456604799603427,0.14202430244621755,0.08272313960694395,0.07000654733290693,240,0.03202216767575583
logit_C=0.1,test,ticker,SPY,0.439074168305517,0.14029169658890298,0.0676944174783401,0.052889648922663915,240,0.03202216767575583
baseline_pRN,test,ticker,META,0.49949815709666473,0.16270202229727024,0.1618941181327091,0.16189411813270904,149,0.033164635063887796
logit_C=0.1,test,ticker,META,0.5210376689363043,0.1705701527261139,0.17135853481253888,0.16258688200149754,149,0.033164635063887796
baseline_pRN,test,ticker,TSLA,0.4505458956289031,0.14053433498847134,0.14337436652325009,0.1260265981675443,142,0.033755478024669806
logit_C=0.1,test,ticker,TSLA,0.4376184724959926,0.13734406064035637,0.13066281924341155,0.11561722779955429,142,0.033755478024669806
baseline_pRN,test,ticker,IWM,0.4918197722397441,0.15864991379446883,0.0850135497890604,0.0923522385960606,103,0.0322009998193636
logit_C=0.1,test,ticker,IWM,0.49140772954612166,0.1591251581917236,0.10767133198388805,0.09354664256996365,103,0.0322009998193636
baseline_pRN,test,ticker,NFLX,0.3572822375946503,0.10107014731473324,0.1747875091287871,0.16171143047831074,68,0.0110420662319362
logit_C=0.1,test,ticker,NFLX,0.30584812499941555,0.08717376280766775,0.13332165469672386,0.129132509244963,68,0.0110420662319362
baseline_pRN,test,ticker,MSFT,0.47774162239455475,0.15678048981066786,0.19597808599510566,0.19817284015949874,61,0.024403311453308697
logit_C=0.1,test,ticker,MSFT,0.48422404745547615,0.15779991099361335,0.14866728823595632,0.1474121708423838,61,0.024403311453308697
baseline_pRN,test,ticker,PLTR,0.46714292217020265,0.15149251165866154,0.17904248178940851,0.2001147012995987,57,0.033227594085906295
logit_C=0.1,test,ticker,PLTR,0.44578107165038,0.1476139407841399,0.20876787857395138,0.1766924066745751,57,0.033227594085906295
baseline_pRN,test,ticker,GOOGL,0.37046692013352484,0.10622769931051908,0.2023071877120128,0.21922291703192326,39,0.036639038856000186
logit_C=0.1,test,ticker,GOOGL,0.33090257495871317,0.09604496774611654,0.1887004249506467,0.1887004249506467,39,0.036639038856000186
baseline_pRN,test,ticker,NVDA,0.3445059785596241,0.09870454660369915,0.22101457540362138,0.19661177032102828,39,0.007468608153537
logit_C=0.1,test,ticker,NVDA,0.3068349724740998,0.09301249789568311,0.14753978410544646,0.14627687537416584,39,0.007468608153537
baseline_pRN,val_pool,T_days,1,0.4953221839837126,0.1613117378597848,0.05688069007461665,0.05618314671724313,3187,0.7431898622148785
logit_C=0.1,val_pool,T_days,1,0.4873698278427022,0.15870722400687964,0.053338864248804185,0.05333886424880417,3187,0.7431898622148785
baseline_pRN,test,T_days,1,0.4304988329489706,0.13356549269940535,0.10514134330592273,0.10284074192155403,1240,0.3512551172395538
logit_C=0.1,test,T_days,1,0.4011309645935864,0.12527472074839613,0.06100901646257271,0.05156649647965915,1240,0.3512551172395538
baseline_pRN,val_pool,asof_dow,Mon,0.501685903046601,0.16317976120010538,0.08183989246267703,0.05542427030533605,320,0.03325041476862486
logit_C=0.1,val_pool,asof_dow,Mon,0.4929571250255981,0.1604300318926552,0.04777643771760743,0.037261755013259304,320,0.03325041476862486
baseline_pRN,val_pool,asof_dow,Thu,0.5058997974258767,0.16559306883163122,0.039252776293532125,0.040976930343956844,1138,0.28830061509855787
logit_C=0.1,val_pool,asof_dow,Thu,0.49928786385155394,0.1632500618796662,0.04007867714550404,0.03476463595407136,1138,0.28830061509855787
baseline_pRN,val_pool,asof_dow,Tue,0.4712783824000952,0.15087083231656157,0.11643768284238737,0.1156056776055436,375,0.03852380821182891
logit_C=0.1,val_pool,asof_dow,Tue,0.4529956379155591,0.14613953625033274,0.09766785347670433,0.0965632065777824,375,0.03852380821182891
baseline_pRN,val_pool,asof_dow,Wed,0.48922774807810265,0.15897771438263478,0.09454875070873502,0.09471516746309427,1354,0.38311502413586696
logit_C=0.1,val_pool,asof_dow,Wed,0.48137284987015316,0.15640287209852516,0.10098667251183156,0.1009866725118315,1354,0.38311502413586696
baseline_pRN,test,asof_dow,Mon,0.4298215683343041,0.1339367825686566,0.14062088586314378,0.13998895247991278,144,0.01965774295698524
logit_C=0.1,test,asof_dow,Mon,0.4312136534723245,0.1356648900672378,0.1473171666746903,0.14027542992831524,144,0.01965774295698524
baseline_pRN,test,asof_dow,Thu,0.4208735078643227,0.13050804419229983,0.11216637222422157,0.11536095708957304,351,0.12734646806782304
logit_C=0.1,test,asof_dow,Thu,0.3826531223878353,0.11919760949636991,0.07308820804760521,0.07411703912612085,351,0.12734646806782304
baseline_pRN,test,asof_dow,Tue,0.6022138855261977,0.20716404833489482,0.1168368972554719,0.07663749174877184,156,0.02266155651383074
logit_C=0.1,test,asof_dow,Tue,0.6075630470078695,0.2085103543273794,0.09609019162311243,0.06895093738546551,156,0.02266155651383074
baseline_pRN,test,asof_dow,Wed,0.41589298890922294,0.1264846739062279,0.1325646890220708,0.12439825470500747,589,0.18158934970091484
logit_C=0.1,test,asof_dow,Wed,0.38507087004663954,0.118024308539576,0.07902483885386306,0.07753775373402017,589,0.18158934970091484
