label,bin,bin_lo,bin_hi,n,weight_sum,avg_pred,emp_rate
val_pool__baseline_pRN,1,0.0,0.06666666666666667,0,0.0,,
val_pool__baseline_pRN,2,0.06666666666666667,0.13333333333333333,150,0.038149972933592985,0.11499148115793223,0.04198439659825134
val_pool__baseline_pRN,3,0.13333333333333333,0.2,248,0.06168518137820079,0.1654841930819874,0.07733798319406951
val_pool__baseline_pRN,4,0.2,0.26666666666666666,220,0.05703216315748669,0.236075420136892,0.12077631562602767
val_pool__baseline_pRN,5,0.26666666666666666,0.3333333333333333,182,0.04348818896158012,0.30163400938661356,0.20804165218583828
val_pool__baseline_pRN,6,0.3333333333333333,0.4,183,0.046882019986924706,0.36627023913132034,0.28679420727353316
val_pool__baseline_pRN,7,0.4,0.4666666666666667,180,0.0451602237033424,0.42991905386842766,0.3049113477223871
val_pool__baseline_pRN,8,0.4666666666666667,0.5333333333333333,197,0.04762942516888964,0.5005235298825543,0.42581746141751103
val_pool__baseline_pRN,9,0.5333333333333333,0.6,205,0.04917941250796892,0.5628747625938819,0.4960355128646923
val_pool__baseline_pRN,10,0.6,0.6666666666666666,276,0.05827431217339733,0.6341048359059155,0.6559654102641503
val_pool__baseline_pRN,11,0.6666666666666666,0.7333333333333333,303,0.06549777492085085,0.7031363641104261,0.7176517509359
val_pool__baseline_pRN,12,0.7333333333333333,0.8,294,0.06358396515943245,0.7647061873314858,0.7635738617314581
val_pool__baseline_pRN,13,0.8,0.8666666666666667,423,0.0944396274123967,0.8342367217002873,0.8578161691810295
val_pool__baseline_pRN,14,0.8666666666666667,0.9333333333333333,326,0.07218759475081496,0.8854603868878034,0.9223716740459491
val_pool__baseline_pRN,15,0.9333333333333333,1.0,0,0.0,,
val_pool__logit_C=0.1,1,0.0,0.06666666666666667,51,0.015383765324130926,0.05528799752069197,0.03736620781257751
val_pool__logit_C=0.1,2,0.06666666666666667,0.13333333333333333,319,0.08367325706147624,0.09412982313617041,0.06691875055969607
val_pool__logit_C=0.1,3,0.13333333333333333,0.2,241,0.0623818119746052,0.16545658384393383,0.1553678938804214
val_pool__logit_C=0.1,4,0.2,0.26666666666666666,162,0.03619243890339496,0.22928701849033495,0.15594952339859305
val_pool__logit_C=0.1,5,0.26666666666666666,0.3333333333333333,165,0.043399882995674446,0.3007843683723902,0.27316542165728624
val_pool__logit_C=0.1,6,0.3333333333333333,0.4,135,0.03432311275202359,0.36786564316182835,0.29691937827411713
val_pool__logit_C=0.1,7,0.4,0.4666666666666667,138,0.028065389119444267,0.436266675533585,0.30559201435410616
val_pool__logit_C=0.1,8,0.4666666666666667,0.5333333333333333,139,0.031173632606580202,0.4985405106434898,0.49201536206027774
val_pool__logit_C=0.1,9,0.5333333333333333,0.6,144,0.036021952091104856,0.5633648861676599,0.48532222101533795
val_pool__logit_C=0.1,10,0.6,0.6666666666666666,180,0.03694351120764673,0.6322159789697311,0.5667582154077271
