label,bin,bin_lo,bin_hi,n,weight_sum,avg_pred,emp_rate
val_pool__baseline_pRN,1,0.0,0.06666666666666667,0,0.0,,
val_pool__baseline_pRN,2,0.06666666666666667,0.13333333333333333,150,0.038149972933592985,0.11499148115793223,0.04198439659825134
val_pool__baseline_pRN,3,0.13333333333333333,0.2,248,0.06168518137820079,0.1654841930819874,0.07733798319406951
val_pool__baseline_pRN,4,0.2,0.26666666666666666,220,0.05703216315748669,0.236075420136892,0.12077631562602767
val_pool__baseline_pRN,5,0.26666666666666666,0.3333333333333333,182,0.04348818896158012,0.30163400938661356,0.20804165218583828
val_pool__baseline_pRN,6,0.3333333333333333,0.4,183,0.046882019986924706,0.36627023913132034,0.28679420727353316
val_pool__baseline_pRN,7,0.4,0.4666666666666667,180,0.0451602237033424,0.42991905386842766,0.3049113477223871
val_pool__baseline_pRN,8,0.4666666666666667,0.5333333333333333,197,0.04762942516888964,0.5005235298825543,0.42581746141751103
val_pool__baseline_pRN,9,0.5333333333333333,0.6,205,0.04917941250796892,0.5628747625938819,0.4960355128646923
val_pool__baseline_pRN,10,0.6,0.6666666666666666,276,0.05827431217339733,0.6341048359059155,0.6559654102641503
val_pool__baseline_pRN,11,0.6666666666666666,0.7333333333333333,303,0.06549777492085085,0.7031363641104261,0.7176517509359
val_pool__baseline_pRN,12,0.7333333333333333,0.8,294,0.06358396515943245,0.7647061873314858,0.7635738617314581
val_pool__baseline_pRN,13,0.8,0.8666666666666667,423,0.0944396274123967,0.8342367217002873,0.8578161691810295
val_pool__baseline_pRN,14,0.8666666666666667,0.9333333333333333,326,0.07218759475081496,0.8854603868878034,0.9223716740459491
val_pool__baseline_pRN,15,0.9333333333333333,1.0,0,0.0,,
val_pool__logit_C=0.1,1,0.0,0.06666666666666667,43,0.013759338409596226,0.05535502919622214,0.03387889765579066
val_pool__logit_C=0.1,2,0.06666666666666667,0.13333333333333333,315,0.08267694468128206,0.09542060574199304,0.06772516618023902
val_pool__logit_C=0.1,3,0.13333333333333333,0.2,238,0.06291188923078597,0.16709049104299992,0.15209472153018222
val_pool__logit_C=0.1,4,0.2,0.26666666666666666,172,0.03772709596757632,0.23164861690056834,0.15354556138924566
val_pool__logit_C=0.1,5,0.26666666666666666,0.3333333333333333,161,0.04136930735564307,0.3015942893452087,0.279970088602194
val_pool__logit_C=0.1,6,0.3333333333333333,0.4,143,0.03676321312971799,0.36692256784423566,0.28293249040456375
val_pool__logit_C=0.1,7,0.4,0.4666666666666667,137,0.028698681284328283,0.4362206407742201,0.33676949669524864
val_pool__logit_C=0.1,8,0.4666666666666667,0.5333333333333333,154,0.03479600382735723,0.5003768847693043,0.4675944518570023
val_pool__logit_C=0.1,9,0.5333333333333333,0.6,153,0.03795179613536617,0.5670140935541353,0.47603892939094183
val_pool__logit_C=0.1,10,0.6,0.6666666666666666,179,0.034730346851050226,0.633165598715071,0.5926604425651412
