model,split,group_type,group_value,logloss,brier,ece,ece_q,n,weight_sum
baseline_pRN,val_pool,ticker,QQQ,0.5310196468571506,0.1756803309725864,0.05910908065834488,0.055521862134629056,841,0.05305953021837469
logit_C=0.2,val_pool,ticker,QQQ,0.5347169810755599,0.17496922104461005,0.07197493767494989,0.05694735656800031,841,0.05305953021837469
baseline_pRN,val_pool,ticker,SPY,0.527331544799752,0.17452446284451675,0.04218120424803457,0.03478074139249223,555,0.06623410948931696
logit_C=0.2,val_pool,ticker,SPY,0.529803024898295,0.17491874169161054,0.04885843812847963,0.0421742189687545,555,0.06623410948931696
baseline_pRN,val_pool,ticker,META,0.4358835790120827,0.13618628977809571,0.10551117579874028,0.10840617730970127,366,0.0659751963246358
logit_C=0.2,val_pool,ticker,META,0.421509595595641,0.13515536996276345,0.07499554417563345,0.07295339902179863,366,0.0659751963246358
baseline_pRN,val_pool,ticker,TSLA,0.5193360183832714,0.17104652308233717,0.07328152249223764,0.06586284063249528,328,0.06921946370635369
logit_C=0.2,val_pool,ticker,TSLA,0.5402994608658666,0.17450811984523543,0.08326912857539209,0.09684317333881269,328,0.06921946370635369
baseline_pRN,val_pool,ticker,NFLX,0.5317147233216865,0.17506723358407206,0.14357627680210927,0.13013203917431382,282,0.03516082296552595
logit_C=0.2,val_pool,ticker,NFLX,0.5308219400193415,0.16892984055297236,0.11668774324478083,0.10380421125744314,282,0.03516082296552595
baseline_pRN,val_pool,ticker,IWM,0.5631305515917782,0.19021382966356457,0.06485950447514127,0.046398230202101765,227,0.05692615173089666
logit_C=0.2,val_pool,ticker,IWM,0.5786174063743248,0.19447499388400513,0.07532382671600632,0.06836711920426897,227,0.05692615173089666
baseline_pRN,val_pool,ticker,MSFT,0.48076578278503174,0.15730127635466487,0.09534746034953837,0.09660419757990067,177,0.08833240213895081
logit_C=0.2,val_pool,ticker,MSFT,0.4748414358345294,0.1584463191902117,0.13792206589455172,0.09491044580402702,177,0.08833240213895081
baseline_pRN,val_pool,ticker,PLTR,0.550219558529972,0.18330655942650256,0.09105186753492747,0.09031746217711331,117,0.07177603951756471
logit_C=0.2,val_pool,ticker,PLTR,0.6462499443765797,0.19633653850301896,0.13742537679104602,0.12249820292963065,117,0.07177603951756471
baseline_pRN,val_pool,ticker,NVDA,0.4046511109594605,0.1220564553862951,0.14545518973054852,0.12810688769924206,111,0.037159254386869615
