model,split,group_type,group_value,logloss,brier,ece,ece_q,n,weight_sum
baseline_pRN,val_pool,ticker,QQQ,0.5310196468571506,0.1756803309725864,0.05910908065834488,0.055521862134629056,841,0.05305953021837469
logit_C=0.2,val_pool,ticker,QQQ,0.5286703300564775,0.17422525767233465,0.06677418962397653,0.053642141496452175,841,0.05305953021837469
baseline_pRN,val_pool,ticker,SPY,0.527331544799752,0.17452446284451675,0.04218120424803457,0.03478074139249223,555,0.06623410948931696
logit_C=0.2,val_pool,ticker,SPY,0.5261793960339842,0.1740644871174651,0.04074408793775016,0.03654140933805704,555,0.06623410948931696
baseline_pRN,val_pool,ticker,META,0.4358835790120827,0.13618628977809571,0.10551117579874028,0.10840617730970127,366,0.0659751963246358
logit_C=0.2,val_pool,ticker,META,0.41674535998981976,0.13320474234607815,0.06686422013584409,0.06959231190263322,366,0.0659751963246358
baseline_pRN,val_pool,ticker,TSLA,0.5193360183832714,0.17104652308233717,0.07328152249223764,0.06586284063249528,328,0.06921946370635369
logit_C=0.2,val_pool,ticker,TSLA,0.5206760115428376,0.170909143884067,0.07454472585561833,0.07303906774329035,328,0.06921946370635369
baseline_pRN,val_pool,ticker,NFLX,0.5317147233216865,0.17506723358407206,0.14357627680210927,0.13013203917431382,282,0.03516082296552595
logit_C=0.2,val_pool,ticker,NFLX,0.5243217683603633,0.16972106613704271,0.10741198303830198,0.10404255382292552,282,0.03516082296552595
baseline_pRN,val_pool,ticker,IWM,0.5631305515917782,0.19021382966356457,0.06485950447514127,0.046398230202101765,227,0.05692615173089666
logit_C=0.2,val_pool,ticker,IWM,0.5707520527554631,0.19258627082976462,0.06559256585264203,0.059881963397406965,227,0.05692615173089666
baseline_pRN,val_pool,ticker,MSFT,0.48076578278503174,0.15730127635466487,0.09534746034953837,0.09660419757990067,177,0.08833240213895081
logit_C=0.2,val_pool,ticker,MSFT,0.46942007154833354,0.15603995248179559,0.1052683620571284,0.09016151671459122,177,0.08833240213895081
baseline_pRN,val_pool,ticker,PLTR,0.550219558529972,0.18330655942650256,0.09105186753492747,0.09031746217711331,117,0.07177603951756471
logit_C=0.2,val_pool,ticker,PLTR,0.593778999894526,0.19052102355470288,0.13369452411082772,0.10710656134480975,117,0.07177603951756471
baseline_pRN,val_pool,ticker,NVDA,0.4046511109594605,0.1220564553862951,0.14545518973054852,0.12810688769924206,111,0.037159254386869615
logit_C=0.2,val_pool,ticker,NVDA,0.34730674640286063,0.10638100432521441,0.09109006787581739,0.0898811586803378,111,0.037159254386869615
baseline_pRN,val_pool,ticker,GOOGL,0.4888081194721566,0.15834491539581116,0.1253604140750695,0.1256684726047574,92,0.079751224460432
logit_C=0.2,val_pool,ticker,GOOGL,0.4686484031811033,0.15220530552339,0.1080858485248006,0.07369899031170354,92,0.079751224460432
baseline_pRN,test,ticker,QQQ,0.5045299254686026,0.16473604563063896,0.07362597953029547,0.06751494798417818,302,0.028423357140936835
logit_C=0.2,test,ticker,QQQ,0.4966691132637485,0.1623324673980099,0.0681219416095811,0.05757891040615448,302,0.028423357140936835
baseline_pRN,test,ticker,SPY,0.4456604799603427,0.14202430244621755,0.08272313960694395,0.07000654733290693,240,0.03202216767575583
logit_C=0.2,test,ticker,SPY,0.4385147948618532,0.14015796410501197,0.07141930576544153,0.0521839457422581,240,0.03202216767575583
baseline_pRN,test,ticker,META,0.49949815709666473,0.16270202229727024,0.1618941181327091,0.16189411813270904,149,0.033164635063887796
logit_C=0.2,test,ticker,META,0.5197394037930002,0.17014309203625183,0.17127063968857606,0.16235746317712127,149,0.033164635063887796
baseline_pRN,test,ticker,TSLA,0.4505458956289031,0.14053433498847134,0.14337436652325009,0.1260265981675443,142,0.033755478024669806
logit_C=0.2,test,ticker,TSLA,0.437671572371429,0.13724976754420706,0.13116850285514003,0.11597230720255008,142,0.033755478024669806
baseline_pRN,test,ticker,IWM,0.4918197722397441,0.15864991379446883,0.0850135497890604,0.0923522385960606,103,0.0322009998193636
logit_C=0.2,test,ticker,IWM,0.49098349641339883,0.15893405375924338,0.12597255491820752,0.0930849417242556,103,0.0322009998193636
baseline_pRN,test,ticker,NFLX,0.3572822375946503,0.10107014731473324,0.1747875091287871,0.16171143047831074,68,0.0110420662319362
logit_C=0.2,test,ticker,NFLX,0.306711221543293,0.0873221891946254,0.13415408451304056,0.1299426983823883,68,0.0110420662319362
baseline_pRN,test,ticker,MSFT,0.47774162239455475,0.15678048981066786,0.19597808599510566,0.19817284015949874,61,0.024403311453308697
logit_C=0.2,test,ticker,MSFT,0.4826219230885608,0.15756491235245584,0.1669611327340557,0.15746406017936104,61,0.024403311453308697
baseline_pRN,test,ticker,PLTR,0.46714292217020265,0.15149251165866154,0.17904248178940851,0.2001147012995987,57,0.033227594085906295
logit_C=0.2,test,ticker,PLTR,0.4457234602516741,0.14755250355321148,0.2000389592230105,0.17698722976177614,57,0.033227594085906295
baseline_pRN,test,ticker,GOOGL,0.37046692013352484,0.10622769931051908,0.2023071877120128,0.21922291703192326,39,0.036639038856000186
logit_C=0.2,test,ticker,GOOGL,0.3310558396954702,0.09599023669945347,0.18881035091127124,0.18881035091127119,39,0.036639038856000186
baseline_pRN,test,ticker,NVDA,0.3445059785596241,0.09870454660369915,0.22101457540362138,0.19661177032102828,39,0.007468608153537
logit_C=0.2,test,ticker,NVDA,0.30731984823279596,0.09295346487786836,0.14829901686648325,0.1473041841567176,39,0.007468608153537
baseline_pRN,val_pool,T_days,1,0.4953221839837126,0.1613117378597848,0.05688069007461665,0.05618314671724313,3187,0.7431898622148785
logit_C=0.2,val_pool,T_days,1,0.4849453385503961,0.1581585320700339,0.04890041583436051,0.0489004158343606,3187,0.7431898622148785
baseline_pRN,test,T_days,1,0.4304988329489706,0.13356549269940535,0.10514134330592273,0.10284074192155403,1240,0.3512551172395538
logit_C=0.2,test,T_days,1,0.40138270746975446,0.12532183509601172,0.05629939957187957,0.05252251115072751,1240,0.3512551172395538
baseline_pRN,val_pool,asof_dow,Mon,0.501685903046601,0.16317976120010538,0.08183989246267703,0.05542427030533605,320,0.03325041476862486
logit_C=0.2,val_pool,asof_dow,Mon,0.4938989049264957,0.16067303563961127,0.052152467911548324,0.039104769342420166,320,0.03325041476862486
baseline_pRN,val_pool,asof_dow,Thu,0.5058997974258767,0.16559306883163122,0.039252776293532125,0.040976930343956844,1138,0.28830061509855787
logit_C=0.2,val_pool,asof_dow,Thu,0.49782202915115775,0.1629594519980022,0.03472171523903363,0.030547268095263407,1138,0.28830061509855787
baseline_pRN,val_pool,asof_dow,Tue,0.4712783824000952,0.15087083231656157,0.11643768284238737,0.1156056776055436,375,0.03852380821182891
logit_C=0.2,val_pool,asof_dow,Tue,0.45626430509147875,0.1471614843892617,0.10178050985451967,0.10167518255311492,375,0.03852380821182891
baseline_pRN,val_pool,asof_dow,Wed,0.48922774807810265,0.15897771438263478,0.09454875070873502,0.09471516746309427,1354,0.38311502413586696
