label,bin,bin_lo,bin_hi,n,weight_sum,avg_pred,emp_rate
val_pool__baseline_pRN,1,0.0,0.06666666666666667,0,0.0,,
val_pool__baseline_pRN,2,0.06666666666666667,0.13333333333333333,150,0.038149972933592985,0.11499148115793223,0.04198439659825134
val_pool__baseline_pRN,3,0.13333333333333333,0.2,248,0.06168518137820079,0.1654841930819874,0.07733798319406951
val_pool__baseline_pRN,4,0.2,0.26666666666666666,220,0.05703216315748669,0.236075420136892,0.12077631562602767
val_pool__baseline_pRN,5,0.26666666666666666,0.3333333333333333,182,0.04348818896158012,0.30163400938661356,0.20804165218583828
val_pool__baseline_pRN,6,0.3333333333333333,0.4,183,0.046882019986924706,0.36627023913132034,0.28679420727353316
val_pool__baseline_pRN,7,0.4,0.4666666666666667,180,0.0451602237033424,0.42991905386842766,0.3049113477223871
val_pool__baseline_pRN,8,0.4666666666666667,0.5333333333333333,197,0.04762942516888964,0.5005235298825543,0.42581746141751103
val_pool__baseline_pRN,9,0.5333333333333333,0.6,205,0.04917941250796892,0.5628747625938819,0.4960355128646923
val_pool__baseline_pRN,10,0.6,0.6666666666666666,276,0.05827431217339733,0.6341048359059155,0.6559654102641503
val_pool__baseline_pRN,11,0.6666666666666666,0.7333333333333333,303,0.06549777492085085,0.7031363641104261,0.7176517509359
val_pool__baseline_pRN,12,0.7333333333333333,0.8,294,0.06358396515943245,0.7647061873314858,0.7635738617314581
val_pool__baseline_pRN,13,0.8,0.8666666666666667,423,0.0944396274123967,0.8342367217002873,0.8578161691810295
val_pool__baseline_pRN,14,0.8666666666666667,0.9333333333333333,326,0.07218759475081496,0.8854603868878034,0.9223716740459491
val_pool__baseline_pRN,15,0.9333333333333333,1.0,0,0.0,,
val_pool__logit_C=0.2,1,0.0,0.06666666666666667,44,0.013902434234565027,0.055429505597755224,0.033530186866924945
val_pool__logit_C=0.2,2,0.06666666666666667,0.13333333333333333,315,0.08344526306194397,0.09562336624791377,0.06710158986086145
val_pool__logit_C=0.2,3,0.13333333333333333,0.2,238,0.061916149020229565,0.1672396255790869,0.15454072039215117
val_pool__logit_C=0.2,4,0.2,0.26666666666666666,172,0.037895033663887814,0.23140042355711615,0.15507150286326868
val_pool__logit_C=0.2,5,0.26666666666666666,0.3333333333333333,161,0.041496005811558885,0.3015685622081992,0.2821685333971359
val_pool__logit_C=0.2,6,0.3333333333333333,0.4,143,0.03669908976152929,0.3670767252669839,0.2776961871530241
val_pool__logit_C=0.2,7,0.4,0.4666666666666667,137,0.028653526851694183,0.43638373416212856,0.33730020398410887
val_pool__logit_C=0.2,8,0.4666666666666667,0.5333333333333333,153,0.034694971480878425,0.5004552734683816,0.46895609484603384
val_pool__logit_C=0.2,9,0.5333333333333333,0.6,151,0.03721922701632288,0.5664154682923928,0.4854085871482428
val_pool__logit_C=0.2,10,0.6,0.6666666666666666,180,0.03539675835541876,0.632608876663985,0.5815024790831803
