model,split,group_type,group_value,logloss,brier,ece,ece_q,n,weight_sum
baseline_pRN,val_pool,ticker,QQQ,0.5310196468571506,0.1756803309725864,0.05910908065834488,0.055521862134629056,841,0.05305953021837469
logit_C=0.2,val_pool,ticker,QQQ,0.5277258722553402,0.17412349404247338,0.06279162223934365,0.05368981647431944,841,0.05305953021837469
baseline_pRN,val_pool,ticker,SPY,0.527331544799752,0.17452446284451675,0.04218120424803457,0.03478074139249223,555,0.06623410948931696
logit_C=0.2,val_pool,ticker,SPY,0.5254695385626073,0.17389322917863018,0.03816641442254534,0.03527139626751162,555,0.06623410948931696
baseline_pRN,val_pool,ticker,META,0.4358835790120827,0.13618628977809571,0.10551117579874028,0.10840617730970127,366,0.0659751963246358
logit_C=0.2,val_pool,ticker,META,0.41794556131591387,0.13343382573685608,0.05779602442191605,0.070148147219231,366,0.0659751963246358
baseline_pRN,val_pool,ticker,TSLA,0.5193360183832714,0.17104652308233717,0.07328152249223764,0.06586284063249528,328,0.06921946370635369
logit_C=0.2,val_pool,ticker,TSLA,0.5181736426320495,0.17037107773496915,0.0711856609968562,0.07029885253200513,328,0.06921946370635369
baseline_pRN,val_pool,ticker,NFLX,0.5317147233216865,0.17506723358407206,0.14357627680210927,0.13013203917431382,282,0.03516082296552595
logit_C=0.2,val_pool,ticker,NFLX,0.5297845590131115,0.17219140671201488,0.13018606595931442,0.12864822425881867,282,0.03516082296552595
baseline_pRN,val_pool,ticker,IWM,0.5631305515917782,0.19021382966356457,0.06485950447514127,0.046398230202101765,227,0.05692615173089666
logit_C=0.2,val_pool,ticker,IWM,0.5679009261165666,0.1918180698941038,0.05938735961411601,0.05613805188250089,227,0.05692615173089666
baseline_pRN,val_pool,ticker,MSFT,0.48076578278503174,0.15730127635466487,0.09534746034953837,0.09660419757990067,177,0.08833240213895081
logit_C=0.2,val_pool,ticker,MSFT,0.46962349961879274,0.15582122538982512,0.09469571753692786,0.09097411873049693,177,0.08833240213895081
baseline_pRN,val_pool,ticker,PLTR,0.550219558529972,0.18330655942650256,0.09105186753492747,0.09031746217711331,117,0.07177603951756471
logit_C=0.2,val_pool,ticker,PLTR,0.5879983719924731,0.18971186434946372,0.12574478540281525,0.10533685438446622,117,0.07177603951756471
baseline_pRN,val_pool,ticker,NVDA,0.4046511109594605,0.1220564553862951,0.14545518973054852,0.12810688769924206,111,0.037159254386869615
logit_C=0.2,val_pool,ticker,NVDA,0.34923054258447217,0.10679612550986438,0.08716872350741423,0.09245972145126789,111,0.037159254386869615
baseline_pRN,val_pool,ticker,GOOGL,0.4888081194721566,0.15834491539581116,0.1253604140750695,0.1256684726047574,92,0.079751224460432
