model,split,group_type,group_value,logloss,brier,ece,ece_q,n,weight_sum
baseline_pRN,val_pool,ticker,QQQ,0.5310196468571506,0.1756803309725864,0.05910908065834488,0.055521862134629056,841,0.05305953021837469
logit_C=0.5,val_pool,ticker,QQQ,0.5348138697645702,0.17498489598500602,0.07366867069621565,0.0569775220699253,841,0.05305953021837469
baseline_pRN,val_pool,ticker,SPY,0.527331544799752,0.17452446284451675,0.04218120424803457,0.03478074139249223,555,0.06623410948931696
logit_C=0.5,val_pool,ticker,SPY,0.5298909878231939,0.17493740459201038,0.049712471783476125,0.04223134153020745,555,0.06623410948931696
baseline_pRN,val_pool,ticker,META,0.4358835790120827,0.13618628977809571,0.10551117579874028,0.10840617730970127,366,0.0659751963246358
logit_C=0.5,val_pool,ticker,META,0.42144377517450593,0.1351344893474469,0.07497267315686894,0.07293855043623541,366,0.0659751963246358
baseline_pRN,val_pool,ticker,TSLA,0.5193360183832714,0.17104652308233717,0.07328152249223764,0.06586284063249528,328,0.06921946370635369
logit_C=0.5,val_pool,ticker,TSLA,0.5403810375244896,0.17451882286254394,0.0825429949917352,0.09686364047035692,328,0.06921946370635369
baseline_pRN,val_pool,ticker,NFLX,0.5317147233216865,0.17506723358407206,0.14357627680210927,0.13013203917431382,282,0.03516082296552595
logit_C=0.5,val_pool,ticker,NFLX,0.5308398444624716,0.168916321702595,0.11653775200964166,0.10367008296938232,282,0.03516082296552595
baseline_pRN,val_pool,ticker,IWM,0.5631305515917782,0.19021382966356457,0.06485950447514127,0.046398230202101765,227,0.05692615173089666
logit_C=0.5,val_pool,ticker,IWM,0.5787997891351002,0.19451615642644957,0.07548596832967654,0.06860884529259052,227,0.05692615173089666
baseline_pRN,val_pool,ticker,MSFT,0.48076578278503174,0.15730127635466487,0.09534746034953837,0.09660419757990067,177,0.08833240213895081
logit_C=0.5,val_pool,ticker,MSFT,0.474866846295008,0.15845409258655915,0.13788822992922403,0.0948893953985381,177,0.08833240213895081
baseline_pRN,val_pool,ticker,PLTR,0.550219558529972,0.18330655942650256,0.09105186753492747,0.09031746217711331,117,0.07177603951756471
logit_C=0.5,val_pool,ticker,PLTR,0.646302780169494,0.19633598328971608,0.1374398521938061,0.12253443031641013,117,0.07177603951756471
baseline_pRN,val_pool,ticker,NVDA,0.4046511109594605,0.1220564553862951,0.14545518973054852,0.12810688769924206,111,0.037159254386869615
logit_C=0.5,val_pool,ticker,NVDA,0.3379150003018421,0.10509956540439652,0.08983315915591898,0.08434445638740742,111,0.037159254386869615
baseline_pRN,val_pool,ticker,GOOGL,0.4888081194721566,0.15834491539581116,0.1253604140750695,0.1256684726047574,92,0.079751224460432
logit_C=0.5,val_pool,ticker,GOOGL,0.4721803419054498,0.15319517513597167,0.09467622878721305,0.08808974990588793,92,0.079751224460432
baseline_pRN,test,ticker,QQQ,0.5045299254686026,0.16473604563063896,0.07362597953029547,0.06751494798417818,302,0.028423357140936835
logit_C=0.5,test,ticker,QQQ,0.49551409019739545,0.1619715261999365,0.0663811109895466,0.057462133453524133,302,0.028423357140936835
baseline_pRN,test,ticker,SPY,0.4456604799603427,0.14202430244621755,0.08272313960694395,0.07000654733290693,240,0.03202216767575583
logit_C=0.5,test,ticker,SPY,0.439210871280124,0.14039030352980073,0.0705561250889858,0.0551719750372163,240,0.03202216767575583
baseline_pRN,test,ticker,META,0.49949815709666473,0.16270202229727024,0.1618941181327091,0.16189411813270904,149,0.033164635063887796
logit_C=0.5,test,ticker,META,0.5095092069144317,0.16688657159035242,0.15965539082933336,0.15321365959399616,149,0.033164635063887796
baseline_pRN,test,ticker,TSLA,0.4505458956289031,0.14053433498847134,0.14337436652325009,0.1260265981675443,142,0.033755478024669806
logit_C=0.5,test,ticker,TSLA,0.4301396640682154,0.1354111664654893,0.12273167010367761,0.10914091421525612,142,0.033755478024669806
baseline_pRN,test,ticker,IWM,0.4918197722397441,0.15864991379446883,0.0850135497890604,0.0923522385960606,103,0.0322009998193636
logit_C=0.5,test,ticker,IWM,0.48973993044802006,0.15826642373036384,0.12474311756821442,0.08989628350645583,103,0.0322009998193636
baseline_pRN,test,ticker,NFLX,0.3572822375946503,0.10107014731473324,0.1747875091287871,0.16171143047831074,68,0.0110420662319362
logit_C=0.5,test,ticker,NFLX,0.30806154535676256,0.08831716227329414,0.13907797081975068,0.13134847849672032,68,0.0110420662319362
baseline_pRN,test,ticker,MSFT,0.47774162239455475,0.15678048981066786,0.19597808599510566,0.19817284015949874,61,0.024403311453308697
logit_C=0.5,test,ticker,MSFT,0.49326461807240274,0.1610195898775552,0.15440841482892612,0.15503512021473592,61,0.024403311453308697
baseline_pRN,test,ticker,PLTR,0.46714292217020265,0.15149251165866154,0.17904248178940851,0.2001147012995987,57,0.033227594085906295
logit_C=0.5,test,ticker,PLTR,0.45565940186346254,0.15096663625261397,0.19285556749678218,0.18414782034211152,57,0.033227594085906295
baseline_pRN,test,ticker,GOOGL,0.37046692013352484,0.10622769931051908,0.2023071877120128,0.21922291703192326,39,0.036639038856000186
logit_C=0.5,test,ticker,GOOGL,0.32910334153555615,0.09466724036052643,0.183301028081743,0.18690351988465925,39,0.036639038856000186
baseline_pRN,test,ticker,NVDA,0.3445059785596241,0.09870454660369915,0.22101457540362138,0.19661177032102828,39,0.007468608153537
logit_C=0.5,test,ticker,NVDA,0.3012076581469716,0.09123991083971547,0.16647132885885269,0.14576202052337836,39,0.007468608153537
baseline_pRN,val_pool,T_days,1,0.4953221839837126,0.1613117378597848,0.05688069007461665,0.05618314671724313,3187,0.7431898622148785
logit_C=0.5,val_pool,T_days,1,0.49401656016637446,0.15976718516290203,0.059439030684975414,0.05943903068497551,3187,0.7431898622148785
baseline_pRN,test,T_days,1,0.4304988329489706,0.13356549269940535,0.10514134330592273,0.10284074192155403,1240,0.3512551172395538
logit_C=0.5,test,T_days,1,0.401341196564778,0.12531470277137755,0.05576729330827258,0.05355876559673938,1240,0.3512551172395538
baseline_pRN,val_pool,asof_dow,Mon,0.501685903046601,0.16317976120010538,0.08183989246267703,0.05542427030533605,320,0.03325041476862486
logit_C=0.5,val_pool,asof_dow,Mon,0.49164886656075163,0.16015381603496537,0.04158357247998379,0.03926522728705064,320,0.03325041476862486
baseline_pRN,val_pool,asof_dow,Thu,0.5058997974258767,0.16559306883163122,0.039252776293532125,0.040976930343956844,1138,0.28830061509855787
logit_C=0.5,val_pool,asof_dow,Thu,0.5037266201573607,0.1638940004660593,0.049730016641772706,0.042508119882821674,1138,0.28830061509855787
baseline_pRN,val_pool,asof_dow,Tue,0.4712783824000952,0.15087083231656157,0.11643768284238737,0.1156056776055436,375,0.03852380821182891
logit_C=0.5,val_pool,asof_dow,Tue,0.44987230896054775,0.14548977126267043,0.09507037904945118,0.09146265417120113,375,0.03852380821182891
baseline_pRN,val_pool,asof_dow,Wed,0.48922774807810265,0.15897771438263478,0.09454875070873502,0.09471516746309427,1354,0.38311502413586696
logit_C=0.5,val_pool,asof_dow,Wed,0.4913539530060156,0.1580637837529067,0.10722186784615645,0.10722186784615644,1354,0.38311502413586696
baseline_pRN,test,asof_dow,Mon,0.4298215683343041,0.1339367825686566,0.14062088586314378,0.13998895247991278,144,0.01965774295698524
logit_C=0.5,test,asof_dow,Mon,0.4246655344661834,0.13321289947750986,0.14486292678580265,0.13106152037895094,144,0.01965774295698524
baseline_pRN,test,asof_dow,Thu,0.4208735078643227,0.13050804419229983,0.11216637222422157,0.11536095708957304,351,0.12734646806782304
logit_C=0.5,test,asof_dow,Thu,0.3848010238249289,0.1199958295599527,0.07494130998226628,0.09112570148989846,351,0.12734646806782304
baseline_pRN,test,asof_dow,Tue,0.6022138855261977,0.20716404833489482,0.1168368972554719,0.07663749174877184,156,0.02266155651383074
logit_C=0.5,test,asof_dow,Tue,0.6058838337987408,0.20827432690585815,0.08945289873259289,0.06753508823210236,156,0.02266155651383074
baseline_pRN,test,asof_dow,Wed,0.41589298890922294,0.1264846739062279,0.1325646890220708,0.12439825470500747,589,0.18158934970091484
logit_C=0.5,test,asof_dow,Wed,0.3848896491720369,0.11783675752831356,0.08194693900662135,0.07582451164150049,589,0.18158934970091484
