model,split,group_type,group_value,logloss,brier,ece,ece_q,n,weight_sum
baseline_pRN,val_pool,ticker,QQQ,0.5310196468571506,0.1756803309725864,0.05910908065834488,0.055521862134629056,841,0.05305953021837469
logit_C=0.5,val_pool,ticker,QQQ,0.5305690751867285,0.17444595739565524,0.06504207663185578,0.055260270563872574,841,0.05305953021837469
baseline_pRN,val_pool,ticker,SPY,0.527331544799752,0.17452446284451675,0.04218120424803457,0.03478074139249223,555,0.06623410948931696
logit_C=0.5,val_pool,ticker,SPY,0.5278425163328465,0.17448931107355223,0.044307707969700044,0.039817063677653405,555,0.06623410948931696
baseline_pRN,val_pool,ticker,META,0.4358835790120827,0.13618628977809571,0.10551117579874028,0.10840617730970127,366,0.0659751963246358
logit_C=0.5,val_pool,ticker,META,0.4174239567826221,0.13373875877726932,0.07328139784727511,0.07116585487516615,366,0.0659751963246358
baseline_pRN,val_pool,ticker,TSLA,0.5193360183832714,0.17104652308233717,0.07328152249223764,0.06586284063249528,328,0.06921946370635369
logit_C=0.5,val_pool,ticker,TSLA,0.5265843804728828,0.17222148865583106,0.07676537614111664,0.07875521180654395,328,0.06921946370635369
baseline_pRN,val_pool,ticker,NFLX,0.5317147233216865,0.17506723358407206,0.14357627680210927,0.13013203917431382,282,0.03516082296552595
logit_C=0.5,val_pool,ticker,NFLX,0.5245731961571859,0.16900307284364643,0.11312264460306061,0.10604872189562616,282,0.03516082296552595
baseline_pRN,val_pool,ticker,IWM,0.5631305515917782,0.19021382966356457,0.06485950447514127,0.046398230202101765,227,0.05692615173089666
logit_C=0.5,val_pool,ticker,IWM,0.5741056396264601,0.19342268239021124,0.07043959967009134,0.062218374271908995,227,0.05692615173089666
baseline_pRN,val_pool,ticker,MSFT,0.48076578278503174,0.15730127635466487,0.09534746034953837,0.09660419757990067,177,0.08833240213895081
logit_C=0.5,val_pool,ticker,MSFT,0.4712858628188395,0.15698676595158678,0.11016481591263882,0.09298926359842048,177,0.08833240213895081
baseline_pRN,val_pool,ticker,PLTR,0.550219558529972,0.18330655942650256,0.09105186753492747,0.09031746217711331,117,0.07177603951756471
logit_C=0.5,val_pool,ticker,PLTR,0.6083970502219299,0.19247627689199456,0.13889368621287626,0.11265876393880797,117,0.07177603951756471
baseline_pRN,val_pool,ticker,NVDA,0.4046511109594605,0.1220564553862951,0.14545518973054852,0.12810688769924206,111,0.037159254386869615
logit_C=0.5,val_pool,ticker,NVDA,0.3441712202368158,0.10600438839606205,0.08658523663256501,0.08858986572137435,111,0.037159254386869615
baseline_pRN,val_pool,ticker,GOOGL,0.4888081194721566,0.15834491539581116,0.1253604140750695,0.1256684726047574,92,0.079751224460432
logit_C=0.5,val_pool,ticker,GOOGL,0.469755888341749,0.15264365653810905,0.1106822603560328,0.07950328823791734,92,0.079751224460432
baseline_pRN,test,ticker,QQQ,0.5045299254686026,0.16473604563063896,0.07362597953029547,0.06751494798417818,302,0.028423357140936835
logit_C=0.5,test,ticker,QQQ,0.4966027130084916,0.1623281763689674,0.06838952210104543,0.057800716333486164,302,0.028423357140936835
baseline_pRN,test,ticker,SPY,0.4456604799603427,0.14202430244621755,0.08272313960694395,0.07000654733290693,240,0.03202216767575583
logit_C=0.5,test,ticker,SPY,0.43869791529019864,0.14020333547197517,0.06783812500008755,0.05232770680301611,240,0.03202216767575583
baseline_pRN,test,ticker,META,0.49949815709666473,0.16270202229727024,0.1618941181327091,0.16189411813270904,149,0.033164635063887796
logit_C=0.5,test,ticker,META,0.5208310669355835,0.17051142100201291,0.17124490575475138,0.1625095851962822,149,0.033164635063887796
baseline_pRN,test,ticker,TSLA,0.4505458956289031,0.14053433498847134,0.14337436652325009,0.1260265981675443,142,0.033755478024669806
logit_C=0.5,test,ticker,TSLA,0.43754758925240006,0.1373046273818699,0.13061245344754832,0.11557655836198155,142,0.033755478024669806
baseline_pRN,test,ticker,IWM,0.4918197722397441,0.15864991379446883,0.0850135497890604,0.0923522385960606,103,0.0322009998193636
logit_C=0.5,test,ticker,IWM,0.4912733023240441,0.15907163211514738,0.10736996664665717,0.09348481616638338,103,0.0322009998193636
baseline_pRN,test,ticker,NFLX,0.3572822375946503,0.10107014731473324,0.1747875091287871,0.16171143047831074,68,0.0110420662319362
logit_C=0.5,test,ticker,NFLX,0.3056111053285091,0.08709298987648895,0.13319576298888255,0.12899310098859668,68,0.0110420662319362
baseline_pRN,test,ticker,MSFT,0.47774162239455475,0.15678048981066786,0.19597808599510566,0.19817284015949874,61,0.024403311453308697
logit_C=0.5,test,ticker,MSFT,0.48379181730709564,0.15770815695858306,0.14876229915588818,0.16194663055153027,61,0.024403311453308697
baseline_pRN,test,ticker,PLTR,0.46714292217020265,0.15149251165866154,0.17904248178940851,0.2001147012995987,57,0.033227594085906295
logit_C=0.5,test,ticker,PLTR,0.44587711961846926,0.1476182213578425,0.20874589309692196,0.1766807860975681,57,0.033227594085906295
baseline_pRN,test,ticker,GOOGL,0.37046692013352484,0.10622769931051908,0.2023071877120128,0.21922291703192326,39,0.036639038856000186
logit_C=0.5,test,ticker,GOOGL,0.33056601859952406,0.09595516483254174,0.188420302030853,0.18842030203085303,39,0.036639038856000186
baseline_pRN,test,ticker,NVDA,0.3445059785596241,0.09870454660369915,0.22101457540362138,0.19661177032102828,39,0.007468608153537
logit_C=0.5,test,ticker,NVDA,0.30666539649871105,0.092965011951794,0.14740364519970475,0.14609150052924494,39,0.007468608153537
baseline_pRN,val_pool,T_days,1,0.4953221839837126,0.1613117378597848,0.05688069007461665,0.05618314671724313,3187,0.7431898622148785
logit_C=0.5,val_pool,T_days,1,0.48746334490821264,0.15872506516873508,0.05336871298913814,0.053368712989138194,3187,0.7431898622148785
