model,split,group_type,group_value,logloss,brier,ece,ece_q,n,weight_sum
baseline_pRN,val_pool,ticker,QQQ,0.5310196468571506,0.1756803309725864,0.05910908065834488,0.055521862134629056,841,0.05305953021837469
logit_C=0.5,val_pool,ticker,QQQ,0.5277653719090983,0.17412999269806695,0.06240488184091193,0.05366003498961264,841,0.05305953021837469
baseline_pRN,val_pool,ticker,SPY,0.527331544799752,0.17452446284451675,0.04218120424803457,0.03478074139249223,555,0.06623410948931696
logit_C=0.5,val_pool,ticker,SPY,0.525493208547187,0.17389853076234485,0.03831531370825194,0.03531221054404053,555,0.06623410948931696
baseline_pRN,val_pool,ticker,META,0.4358835790120827,0.13618628977809571,0.10551117579874028,0.10840617730970127,366,0.0659751963246358
logit_C=0.5,val_pool,ticker,META,0.4178557362619914,0.1334039539200106,0.05775933883303185,0.07010734955443397,366,0.0659751963246358
baseline_pRN,val_pool,ticker,TSLA,0.5193360183832714,0.17104652308233717,0.07328152249223764,0.06586284063249528,328,0.06921946370635369
logit_C=0.5,val_pool,ticker,TSLA,0.5182248319931025,0.1703792031973112,0.07121028333739383,0.07032034889417778,328,0.06921946370635369
baseline_pRN,val_pool,ticker,NFLX,0.5317147233216865,0.17506723358407206,0.14357627680210927,0.13013203917431382,282,0.03516082296552595
logit_C=0.5,val_pool,ticker,NFLX,0.5298800599754714,0.17221163893693933,0.12599501914042038,0.12866669236753536,282,0.03516082296552595
baseline_pRN,val_pool,ticker,IWM,0.5631305515917782,0.19021382966356457,0.06485950447514127,0.046398230202101765,227,0.05692615173089666
logit_C=0.5,val_pool,ticker,IWM,0.5680230764907684,0.19185098637619283,0.06744476976601183,0.05623616868612495,227,0.05692615173089666
baseline_pRN,val_pool,ticker,MSFT,0.48076578278503174,0.15730127635466487,0.09534746034953837,0.09660419757990067,177,0.08833240213895081
logit_C=0.5,val_pool,ticker,MSFT,0.4695968034532007,0.1558189399118722,0.09466451223744086,0.09092946446193005,177,0.08833240213895081
baseline_pRN,val_pool,ticker,PLTR,0.550219558529972,0.18330655942650256,0.09105186753492747,0.09031746217711331,117,0.07177603951756471
logit_C=0.5,val_pool,ticker,PLTR,0.5880189520126459,0.1897108588882417,0.1257517340337475,0.10534626294660386,117,0.07177603951756471
baseline_pRN,val_pool,ticker,NVDA,0.4046511109594605,0.1220564553862951,0.14545518973054852,0.12810688769924206,111,0.037159254386869615
logit_C=0.5,val_pool,ticker,NVDA,0.34927053675727676,0.10680191398986025,0.08715766527830113,0.09245162001323576,111,0.037159254386869615
baseline_pRN,val_pool,ticker,GOOGL,0.4888081194721566,0.15834491539581116,0.1253604140750695,0.1256684726047574,92,0.079751224460432
logit_C=0.5,val_pool,ticker,GOOGL,0.468766027683333,0.15217577678704552,0.1267968137782117,0.071953520952891,92,0.079751224460432
baseline_pRN,test,ticker,QQQ,0.5045299254686026,0.16473604563063896,0.07362597953029547,0.06751494798417818,302,0.028423357140936835
logit_C=0.5,test,ticker,QQQ,0.49627452607044326,0.16218951149854252,0.05544023749984333,0.06466160882685411,302,0.028423357140936835
baseline_pRN,test,ticker,SPY,0.4456604799603427,0.14202430244621755,0.08272313960694395,0.07000654733290693,240,0.03202216767575583
logit_C=0.5,test,ticker,SPY,0.43872583148260874,0.14022947526238308,0.08603244671920802,0.052972173397047226,240,0.03202216767575583
baseline_pRN,test,ticker,META,0.49949815709666473,0.16270202229727024,0.1618941181327091,0.16189411813270904,149,0.033164635063887796
logit_C=0.5,test,ticker,META,0.51391261557658,0.16827462882791416,0.1642400808949726,0.1582586247795772,149,0.033164635063887796
baseline_pRN,test,ticker,TSLA,0.4505458956289031,0.14053433498847134,0.14337436652325009,0.1260265981675443,142,0.033755478024669806
logit_C=0.5,test,ticker,TSLA,0.434496045012884,0.1363904900731527,0.11751338040488955,0.11351591163335552,142,0.033755478024669806
baseline_pRN,test,ticker,IWM,0.4918197722397441,0.15864991379446883,0.0850135497890604,0.0923522385960606,103,0.0322009998193636
logit_C=0.5,test,ticker,IWM,0.4901121263467934,0.15849029220867805,0.14489994166035886,0.09104786010257776,103,0.0322009998193636
baseline_pRN,test,ticker,NFLX,0.3572822375946503,0.10107014731473324,0.1747875091287871,0.16171143047831074,68,0.0110420662319362
logit_C=0.5,test,ticker,NFLX,0.30876201591272107,0.08806908025103734,0.13680472859287185,0.1317898622324343,68,0.0110420662319362
baseline_pRN,test,ticker,MSFT,0.47774162239455475,0.15678048981066786,0.19597808599510566,0.19817284015949874,61,0.024403311453308697
logit_C=0.5,test,ticker,MSFT,0.485886722348712,0.15889279608098467,0.15545155751663173,0.1603746405492944,61,0.024403311453308697
baseline_pRN,test,ticker,PLTR,0.46714292217020265,0.15149251165866154,0.17904248178940851,0.2001147012995987,57,0.033227594085906295
logit_C=0.5,test,ticker,PLTR,0.44974608324752835,0.1489270067838139,0.1883573731629787,0.1804937326359738,57,0.033227594085906295
baseline_pRN,test,ticker,GOOGL,0.37046692013352484,0.10622769931051908,0.2023071877120128,0.21922291703192326,39,0.036639038856000186
logit_C=0.5,test,ticker,GOOGL,0.3310473416455486,0.0955193699884923,0.17503965771490443,0.18867370407586853,39,0.036639038856000186
baseline_pRN,test,ticker,NVDA,0.3445059785596241,0.09870454660369915,0.22101457540362138,0.19661177032102828,39,0.007468608153537
logit_C=0.5,test,ticker,NVDA,0.3055261135724683,0.09220429203051932,0.17003025587355663,0.1482447231729658,39,0.007468608153537
baseline_pRN,val_pool,T_days,1,0.4953221839837126,0.1613117378597848,0.05688069007461665,0.05618314671724313,3187,0.7431898622148785
logit_C=0.5,val_pool,T_days,1,0.4845324416838371,0.15810549056486942,0.04835807244234136,0.04835807244234135,3187,0.7431898622148785
baseline_pRN,test,T_days,1,0.4304988329489706,0.13356549269940535,0.10514134330592273,0.10284074192155403,1240,0.3512551172395538
logit_C=0.5,test,T_days,1,0.4018959408243738,0.1254319396842018,0.05611362464927061,0.05445630028381803,1240,0.3512551172395538
baseline_pRN,val_pool,asof_dow,Mon,0.501685903046601,0.16317976120010538,0.08183989246267703,0.05542427030533605,320,0.03325041476862486
logit_C=0.5,val_pool,asof_dow,Mon,0.49450009862417804,0.16088837244625953,0.05072020417260484,0.04218745701637926,320,0.03325041476862486
baseline_pRN,val_pool,asof_dow,Thu,0.5058997974258767,0.16559306883163122,0.039252776293532125,0.040976930343956844,1138,0.28830061509855787
logit_C=0.5,val_pool,asof_dow,Thu,0.4970236521874167,0.16278611197588486,0.03447144204989654,0.029189543658828202,1138,0.28830061509855787
baseline_pRN,val_pool,asof_dow,Tue,0.4712783824000952,0.15087083231656157,0.11643768284238737,0.1156056776055436,375,0.03852380821182891
logit_C=0.5,val_pool,asof_dow,Tue,0.4584089320637821,0.147718766693183,0.11185461075409078,0.10464295381773304,375,0.03852380821182891
baseline_pRN,val_pool,asof_dow,Wed,0.48922774807810265,0.15897771438263478,0.09454875070873502,0.09471516746309427,1354,0.38311502413586696
logit_C=0.5,val_pool,asof_dow,Wed,0.47689433004563453,0.15538614576074605,0.0962858340024798,0.0962858340024798,1354,0.38311502413586696
baseline_pRN,test,asof_dow,Mon,0.4298215683343041,0.1339367825686566,0.14062088586314378,0.13998895247991278,144,0.01965774295698524
logit_C=0.5,test,asof_dow,Mon,0.4272819226808711,0.13415741641383686,0.1443982948505359,0.13495388517886475,144,0.01965774295698524
baseline_pRN,test,asof_dow,Thu,0.4208735078643227,0.13050804419229983,0.11216637222422157,0.11536095708957304,351,0.12734646806782304
logit_C=0.5,test,asof_dow,Thu,0.3849787604253617,0.11993037960542102,0.07008647288263863,0.09371045969823653,351,0.12734646806782304
baseline_pRN,test,asof_dow,Tue,0.6022138855261977,0.20716404833489482,0.1168368972554719,0.07663749174877184,156,0.02266155651383074
