model,split,group_type,group_value,logloss,brier,ece,ece_q,n,weight_sum
baseline_pRN,val_pool,ticker,QQQ,0.5310196468571506,0.1756803309725864,0.05910908065834488,0.055521862134629056,841,0.05305953021837469
logit_C=5,val_pool,ticker,QQQ,0.5348728938532537,0.17499445676111147,0.07368531773459731,0.05699560597615566,841,0.05305953021837469
baseline_pRN,val_pool,ticker,SPY,0.527331544799752,0.17452446284451675,0.04218120424803457,0.03478074139249223,555,0.06623410948931696
logit_C=5,val_pool,ticker,SPY,0.5299449329241257,0.17494884438650832,0.05302268859134231,0.042266088390365844,555,0.06623410948931696
baseline_pRN,val_pool,ticker,META,0.4358835790120827,0.13618628977809571,0.10551117579874028,0.10840617730970127,366,0.0659751963246358
logit_C=5,val_pool,ticker,META,0.42140369798974137,0.1351217652021035,0.07495895142426094,0.07292964050044005,366,0.0659751963246358
baseline_pRN,val_pool,ticker,TSLA,0.5193360183832714,0.17104652308233717,0.07328152249223764,0.06586284063249528,328,0.06921946370635369
logit_C=5,val_pool,ticker,TSLA,0.5404300832835969,0.1745252584557015,0.08255882878022155,0.09687579002330514,328,0.06921946370635369
baseline_pRN,val_pool,ticker,NFLX,0.5317147233216865,0.17506723358407206,0.14357627680210927,0.13013203917431382,282,0.03516082296552595
logit_C=5,val_pool,ticker,NFLX,0.530850551927883,0.16890815306749307,0.11644648482203705,0.10358820797114446,282,0.03516082296552595
baseline_pRN,val_pool,ticker,IWM,0.5631305515917782,0.19021382966356457,0.06485950447514127,0.046398230202101765,227,0.05692615173089666
logit_C=5,val_pool,ticker,IWM,0.5789107372403122,0.19454114975747358,0.07558412083733237,0.0687551290711027,227,0.05692615173089666
baseline_pRN,val_pool,ticker,MSFT,0.48076578278503174,0.15730127635466487,0.09534746034953837,0.09660419757990067,177,0.08833240213895081
logit_C=5,val_pool,ticker,MSFT,0.4748824390993753,0.1584588203161797,0.13786782894837196,0.0948767545419269,177,0.08833240213895081
baseline_pRN,val_pool,ticker,PLTR,0.550219558529972,0.18330655942650256,0.09105186753492747,0.09031746217711331,117,0.07177603951756471
logit_C=5,val_pool,ticker,PLTR,0.6463332215863663,0.19633549241737908,0.13744823415531504,0.12255628897250469,117,0.07177603951756471
