model,split,group_type,group_value,logloss,brier,ece,ece_q,n,weight_sum
baseline_pRN,val_pool,ticker,QQQ,0.5310196468571506,0.1756803309725864,0.05910908065834488,0.055521862134629056,841,0.05305953021837469
logit_C=5,val_pool,ticker,QQQ,0.5306150990925501,0.17445403196739173,0.06548256183611562,0.05528438520119221,841,0.05305953021837469
baseline_pRN,val_pool,ticker,SPY,0.527331544799752,0.17452446284451675,0.04218120424803457,0.03478074139249223,555,0.06623410948931696
logit_C=5,val_pool,ticker,SPY,0.5278853749916956,0.17449894834330265,0.044367979143869675,0.039843183407506984,555,0.06623410948931696
baseline_pRN,val_pool,ticker,META,0.4358835790120827,0.13618628977809571,0.10551117579874028,0.10840617730970127,366,0.0659751963246358
logit_C=5,val_pool,ticker,META,0.41737452706661493,0.1337221380605634,0.07326871462271627,0.07112464797560472,366,0.0659751963246358
baseline_pRN,val_pool,ticker,TSLA,0.5193360183832714,0.17104652308233717,0.07328152249223764,0.06586284063249528,328,0.06921946370635369
logit_C=5,val_pool,ticker,TSLA,0.5266231885505933,0.17222735752784937,0.07677529332832192,0.07876691913428537,328,0.06921946370635369
baseline_pRN,val_pool,ticker,NFLX,0.5317147233216865,0.17506723358407206,0.14357627680210927,0.13013203917431382,282,0.03516082296552595
logit_C=5,val_pool,ticker,NFLX,0.524595957851257,0.1690011896255038,0.1130605025899134,0.10600844264835688,282,0.03516082296552595
baseline_pRN,val_pool,ticker,IWM,0.5631305515917782,0.19021382966356457,0.06485950447514127,0.046398230202101765,227,0.05692615173089666
logit_C=5,val_pool,ticker,IWM,0.5742075029312732,0.19344739763941118,0.06777003071139553,0.06231871593711383,227,0.05692615173089666
baseline_pRN,val_pool,ticker,MSFT,0.48076578278503174,0.15730127635466487,0.09534746034953837,0.09660419757990067,177,0.08833240213895081
logit_C=5,val_pool,ticker,MSFT,0.4712874056471119,0.15698939410821444,0.11014091450577831,0.09296854441650569,177,0.08833240213895081
baseline_pRN,val_pool,ticker,PLTR,0.550219558529972,0.18330655942650256,0.09105186753492747,0.09031746217711331,117,0.07177603951756471
logit_C=5,val_pool,ticker,PLTR,0.608404423629949,0.19247444656262624,0.1388930685125751,0.1126687059561439,117,0.07177603951756471
baseline_pRN,val_pool,ticker,NVDA,0.4046511109594605,0.1220564553862951,0.14545518973054852,0.12810688769924206,111,0.037159254386869615
logit_C=5,val_pool,ticker,NVDA,0.3442091672539332,0.10601040483432608,0.08657742551262469,0.08859550157828441,111,0.037159254386869615
baseline_pRN,val_pool,ticker,GOOGL,0.4888081194721566,0.15834491539581116,0.1253604140750695,0.1256684726047574,92,0.079751224460432
logit_C=5,val_pool,ticker,GOOGL,0.46977574126726135,0.15264909731389908,0.11067632807954424,0.07952962467736124,92,0.079751224460432
baseline_pRN,test,ticker,QQQ,0.5045299254686026,0.16473604563063896,0.07362597953029547,0.06751494798417818,302,0.028423357140936835
logit_C=5,test,ticker,QQQ,0.4965778829388151,0.16232012266303192,0.06829520620458143,0.05770783067620665,302,0.028423357140936835
baseline_pRN,test,ticker,SPY,0.4456604799603427,0.14202430244621755,0.08272313960694395,0.07000654733290693,240,0.03202216767575583
logit_C=5,test,ticker,SPY,0.4386118940052172,0.1401832391096842,0.06774051568025381,0.05219848741531491,240,0.03202216767575583
baseline_pRN,test,ticker,META,0.49949815709666473,0.16270202229727024,0.1618941181327091,0.16189411813270904,149,0.033164635063887796
logit_C=5,test,ticker,META,0.5207838228542114,0.17049787662243626,0.17121889469971482,0.16249187205868285,149,0.033164635063887796
baseline_pRN,test,ticker,TSLA,0.4505458956289031,0.14053433498847134,0.14337436652325009,0.1260265981675443,142,0.033755478024669806
logit_C=5,test,ticker,TSLA,0.43753191134516817,0.13729561372471216,0.130601338079464,0.11556760865967755,142,0.033755478024669806
baseline_pRN,test,ticker,IWM,0.4918197722397441,0.15864991379446883,0.0850135497890604,0.0923522385960606,103,0.0322009998193636
logit_C=5,test,ticker,IWM,0.49124267022028484,0.15905935970963048,0.10730025298140523,0.09347028071494294,103,0.0322009998193636
baseline_pRN,test,ticker,NFLX,0.3572822375946503,0.10107014731473324,0.1747875091287871,0.16171143047831074,68,0.0110420662319362
logit_C=5,test,ticker,NFLX,0.3055570959702311,0.08707450353176173,0.1331672750500556,0.12896149410574065,68,0.0110420662319362
baseline_pRN,test,ticker,MSFT,0.47774162239455475,0.15678048981066786,0.19597808599510566,0.19817284015949874,61,0.024403311453308697
logit_C=5,test,ticker,MSFT,0.4836918123373269,0.15768703667830494,0.1487840679340993,0.16194460253447493,61,0.024403311453308697
baseline_pRN,test,ticker,PLTR,0.46714292217020265,0.15149251165866154,0.17904248178940851,0.2001147012995987,57,0.033227594085906295
logit_C=5,test,ticker,PLTR,0.4458990366088551,0.14761917201432082,0.20874024366282673,0.17667803051300993,57,0.033227594085906295
baseline_pRN,test,ticker,GOOGL,0.37046692013352484,0.10622769931051908,0.2023071877120128,0.21922291703192326,39,0.036639038856000186
logit_C=5,test,ticker,GOOGL,0.3304884435547881,0.09593443235409915,0.18835568667705266,0.1883556866770526,39,0.036639038856000186
baseline_pRN,test,ticker,NVDA,0.3445059785596241,0.09870454660369915,0.22101457540362138,0.19661177032102828,39,0.007468608153537
logit_C=5,test,ticker,NVDA,0.3066269777459144,0.09295416714022002,0.14737281269878508,0.14604940972778002,39,0.007468608153537
baseline_pRN,val_pool,T_days,1,0.4953221839837126,0.1613117378597848,0.05688069007461665,0.05618314671724313,3187,0.7431898622148785
logit_C=5,val_pool,T_days,1,0.48748521714892623,0.15872924515523676,0.053375731283770926,0.053375731283770926,3187,0.7431898622148785
baseline_pRN,test,T_days,1,0.4304988329489706,0.13356549269940535,0.10514134330592273,0.10284074192155403,1240,0.3512551172395538
logit_C=5,test,T_days,1,0.40097378009501666,0.12523606619856406,0.05722063571734138,0.051311018946046796,1240,0.3512551172395538
baseline_pRN,val_pool,asof_dow,Mon,0.501685903046601,0.16317976120010538,0.08183989246267703,0.05542427030533605,320,0.03325041476862486
logit_C=5,val_pool,asof_dow,Mon,0.49297845684549774,0.1604266483447655,0.047052676370521344,0.03751325017616173,320,0.03325041476862486
