model,split,group_type,group_value,logloss,brier,ece,ece_q,n,weight_sum
baseline_pRN,val_pool,ticker,QQQ,0.5310196468571506,0.1756803309725864,0.05910908065834488,0.055521862134629056,841,0.05305953021837469
logit_C=5,val_pool,ticker,QQQ,0.5277896734490305,0.17413400847919278,0.06240158521391051,0.05364193809024895,841,0.05305953021837469
baseline_pRN,val_pool,ticker,SPY,0.527331544799752,0.17452446284451675,0.04218120424803457,0.03478074139249223,555,0.06623410948931696
logit_C=5,val_pool,ticker,SPY,0.5255081262121806,0.17390188877990367,0.038504179917333806,0.03533707114027179,555,0.06623410948931696
baseline_pRN,val_pool,ticker,META,0.4358835790120827,0.13618628977809571,0.10551117579874028,0.10840617730970127,366,0.0659751963246358
logit_C=5,val_pool,ticker,META,0.41780138059616934,0.1333858557928914,0.060504095577300784,0.0700827279938783,366,0.0659751963246358
baseline_pRN,val_pool,ticker,TSLA,0.5193360183832714,0.17104652308233717,0.07328152249223764,0.06586284063249528,328,0.06921946370635369
logit_C=5,val_pool,ticker,TSLA,0.5182559986569993,0.1703841632680852,0.0712252375566293,0.07033341898527361,328,0.06921946370635369
baseline_pRN,val_pool,ticker,NFLX,0.5317147233216865,0.17506723358407206,0.14357627680210927,0.13013203917431382,282,0.03516082296552595
logit_C=5,val_pool,ticker,NFLX,0.5299387153657461,0.172224155360533,0.12600930656294776,0.12867858297184484,282,0.03516082296552595
baseline_pRN,val_pool,ticker,IWM,0.5631305515917782,0.19021382966356457,0.06485950447514127,0.046398230202101765,227,0.05692615173089666
logit_C=5,val_pool,ticker,IWM,0.5680976143249659,0.19187103431081026,0.06752245883599062,0.05631180578465257,227,0.05692615173089666
baseline_pRN,val_pool,ticker,MSFT,0.48076578278503174,0.15730127635466487,0.09534746034953837,0.09660419757990067,177,0.08833240213895081
logit_C=5,val_pool,ticker,MSFT,0.4695809019164881,0.1558176404019484,0.09464563344475767,0.09049184065548652,177,0.08833240213895081
baseline_pRN,val_pool,ticker,PLTR,0.550219558529972,0.18330655942650256,0.09105186753492747,0.09031746217711331,117,0.07177603951756471
logit_C=5,val_pool,ticker,PLTR,0.5880313369886496,0.18971023731315187,0.12575597165152616,0.10535198563599987,117,0.07177603951756471
baseline_pRN,val_pool,ticker,NVDA,0.4046511109594605,0.1220564553862951,0.14545518973054852,0.12810688769924206,111,0.037159254386869615
logit_C=5,val_pool,ticker,NVDA,0.3492950686015266,0.10680550012501128,0.08715112731031256,0.09244691155170869,111,0.037159254386869615
baseline_pRN,val_pool,ticker,GOOGL,0.4888081194721566,0.15834491539581116,0.1253604140750695,0.1256684726047574,92,0.079751224460432
logit_C=5,val_pool,ticker,GOOGL,0.46877308339010326,0.1521784394476823,0.12456111884921954,0.07197420202582973,92,0.079751224460432
baseline_pRN,test,ticker,QQQ,0.5045299254686026,0.16473604563063896,0.07362597953029547,0.06751494798417818,302,0.028423357140936835
logit_C=5,test,ticker,QQQ,0.4962495819616401,0.1621816917626983,0.05364614136482611,0.0645969336464757,302,0.028423357140936835
baseline_pRN,test,ticker,SPY,0.4456604799603427,0.14202430244621755,0.08272313960694395,0.07000654733290693,240,0.03202216767575583
logit_C=5,test,ticker,SPY,0.4386404759626068,0.14020956047794159,0.08592691552807534,0.05284468910383813,240,0.03202216767575583
baseline_pRN,test,ticker,META,0.49949815709666473,0.16270202229727024,0.1618941181327091,0.16189411813270904,149,0.033164635063887796
logit_C=5,test,ticker,META,0.5138728504755852,0.1682638381073782,0.16422295061634765,0.15824905328657243,149,0.033164635063887796
baseline_pRN,test,ticker,TSLA,0.4505458956289031,0.14053433498847134,0.14337436652325009,0.1260265981675443,142,0.033755478024669806
logit_C=5,test,ticker,TSLA,0.4344820086727989,0.13638280555516324,0.11750727290496753,0.1135108082959215,142,0.033755478024669806
baseline_pRN,test,ticker,IWM,0.4918197722397441,0.15864991379446883,0.0850135497890604,0.0923522385960606,103,0.0322009998193636
logit_C=5,test,ticker,IWM,0.4900816612625222,0.15847866241878314,0.1448407450039869,0.09103885258808495,103,0.0322009998193636
baseline_pRN,test,ticker,NFLX,0.3572822375946503,0.10107014731473324,0.1747875091287871,0.16171143047831074,68,0.0110420662319362
logit_C=5,test,ticker,NFLX,0.3087028400724945,0.08804890074021075,0.1367743106716066,0.13175424681463677,68,0.0110420662319362
baseline_pRN,test,ticker,MSFT,0.47774162239455475,0.15678048981066786,0.19597808599510566,0.19817284015949874,61,0.024403311453308697
logit_C=5,test,ticker,MSFT,0.4857822809369284,0.1588687326568635,0.1554517519776869,0.1603746159356494,61,0.024403311453308697
baseline_pRN,test,ticker,PLTR,0.46714292217020265,0.15149251165866154,0.17904248178940851,0.2001147012995987,57,0.033227594085906295
logit_C=5,test,ticker,PLTR,0.4497608997917645,0.14892536966827136,0.18834921601342972,0.18048553353193178,57,0.033227594085906295
baseline_pRN,test,ticker,GOOGL,0.37046692013352484,0.10622769931051908,0.2023071877120128,0.21922291703192326,39,0.036639038856000186
logit_C=5,test,ticker,GOOGL,0.3309708535890469,0.09549962921647019,0.17498079788146828,0.18861090854103724,39,0.036639038856000186
baseline_pRN,test,ticker,NVDA,0.3445059785596241,0.09870454660369915,0.22101457540362138,0.19661177032102828,39,0.007468608153537
logit_C=5,test,ticker,NVDA,0.30548858228333664,0.09219451261602533,0.16999854217003615,0.14820071696837533,39,0.007468608153537
baseline_pRN,val_pool,T_days,1,0.4953221839837126,0.1613117378597848,0.05688069007461665,0.05618314671724313,3187,0.7431898622148785
logit_C=5,val_pool,T_days,1,0.48454411907887013,0.15810801156148716,0.04836398479335837,0.048363984793358385,3187,0.7431898622148785
baseline_pRN,test,T_days,1,0.4304988329489706,0.13356549269940535,0.10514134330592273,0.10284074192155403,1240,0.3512551172395538
logit_C=5,test,T_days,1,0.4018658463461328,0.12542465011094178,0.056043082841648356,0.054382278915373734,1240,0.3512551172395538
baseline_pRN,val_pool,asof_dow,Mon,0.501685903046601,0.16317976120010538,0.08183989246267703,0.05542427030533605,320,0.03325041476862486
logit_C=5,val_pool,asof_dow,Mon,0.49448474326037034,0.16088255247739722,0.050635510715753194,0.04209364736003806,320,0.03325041476862486
baseline_pRN,val_pool,asof_dow,Thu,0.5058997974258767,0.16559306883163122,0.039252776293532125,0.040976930343956844,1138,0.28830061509855787
logit_C=5,val_pool,asof_dow,Thu,0.4970519805073819,0.16279331657271964,0.03397776844451006,0.027424463980975478,1138,0.28830061509855787
baseline_pRN,val_pool,asof_dow,Tue,0.4712783824000952,0.15087083231656157,0.11643768284238737,0.1156056776055436,375,0.03852380821182891
logit_C=5,val_pool,asof_dow,Tue,0.458363001683887,0.14770758088772803,0.11175922462884347,0.10457830661185359,375,0.03852380821182891
baseline_pRN,val_pool,asof_dow,Wed,0.48922774807810265,0.15897771438263478,0.09454875070873502,0.09471516746309427,1354,0.38311502413586696
logit_C=5,val_pool,asof_dow,Wed,0.4769016161991937,0.15538724445332164,0.09628765437407058,0.09628765437407055,1354,0.38311502413586696
baseline_pRN,test,asof_dow,Mon,0.4298215683343041,0.1339367825686566,0.14062088586314378,0.13998895247991278,144,0.01965774295698524
logit_C=5,test,asof_dow,Mon,0.42721138771454187,0.1341379397418999,0.14432836738831703,0.134926368521456,144,0.01965774295698524
baseline_pRN,test,asof_dow,Thu,0.4208735078643227,0.13050804419229983,0.11216637222422157,0.11536095708957304,351,0.12734646806782304
logit_C=5,test,asof_dow,Thu,0.38497409489288315,0.11993163919050702,0.07002697742430343,0.09369884764214666,351,0.12734646806782304
baseline_pRN,test,asof_dow,Tue,0.6022138855261977,0.20716404833489482,0.1168368972554719,0.07663749174877184,156,0.02266155651383074
logit_C=5,test,asof_dow,Tue,0.607204924143935,0.2085396216116991,0.10914931043462375,0.07678970225468644,156,0.02266155651383074
baseline_pRN,test,asof_dow,Wed,0.41589298890922294,0.1264846739062279,0.1325646890220708,0.12439825470500747,589,0.18158934970091484
logit_C=5,test,asof_dow,Wed,0.385342661637175,0.1179612019839352,0.07934627945667345,0.07847580589896368,589,0.18158934970091484
