model,split,group_type,group_value,logloss,brier,ece,ece_q,n,weight_sum
baseline_pRN,val_pool,ticker,QQQ,0.5310196468571506,0.1756803309725864,0.05910908065834488,0.055521862134629056,841,0.05305953021837469
logit+platt_C=0.1,val_pool,ticker,QQQ,0.539572151421855,0.17619208447699997,0.0724816705384847,0.06612992093897448,841,0.05305953021837469
baseline_pRN,val_pool,ticker,SPY,0.527331544799752,0.17452446284451675,0.04218120424803457,0.03478074139249223,555,0.06623410948931696
logit+platt_C=0.1,val_pool,ticker,SPY,0.5424068717797127,0.17892917418858026,0.07851970268125992,0.07709974792771543,555,0.06623410948931696
baseline_pRN,val_pool,ticker,META,0.4358835790120827,0.13618628977809571,0.10551117579874028,0.10840617730970127,366,0.0659751963246358
logit+platt_C=0.1,val_pool,ticker,META,0.43271388365584856,0.1395051797507775,0.0951382424387891,0.09619592217775434,366,0.0659751963246358
baseline_pRN,val_pool,ticker,TSLA,0.5193360183832714,0.17104652308233717,0.07328152249223764,0.06586284063249528,328,0.06921946370635369
logit+platt_C=0.1,val_pool,ticker,TSLA,0.5464801835150779,0.17889144774892768,0.10050988813983316,0.10784357716251276,328,0.06921946370635369
baseline_pRN,val_pool,ticker,NFLX,0.5317147233216865,0.17506723358407206,0.14357627680210927,0.13013203917431382,282,0.03516082296552595
logit+platt_C=0.1,val_pool,ticker,NFLX,0.5983702882588519,0.19463645790963421,0.17790864104494794,0.17790864104494802,282,0.03516082296552595
baseline_pRN,val_pool,ticker,IWM,0.5631305515917782,0.19021382966356457,0.06485950447514127,0.046398230202101765,227,0.05692615173089666
logit+platt_C=0.1,val_pool,ticker,IWM,0.5865857913395658,0.1965683240667906,0.10663029706271253,0.07653692404912023,227,0.05692615173089666
baseline_pRN,val_pool,ticker,MSFT,0.48076578278503174,0.15730127635466487,0.09534746034953837,0.09660419757990067,177,0.08833240213895081
logit+platt_C=0.1,val_pool,ticker,MSFT,0.4929798779768158,0.1649612107292929,0.12738291166857554,0.12218095954331608,177,0.08833240213895081
baseline_pRN,val_pool,ticker,PLTR,0.550219558529972,0.18330655942650256,0.09105186753492747,0.09031746217711331,117,0.07177603951756471
logit+platt_C=0.1,val_pool,ticker,PLTR,0.6306435229194262,0.19784824198880138,0.15298408950703926,0.1264981045708683,117,0.07177603951756471
baseline_pRN,val_pool,ticker,NVDA,0.4046511109594605,0.1220564553862951,0.14545518973054852,0.12810688769924206,111,0.037159254386869615
logit+platt_C=0.1,val_pool,ticker,NVDA,0.35138875836985795,0.1105585535548023,0.0950119579767089,0.0801649537758701,111,0.037159254386869615
baseline_pRN,val_pool,ticker,GOOGL,0.4888081194721566,0.15834491539581116,0.1253604140750695,0.1256684726047574,92,0.079751224460432
logit+platt_C=0.1,val_pool,ticker,GOOGL,0.4860922992108463,0.15890844445836472,0.1387281661376957,0.10182680685920106,92,0.079751224460432
baseline_pRN,test,ticker,QQQ,0.5045299254686026,0.16473604563063896,0.07362597953029547,0.06751494798417818,302,0.028423357140936835
logit+platt_C=0.1,test,ticker,QQQ,0.4949148610839847,0.16176341399164304,0.06152480133275839,0.061223544306366104,302,0.028423357140936835
baseline_pRN,test,ticker,SPY,0.4456604799603427,0.14202430244621755,0.08272313960694395,0.07000654733290693,240,0.03202216767575583
logit+platt_C=0.1,test,ticker,SPY,0.4337571420776552,0.13913829476478595,0.07807643513723059,0.045900360368028637,240,0.03202216767575583
baseline_pRN,test,ticker,META,0.49949815709666473,0.16270202229727024,0.1618941181327091,0.16189411813270904,149,0.033164635063887796
logit+platt_C=0.1,test,ticker,META,0.518957531896185,0.16966702672772585,0.1681549333933147,0.1598763775633569,149,0.033164635063887796
baseline_pRN,test,ticker,TSLA,0.4505458956289031,0.14053433498847134,0.14337436652325009,0.1260265981675443,142,0.033755478024669806
logit+platt_C=0.1,test,ticker,TSLA,0.43641751173196675,0.13659347798575525,0.13228483123495102,0.11378316735273211,142,0.033755478024669806
baseline_pRN,test,ticker,IWM,0.4918197722397441,0.15864991379446883,0.0850135497890604,0.0923522385960606,103,0.0322009998193636
logit+platt_C=0.1,test,ticker,IWM,0.489498482682351,0.158268351620024,0.08899399184351896,0.09193707428683161,103,0.0322009998193636
baseline_pRN,test,ticker,NFLX,0.3572822375946503,0.10107014731473324,0.1747875091287871,0.16171143047831074,68,0.0110420662319362
logit+platt_C=0.1,test,ticker,NFLX,0.3008807368190328,0.08572250771967332,0.13021439893771855,0.12620216647919477,68,0.0110420662319362
