model,split,group_type,group_value,logloss,brier,ece,ece_q,n,weight_sum
baseline_pRN,val_pool,ticker,QQQ,0.5310196468571506,0.1756803309725864,0.05910908065834488,0.055521862134629056,841,0.05305953021837469
logit+platt_C=0.2,val_pool,ticker,QQQ,0.5396561720542951,0.1762046506010281,0.07241904290410334,0.06604515608534103,841,0.05305953021837469
baseline_pRN,val_pool,ticker,SPY,0.527331544799752,0.17452446284451675,0.04218120424803457,0.03478074139249223,555,0.06623410948931696
logit+platt_C=0.2,val_pool,ticker,SPY,0.5424973844399738,0.17894047600076698,0.07854489903819016,0.0770674312209482,555,0.06623410948931696
baseline_pRN,val_pool,ticker,META,0.4358835790120827,0.13618628977809571,0.10551117579874028,0.10840617730970127,366,0.0659751963246358
logit+platt_C=0.2,val_pool,ticker,META,0.43256276701953,0.13945568056591204,0.09507721071580912,0.09613653164055477,366,0.0659751963246358
baseline_pRN,val_pool,ticker,TSLA,0.5193360183832714,0.17104652308233717,0.07328152249223764,0.06586284063249528,328,0.06921946370635369
logit+platt_C=0.2,val_pool,ticker,TSLA,0.5464561585704163,0.17888103289340773,0.10049069431285959,0.10780891549549505,328,0.06921946370635369
baseline_pRN,val_pool,ticker,NFLX,0.5317147233216865,0.17506723358407206,0.14357627680210927,0.13013203917431382,282,0.03516082296552595
logit+platt_C=0.2,val_pool,ticker,NFLX,0.5987616976018397,0.1947473316749611,0.1781050196153898,0.17810501961538983,282,0.03516082296552595
baseline_pRN,val_pool,ticker,IWM,0.5631305515917782,0.19021382966356457,0.06485950447514127,0.046398230202101765,227,0.05692615173089666
logit+platt_C=0.2,val_pool,ticker,IWM,0.5867613429862351,0.1966032248870484,0.10668957121320793,0.07667631009587873,227,0.05692615173089666
baseline_pRN,val_pool,ticker,MSFT,0.48076578278503174,0.15730127635466487,0.09534746034953837,0.09660419757990067,177,0.08833240213895081
logit+platt_C=0.2,val_pool,ticker,MSFT,0.49295192232876534,0.16494342890114683,0.12049678336550415,0.12209973466718665,177,0.08833240213895081
baseline_pRN,val_pool,ticker,PLTR,0.550219558529972,0.18330655942650256,0.09105186753492747,0.09031746217711331,117,0.07177603951756471
logit+platt_C=0.2,val_pool,ticker,PLTR,0.6304202938314748,0.19781422266382265,0.15294487544326346,0.1264899223048078,117,0.07177603951756471
baseline_pRN,val_pool,ticker,NVDA,0.4046511109594605,0.1220564553862951,0.14545518973054852,0.12810688769924206,111,0.037159254386869615
logit+platt_C=0.2,val_pool,ticker,NVDA,0.3515297746592555,0.1105815635057797,0.09608974927412813,0.080177625558525,111,0.037159254386869615
baseline_pRN,val_pool,ticker,GOOGL,0.4888081194721566,0.15834491539581116,0.1253604140750695,0.1256684726047574,92,0.079751224460432
logit+platt_C=0.2,val_pool,ticker,GOOGL,0.48611139142257276,0.15890668031153157,0.13870337106388017,0.10179245045053988,92,0.079751224460432
baseline_pRN,test,ticker,QQQ,0.5045299254686026,0.16473604563063896,0.07362597953029547,0.06751494798417818,302,0.028423357140936835
logit+platt_C=0.2,test,ticker,QQQ,0.4949141531996252,0.1617614522363416,0.06144004371640483,0.06120060090798825,302,0.028423357140936835
baseline_pRN,test,ticker,SPY,0.4456604799603427,0.14202430244621755,0.08272313960694395,0.07000654733290693,240,0.03202216767575583
logit+platt_C=0.2,test,ticker,SPY,0.4336023480954426,0.1391063719888904,0.0782924259245837,0.04573742608517997,240,0.03202216767575583
baseline_pRN,test,ticker,META,0.49949815709666473,0.16270202229727024,0.1618941181327091,0.16189411813270904,149,0.033164635063887796
logit+platt_C=0.2,test,ticker,META,0.5187718428902974,0.16962713361474183,0.16816396180275042,0.15990025144800873,149,0.033164635063887796
baseline_pRN,test,ticker,TSLA,0.4505458956289031,0.14053433498847134,0.14337436652325009,0.1260265981675443,142,0.033755478024669806
logit+platt_C=0.2,test,ticker,TSLA,0.43639381950059586,0.13657870312131565,0.1323293393951557,0.11382902280215078,142,0.033755478024669806
baseline_pRN,test,ticker,IWM,0.4918197722397441,0.15864991379446883,0.0850135497890604,0.0923522385960606,103,0.0322009998193636
logit+platt_C=0.2,test,ticker,IWM,0.4894569826526422,0.15824940887007785,0.08902905117453866,0.09191280869517393,103,0.0322009998193636
baseline_pRN,test,ticker,NFLX,0.3572822375946503,0.10107014731473324,0.1747875091287871,0.16171143047831074,68,0.0110420662319362
logit+platt_C=0.2,test,ticker,NFLX,0.30087229310477825,0.085703235858068,0.13023772437439216,0.12620494100834043,68,0.0110420662319362
baseline_pRN,test,ticker,MSFT,0.47774162239455475,0.15678048981066786,0.19597808599510566,0.19817284015949874,61,0.024403311453308697
logit+platt_C=0.2,test,ticker,MSFT,0.4804217004316625,0.1573106219226527,0.1523381178967985,0.15817886063398226,61,0.024403311453308697
baseline_pRN,test,ticker,PLTR,0.46714292217020265,0.15149251165866154,0.17904248178940851,0.2001147012995987,57,0.033227594085906295
logit+platt_C=0.2,test,ticker,PLTR,0.4492655969115855,0.14850761589806433,0.20923094201074408,0.1769784163946306,57,0.033227594085906295
baseline_pRN,test,ticker,GOOGL,0.37046692013352484,0.10622769931051908,0.2023071877120128,0.21922291703192326,39,0.036639038856000186
logit+platt_C=0.2,test,ticker,GOOGL,0.32291179186812363,0.09381577238572653,0.18194157501970992,0.18194157501970987,39,0.036639038856000186
baseline_pRN,test,ticker,NVDA,0.3445059785596241,0.09870454660369915,0.22101457540362138,0.19661177032102828,39,0.007468608153537
logit+platt_C=0.2,test,ticker,NVDA,0.3028395613742449,0.09209099506537903,0.16282503945714036,0.14226960994900906,39,0.007468608153537
baseline_pRN,val_pool,T_days,1,0.4953221839837126,0.1613117378597848,0.05688069007461665,0.05618314671724313,3187,0.7431898622148785
logit+platt_C=0.2,val_pool,T_days,1,0.5050900441376908,0.16471792822545114,0.08524694123758413,0.08524694123758411,3187,0.7431898622148785
baseline_pRN,test,T_days,1,0.4304988329489706,0.13356549269940535,0.10514134330592273,0.10284074192155403,1240,0.3512551172395538
logit+platt_C=0.2,test,T_days,1,0.3984185459549144,0.12457932023997793,0.05019809433511031,0.04483302036541216,1240,0.3512551172395538
baseline_pRN,val_pool,asof_dow,Mon,0.501685903046601,0.16317976120010538,0.08183989246267703,0.05542427030533605,320,0.03325041476862486
logit+platt_C=0.2,val_pool,asof_dow,Mon,0.49504646108609374,0.16156434543886883,0.058978568413443296,0.04842559896028036,320,0.03325041476862486
baseline_pRN,val_pool,asof_dow,Thu,0.5058997974258767,0.16559306883163122,0.039252776293532125,0.040976930343956844,1138,0.28830061509855787
logit+platt_C=0.2,val_pool,asof_dow,Thu,0.5115448855236254,0.16692547809776484,0.06502935409201464,0.05847450036927083,1138,0.28830061509855787
baseline_pRN,val_pool,asof_dow,Tue,0.4712783824000952,0.15087083231656157,0.11643768284238737,0.1156056776055436,375,0.03852380821182891
logit+platt_C=0.2,val_pool,asof_dow,Tue,0.436226466733536,0.13912813798004378,0.07004556977072307,0.06475031288731445,375,0.03852380821182891
baseline_pRN,val_pool,asof_dow,Wed,0.48922774807810265,0.15897771438263478,0.09454875070873502,0.09471516746309427,1354,0.38311502413586696
logit+platt_C=0.2,val_pool,asof_dow,Wed,0.5080288633905712,0.1659035672439987,0.13117485769353418,0.1311748576935341,1354,0.38311502413586696
baseline_pRN,test,asof_dow,Mon,0.4298215683343041,0.1339367825686566,0.14062088586314378,0.13998895247991278,144,0.01965774295698524
logit+platt_C=0.2,test,asof_dow,Mon,0.4251210976460792,0.13380732490386327,0.14283184726495488,0.13915733849738798,144,0.01965774295698524
baseline_pRN,test,asof_dow,Thu,0.4208735078643227,0.13050804419229983,0.11216637222422157,0.11536095708957304,351,0.12734646806782304
logit+platt_C=0.2,test,asof_dow,Thu,0.38175428622640817,0.11914071375884847,0.061820638961734016,0.09039414380734323,351,0.12734646806782304
baseline_pRN,test,asof_dow,Tue,0.6022138855261977,0.20716404833489482,0.1168368972554719,0.07663749174877184,156,0.02266155651383074
logit+platt_C=0.2,test,asof_dow,Tue,0.6138089293265834,0.21031145008426447,0.11573186100597511,0.08501850860647968,156,0.02266155651383074
baseline_pRN,test,asof_dow,Wed,0.41589298890922294,0.1264846739062279,0.1325646890220708,0.12439825470500747,589,0.18158934970091484
logit+platt_C=0.2,test,asof_dow,Wed,0.38033456344838634,0.11669538913398932,0.07705583436666963,0.06856272514032459,589,0.18158934970091484
