label,bin,bin_lo,bin_hi,n,weight_sum,avg_pred,emp_rate
val_pool__baseline_pRN,1,0.0,0.06666666666666667,0,0.0,,
val_pool__baseline_pRN,2,0.06666666666666667,0.13333333333333333,150,0.038149972933592985,0.11499148115793223,0.04198439659825134
val_pool__baseline_pRN,3,0.13333333333333333,0.2,248,0.06168518137820079,0.1654841930819874,0.07733798319406951
val_pool__baseline_pRN,4,0.2,0.26666666666666666,220,0.05703216315748669,0.236075420136892,0.12077631562602767
val_pool__baseline_pRN,5,0.26666666666666666,0.3333333333333333,182,0.04348818896158012,0.30163400938661356,0.20804165218583828
val_pool__baseline_pRN,6,0.3333333333333333,0.4,183,0.046882019986924706,0.36627023913132034,0.28679420727353316
val_pool__baseline_pRN,7,0.4,0.4666666666666667,180,0.0451602237033424,0.42991905386842766,0.3049113477223871
val_pool__baseline_pRN,8,0.4666666666666667,0.5333333333333333,197,0.04762942516888964,0.5005235298825543,0.42581746141751103
val_pool__baseline_pRN,9,0.5333333333333333,0.6,205,0.04917941250796892,0.5628747625938819,0.4960355128646923
val_pool__baseline_pRN,10,0.6,0.6666666666666666,276,0.05827431217339733,0.6341048359059155,0.6559654102641503
val_pool__baseline_pRN,11,0.6666666666666666,0.7333333333333333,303,0.06549777492085085,0.7031363641104261,0.7176517509359
val_pool__baseline_pRN,12,0.7333333333333333,0.8,294,0.06358396515943245,0.7647061873314858,0.7635738617314581
val_pool__baseline_pRN,13,0.8,0.8666666666666667,423,0.0944396274123967,0.8342367217002873,0.8578161691810295
val_pool__baseline_pRN,14,0.8666666666666667,0.9333333333333333,326,0.07218759475081496,0.8854603868878034,0.9223716740459491
val_pool__baseline_pRN,15,0.9333333333333333,1.0,0,0.0,,
val_pool__logit+platt_C=0.2,1,0.0,0.06666666666666667,61,0.02292556576667362,0.05261814447881617,0.015592612508540372
val_pool__logit+platt_C=0.2,2,0.06666666666666667,0.13333333333333333,276,0.07105818079638578,0.09592985160441005,0.07879894693418682
val_pool__logit+platt_C=0.2,3,0.13333333333333333,0.2,200,0.05182477513384427,0.1682482028071636,0.12067388941028427
val_pool__logit+platt_C=0.2,4,0.2,0.26666666666666666,156,0.03681665801823454,0.22963611922729324,0.18110373961564738
val_pool__logit+platt_C=0.2,5,0.26666666666666666,0.3333333333333333,131,0.030596719727210217,0.30236660830791356,0.19244249078742115
val_pool__logit+platt_C=0.2,6,0.3333333333333333,0.4,139,0.03531508616234823,0.3667579522209088,0.2854484438080818
val_pool__logit+platt_C=0.2,7,0.4,0.4666666666666667,126,0.02995694388999317,0.43305954319768014,0.31716710711235135
val_pool__logit+platt_C=0.2,8,0.4666666666666667,0.5333333333333333,117,0.025020903258183947,0.5030258638906621,0.3547780273047893
val_pool__logit+platt_C=0.2,9,0.5333333333333333,0.6,144,0.03329204070903015,0.5666425576174785,0.47395732407832386
val_pool__logit+platt_C=0.2,10,0.6,0.6666666666666666,145,0.03586557966122216,0.6331393390795543,0.488655802731049
