model,split,group_type,group_value,logloss,brier,ece,ece_q,n,weight_sum
baseline_pRN,val_pool,ticker,QQQ,0.5310196468571506,0.1756803309725864,0.05910908065834488,0.055521862134629056,841,0.05305953021837469
logit+platt_C=0.5,val_pool,ticker,QQQ,0.5397038830861881,0.1762119915417366,0.07354116914303034,0.06599125984198888,841,0.05305953021837469
baseline_pRN,val_pool,ticker,SPY,0.527331544799752,0.17452446284451675,0.04218120424803457,0.03478074139249223,555,0.06623410948931696
logit+platt_C=0.5,val_pool,ticker,SPY,0.542553170245088,0.17894791463821172,0.07856252284698009,0.0770508598543765,555,0.06623410948931696
baseline_pRN,val_pool,ticker,META,0.4358835790120827,0.13618628977809571,0.10551117579874028,0.10840617730970127,366,0.0659751963246358
logit+platt_C=0.5,val_pool,ticker,META,0.4324703358526469,0.1394253998759473,0.09504225896245698,0.09610067940468645,366,0.0659751963246358
baseline_pRN,val_pool,ticker,TSLA,0.5193360183832714,0.17104652308233717,0.07328152249223764,0.06586284063249528,328,0.06921946370635369
logit+platt_C=0.5,val_pool,ticker,TSLA,0.5464315713654785,0.17887391558140878,0.10047251033336946,0.10778152040996561,328,0.06921946370635369
baseline_pRN,val_pool,ticker,NFLX,0.5317147233216865,0.17506723358407206,0.14357627680210927,0.13013203917431382,282,0.03516082296552595
logit+platt_C=0.5,val_pool,ticker,NFLX,0.599049974591706,0.1948346807765728,0.17826614806025526,0.17826614806025531,282,0.03516082296552595
baseline_pRN,val_pool,ticker,IWM,0.5631305515917782,0.19021382966356457,0.06485950447514127,0.046398230202101765,227,0.05692615173089666
logit+platt_C=0.5,val_pool,ticker,IWM,0.5868670383835153,0.19662454987481043,0.10672373172086566,0.07676054120240151,227,0.05692615173089666
baseline_pRN,val_pool,ticker,MSFT,0.48076578278503174,0.15730127635466487,0.09534746034953837,0.09660419757990067,177,0.08833240213895081
logit+platt_C=0.5,val_pool,ticker,MSFT,0.4929338447425604,0.16493270733099766,0.12046908149336588,0.12205058277427483,177,0.08833240213895081
baseline_pRN,val_pool,ticker,PLTR,0.550219558529972,0.18330655942650256,0.09105186753492747,0.09031746217711331,117,0.07177603951756471
logit+platt_C=0.5,val_pool,ticker,PLTR,0.6302515871487593,0.1977910627074103,0.15291416302543837,0.1264731126523849,117,0.07177603951756471
baseline_pRN,val_pool,ticker,NVDA,0.4046511109594605,0.1220564553862951,0.14545518973054852,0.12810688769924206,111,0.037159254386869615
logit+platt_C=0.5,val_pool,ticker,NVDA,0.3516200975328085,0.11059646125462044,0.09613209603130476,0.0801941052210472,111,0.037159254386869615
baseline_pRN,val_pool,ticker,GOOGL,0.4888081194721566,0.15834491539581116,0.1253604140750695,0.1256684726047574,92,0.079751224460432
logit+platt_C=0.5,val_pool,ticker,GOOGL,0.4861219206182267,0.15890595790071585,0.1386911396003983,0.1017679623394361,92,0.079751224460432
baseline_pRN,test,ticker,QQQ,0.5045299254686026,0.16473604563063896,0.07362597953029547,0.06751494798417818,302,0.028423357140936835
