model,split,group_type,group_value,logloss,brier,ece,ece_q,n,weight_sum
baseline_pRN,val_pool,ticker,QQQ,0.5310196468571506,0.1756803309725864,0.05910908065834488,0.055521862134629056,841,0.05305953021837469
logit+platt_C=5,val_pool,ticker,QQQ,0.5397324010114426,0.17621633812902185,0.07351592155453032,0.06595872173942884,841,0.05305953021837469
baseline_pRN,val_pool,ticker,SPY,0.527331544799752,0.17452446284451675,0.04218120424803457,0.03478074139249223,555,0.06623410948931696
logit+platt_C=5,val_pool,ticker,SPY,0.5425862135569899,0.1789522095308969,0.07703961761334287,0.0770396176133428,555,0.06623410948931696
baseline_pRN,val_pool,ticker,META,0.4358835790120827,0.13618628977809571,0.10551117579874028,0.10840617730970127,366,0.0659751963246358
logit+platt_C=5,val_pool,ticker,META,0.43241451307108747,0.13940704609921312,0.09502047480339673,0.09607843483898422,366,0.0659751963246358
baseline_pRN,val_pool,ticker,TSLA,0.5193360183832714,0.17104652308233717,0.07328152249223764,0.06586284063249528,328,0.06921946370635369
logit+platt_C=5,val_pool,ticker,TSLA,0.5464168582991991,0.17886949125959622,0.10046130093569293,0.10776482623806369,328,0.06921946370635369
baseline_pRN,val_pool,ticker,NFLX,0.5317147233216865,0.17506723358407206,0.14357627680210927,0.13013203917431382,282,0.03516082296552595
logit+platt_C=5,val_pool,ticker,NFLX,0.5992274869778822,0.1948883461657594,0.17836617080551453,0.1783661708055146,282,0.03516082296552595
baseline_pRN,val_pool,ticker,IWM,0.5631305515917782,0.19021382966356457,0.06485950447514127,0.046398230202101765,227,0.05692615173089666
logit+platt_C=5,val_pool,ticker,IWM,0.5869300268501938,0.19663719564791352,0.10674369585221233,0.07681043607344314,227,0.05692615173089666
baseline_pRN,val_pool,ticker,MSFT,0.48076578278503174,0.15730127635466487,0.09534746034953837,0.09660419757990067,177,0.08833240213895081
logit+platt_C=5,val_pool,ticker,MSFT,0.4929223897094643,0.16492602012641291,0.12045228651834479,0.12202026978498483,177,0.08833240213895081
