label,bin,bin_lo,bin_hi,n,weight_sum,avg_pred,emp_rate
val_pool__baseline_pRN,1,0.0,0.06666666666666667,0,0.0,,
val_pool__baseline_pRN,2,0.06666666666666667,0.13333333333333333,150,0.038149972933592985,0.11499148115793223,0.04198439659825134
val_pool__baseline_pRN,3,0.13333333333333333,0.2,248,0.06168518137820079,0.1654841930819874,0.07733798319406951
val_pool__baseline_pRN,4,0.2,0.26666666666666666,220,0.05703216315748669,0.236075420136892,0.12077631562602767
val_pool__baseline_pRN,5,0.26666666666666666,0.3333333333333333,182,0.04348818896158012,0.30163400938661356,0.20804165218583828
val_pool__baseline_pRN,6,0.3333333333333333,0.4,183,0.046882019986924706,0.36627023913132034,0.28679420727353316
val_pool__baseline_pRN,7,0.4,0.4666666666666667,180,0.0451602237033424,0.42991905386842766,0.3049113477223871
val_pool__baseline_pRN,8,0.4666666666666667,0.5333333333333333,197,0.04762942516888964,0.5005235298825543,0.42581746141751103
val_pool__baseline_pRN,9,0.5333333333333333,0.6,205,0.04917941250796892,0.5628747625938819,0.4960355128646923
val_pool__baseline_pRN,10,0.6,0.6666666666666666,276,0.05827431217339733,0.6341048359059155,0.6559654102641503
val_pool__baseline_pRN,11,0.6666666666666666,0.7333333333333333,303,0.06549777492085085,0.7031363641104261,0.7176517509359
val_pool__baseline_pRN,12,0.7333333333333333,0.8,294,0.06358396515943245,0.7647061873314858,0.7635738617314581
val_pool__baseline_pRN,13,0.8,0.8666666666666667,423,0.0944396274123967,0.8342367217002873,0.8578161691810295
val_pool__baseline_pRN,14,0.8666666666666667,0.9333333333333333,326,0.07218759475081496,0.8854603868878034,0.9223716740459491
val_pool__baseline_pRN,15,0.9333333333333333,1.0,0,0.0,,
val_pool__logit+platt_C=5,1,0.0,0.06666666666666667,61,0.02292556576667362,0.052749770142553096,0.015592612508540372
val_pool__logit+platt_C=5,2,0.06666666666666667,0.13333333333333333,277,0.07120714886386788,0.09598811208019455,0.07863409653599363
val_pool__logit+platt_C=5,3,0.13333333333333333,0.2,199,0.05167580706636217,0.16833470128257144,0.12102176121183955
val_pool__logit+platt_C=5,4,0.2,0.26666666666666666,157,0.03698487129313514,0.22980991326787864,0.1848282144332379
val_pool__logit+platt_C=5,5,0.26666666666666666,0.3333333333333333,132,0.03058240204863982,0.3026293946601034,0.1900809918706771
val_pool__logit+platt_C=5,6,0.3333333333333333,0.4,137,0.03516119056601802,0.36688149065486614,0.2840460914818439
val_pool__logit+platt_C=5,7,0.4,0.4666666666666667,127,0.030023101504667936,0.4331189951528011,0.3164682113218353
val_pool__logit+platt_C=5,8,0.4666666666666667,0.5333333333333333,116,0.024954745643509177,0.5030752548687409,0.3557185805911583
val_pool__logit+platt_C=5,9,0.5333333333333333,0.6,143,0.03304378809695135,0.5663407043690885,0.47751808846075805
val_pool__logit+platt_C=5,10,0.6,0.6666666666666666,146,0.03675838304641786,0.633459712823009,0.4767871208490717
