model,split,group_type,group_value,logloss,brier,ece,ece_q,n,weight_sum
baseline_pRN,val_pool,ticker,QQQ,0.5310196468571506,0.1756803309725864,0.05910908065834488,0.055521862134629056,841,0.05305953021837469
logit_C=0.05,val_pool,ticker,QQQ,0.528694861825913,0.17435384208964877,0.059589037566682566,0.05726654039248033,841,0.05305953021837469
baseline_pRN,val_pool,ticker,SPY,0.527331544799752,0.17452446284451675,0.04218120424803457,0.03478074139249223,555,0.06623410948931696
logit_C=0.05,val_pool,ticker,SPY,0.5281639280156751,0.17481409304929396,0.051027735564664466,0.04703187892451511,555,0.06623410948931696
baseline_pRN,val_pool,ticker,META,0.4358835790120827,0.13618628977809571,0.10551117579874028,0.10840617730970127,366,0.0659751963246358
logit_C=0.05,val_pool,ticker,META,0.42367487656497216,0.13555592959271762,0.06995847038387552,0.08329614553435712,366,0.0659751963246358
baseline_pRN,val_pool,ticker,TSLA,0.5193360183832714,0.17104652308233717,0.07328152249223764,0.06586284063249528,328,0.06921946370635369
logit_C=0.05,val_pool,ticker,TSLA,0.5223326819632128,0.1719357649515826,0.08126956308801349,0.08126956308801349,328,0.06921946370635369
baseline_pRN,val_pool,ticker,NFLX,0.5317147233216865,0.17506723358407206,0.14357627680210927,0.13013203917431382,282,0.03516082296552595
logit_C=0.05,val_pool,ticker,NFLX,0.540886690836187,0.17671963605367472,0.12980892543307476,0.1450693994245552,282,0.03516082296552595
baseline_pRN,val_pool,ticker,IWM,0.5631305515917782,0.19021382966356457,0.06485950447514127,0.046398230202101765,227,0.05692615173089666
logit_C=0.05,val_pool,ticker,IWM,0.5664269906369689,0.19131078533417303,0.07487906115446373,0.054067504971611266,227,0.05692615173089666
baseline_pRN,val_pool,ticker,MSFT,0.48076578278503174,0.15730127635466487,0.09534746034953837,0.09660419757990067,177,0.08833240213895081
logit_C=0.05,val_pool,ticker,MSFT,0.4767707848634745,0.1580829386918541,0.11592651257198902,0.10312624224957939,177,0.08833240213895081
baseline_pRN,val_pool,ticker,PLTR,0.550219558529972,0.18330655942650256,0.09105186753492747,0.09031746217711331,117,0.07177603951756471
logit_C=0.05,val_pool,ticker,PLTR,0.5925032245218734,0.1909020241781967,0.13206114247078357,0.11279304740362484,117,0.07177603951756471
baseline_pRN,val_pool,ticker,NVDA,0.4046511109594605,0.1220564553862951,0.14545518973054852,0.12810688769924206,111,0.037159254386869615
