model,split,group_type,group_value,logloss,brier,ece,ece_q,n,weight_sum
baseline_pRN,val_pool,ticker,QQQ,0.5310196468571506,0.1756803309725864,0.05910908065834488,0.055521862134629056,841,0.05305953021837469
logit_C=0.5,val_pool,ticker,QQQ,0.5288035466615538,0.17436619089007557,0.06055074336439778,0.05715176187135741,841,0.05305953021837469
baseline_pRN,val_pool,ticker,SPY,0.527331544799752,0.17452446284451675,0.04218120424803457,0.03478074139249223,555,0.06623410948931696
logit_C=0.5,val_pool,ticker,SPY,0.5281667419212228,0.17480487911870005,0.052561844744483645,0.0446405906023945,555,0.06623410948931696
baseline_pRN,val_pool,ticker,META,0.4358835790120827,0.13618628977809571,0.10551117579874028,0.10840617730970127,366,0.0659751963246358
logit_C=0.5,val_pool,ticker,META,0.42328200857134807,0.1354259062895406,0.07006174513169428,0.08299892169386654,366,0.0659751963246358
baseline_pRN,val_pool,ticker,TSLA,0.5193360183832714,0.17104652308233717,0.07328152249223764,0.06586284063249528,328,0.06921946370635369
logit_C=0.5,val_pool,ticker,TSLA,0.5225452489684851,0.1719689172431673,0.08132642818554747,0.08132642818554746,328,0.06921946370635369
baseline_pRN,val_pool,ticker,NFLX,0.5317147233216865,0.17506723358407206,0.14357627680210927,0.13013203917431382,282,0.03516082296552595
logit_C=0.5,val_pool,ticker,NFLX,0.5413500429232925,0.17682289187398662,0.13000133472439632,0.1390124157747233,282,0.03516082296552595
baseline_pRN,val_pool,ticker,IWM,0.5631305515917782,0.19021382966356457,0.06485950447514127,0.046398230202101765,227,0.05692615173089666
logit_C=0.5,val_pool,ticker,IWM,0.5668080053275324,0.19141442643662923,0.07110432701625667,0.0541532644736574,227,0.05692615173089666
baseline_pRN,val_pool,ticker,MSFT,0.48076578278503174,0.15730127635466487,0.09534746034953837,0.09660419757990067,177,0.08833240213895081
logit_C=0.5,val_pool,ticker,MSFT,0.4766167916634141,0.15804764488824105,0.1158425846415541,0.10291817102911471,177,0.08833240213895081
baseline_pRN,val_pool,ticker,PLTR,0.550219558529972,0.18330655942650256,0.09105186753492747,0.09031746217711331,117,0.07177603951756471
logit_C=0.5,val_pool,ticker,PLTR,0.592668056437515,0.1909057667598115,0.1289336829738139,0.11291116781214897,117,0.07177603951756471
