model,split,group_type,group_value,logloss,brier,ece,ece_q,n,weight_sum
baseline_pRN,val_pool,foundation,foundation,0.5400065606806991,0.1799407959827001,0.03012843588901935,0.025729896352104584,1623,0.17621979143858826
logit_C=0.05,val_pool,foundation,foundation,0.540048285907492,0.17979722242011553,0.0377914134267177,0.03129328708015049,1623,0.17621979143858826
baseline_pRN,val_pool,foundation,non_foundation,0.4814338467539803,0.15552164609599436,0.07127259367315462,0.06731764935581781,1564,0.5669700707762902
logit_C=0.05,val_pool,foundation,non_foundation,0.4682730370160024,0.1517414467877765,0.05930709061198326,0.059307090611983276,1564,0.5669700707762902
baseline_pRN,test,foundation,foundation,0.47976475585340156,0.15477065532329365,0.06505536161976319,0.06323168172378288,645,0.09264652463605627
logit_C=0.05,test,foundation,foundation,0.47428673828647727,0.1532761049085587,0.058730898669955796,0.045520957754787164,645,0.09264652463605627
baseline_pRN,test,foundation,non_foundation,0.4128493167664921,0.1259687434898469,0.12201028090170006,0.12274120042045732,595,0.25860859260349756
logit_C=0.05,test,foundation,non_foundation,0.37606376630556154,0.11544178818324168,0.07360024679189732,0.06121027002709234,595,0.25860859260349756
baseline_pRN,val_pool,ticker,QQQ,0.5310196468571506,0.1756803309725864,0.05910908065834488,0.055521862134629056,841,0.05305953021837469
logit_C=0.05,val_pool,ticker,QQQ,0.5277889805570687,0.17409011032566057,0.06057033814962776,0.054272224817784626,841,0.05305953021837469
baseline_pRN,val_pool,ticker,SPY,0.527331544799752,0.17452446284451675,0.04218120424803457,0.03478074139249223,555,0.06623410948931696
logit_C=0.05,val_pool,ticker,SPY,0.5260658052816597,0.17409206274074787,0.03970033226428338,0.037486251323698996,555,0.06623410948931696
baseline_pRN,val_pool,ticker,META,0.4358835790120827,0.13618628977809571,0.10551117579874028,0.10840617730970127,366,0.0659751963246358
logit_C=0.05,val_pool,ticker,META,0.41924895004099166,0.13393786468817415,0.06540026048938888,0.0756369813039285,366,0.0659751963246358
baseline_pRN,val_pool,ticker,TSLA,0.5193360183832714,0.17104652308233717,0.07328152249223764,0.06586284063249528,328,0.06921946370635369
logit_C=0.05,val_pool,ticker,TSLA,0.5191624425189507,0.1707807580560737,0.07476731567941233,0.07194905872900781,328,0.06921946370635369
baseline_pRN,val_pool,ticker,NFLX,0.5317147233216865,0.17506723358407206,0.14357627680210927,0.13013203917431382,282,0.03516082296552595
logit_C=0.05,val_pool,ticker,NFLX,0.5301824016928747,0.17245541081421076,0.1316232734461555,0.12418473007271438,282,0.03516082296552595
baseline_pRN,val_pool,ticker,IWM,0.5631305515917782,0.19021382966356457,0.06485950447514127,0.046398230202101765,227,0.05692615173089666
logit_C=0.05,val_pool,ticker,IWM,0.5677436436202985,0.19175469428138672,0.06840222088749058,0.0550023657529991,227,0.05692615173089666
baseline_pRN,val_pool,ticker,MSFT,0.48076578278503174,0.15730127635466487,0.09534746034953837,0.09660419757990067,177,0.08833240213895081
logit_C=0.05,val_pool,ticker,MSFT,0.4712210037317681,0.15638935769239576,0.1117929536078791,0.09395395032777255,177,0.08833240213895081
baseline_pRN,val_pool,ticker,PLTR,0.550219558529972,0.18330655942650256,0.09105186753492747,0.09031746217711331,117,0.07177603951756471
logit_C=0.05,val_pool,ticker,PLTR,0.5891519330951169,0.19004781936428436,0.127027737571168,0.10680308632671785,117,0.07177603951756471
baseline_pRN,val_pool,ticker,NVDA,0.4046511109594605,0.1220564553862951,0.14545518973054852,0.12810688769924206,111,0.037159254386869615
logit_C=0.05,val_pool,ticker,NVDA,0.3496918950865119,0.10712257065247965,0.09031455342894867,0.09376544690704643,111,0.037159254386869615
baseline_pRN,val_pool,ticker,GOOGL,0.4888081194721566,0.15834491539581116,0.1253604140750695,0.1256684726047574,92,0.079751224460432
logit_C=0.05,val_pool,ticker,GOOGL,0.4697833558950715,0.15258443560154056,0.11209191124723955,0.07327441698408295,92,0.079751224460432
baseline_pRN,test,ticker,QQQ,0.5045299254686026,0.16473604563063896,0.07362597953029547,0.06751494798417818,302,0.028423357140936835
logit_C=0.05,test,ticker,QQQ,0.4960541446716214,0.16210671486404696,0.0694200471676998,0.05809241488818911,302,0.028423357140936835
baseline_pRN,test,ticker,SPY,0.4456604799603427,0.14202430244621755,0.08272313960694395,0.07000654733290693,240,0.03202216767575583
logit_C=0.05,test,ticker,SPY,0.4394533238891908,0.14043925848285907,0.07418186436947367,0.05535775973957125,240,0.03202216767575583
baseline_pRN,test,ticker,META,0.49949815709666473,0.16270202229727024,0.1618941181327091,0.16189411813270904,149,0.033164635063887796
logit_C=0.05,test,ticker,META,0.5113817423243727,0.1672469455725586,0.16162527156428388,0.15519010808761788,149,0.033164635063887796
baseline_pRN,test,ticker,TSLA,0.4505458956289031,0.14053433498847134,0.14337436652325009,0.1260265981675443,142,0.033755478024669806
logit_C=0.05,test,ticker,TSLA,0.4328886309695131,0.13589650616347693,0.12265079012797754,0.11170801233845014,142,0.033755478024669806
baseline_pRN,test,ticker,IWM,0.4918197722397441,0.15864991379446883,0.0850135497890604,0.0923522385960606,103,0.0322009998193636
logit_C=0.05,test,ticker,IWM,0.4897129260948893,0.15824700857715454,0.12436682932107404,0.08964338938377593,103,0.0322009998193636
baseline_pRN,test,ticker,NFLX,0.3572822375946503,0.10107014731473324,0.1747875091287871,0.16171143047831074,68,0.0110420662319362
logit_C=0.05,test,ticker,NFLX,0.30981655902341687,0.08855744760487157,0.14105858064638405,0.13286302000824113,68,0.0110420662319362
baseline_pRN,test,ticker,MSFT,0.47774162239455475,0.15678048981066786,0.19597808599510566,0.19817284015949874,61,0.024403311453308697
logit_C=0.05,test,ticker,MSFT,0.4897995534754749,0.16030559223558788,0.15797303546437966,0.1673633615043475,61,0.024403311453308697
baseline_pRN,test,ticker,PLTR,0.46714292217020265,0.15149251165866154,0.17904248178940851,0.2001147012995987,57,0.033227594085906295
logit_C=0.05,test,ticker,PLTR,0.4528026751308973,0.15015665433564646,0.19000405458936945,0.1827519895028759,57,0.033227594085906295
baseline_pRN,test,ticker,GOOGL,0.37046692013352484,0.10622769931051908,0.2023071877120128,0.21922291703192326,39,0.036639038856000186
logit_C=0.05,test,ticker,GOOGL,0.330067066307976,0.0949074784303258,0.18416913055638204,0.18768240810007994,39,0.036639038856000186
baseline_pRN,test,ticker,NVDA,0.3445059785596241,0.09870454660369915,0.22101457540362138,0.19661177032102828,39,0.007468608153537
logit_C=0.05,test,ticker,NVDA,0.3042083431830635,0.09175679340061994,0.16898223422088787,0.1483087618308689,39,0.007468608153537
baseline_pRN,val_pool,T_days,1,0.4953221839837126,0.1613117378597848,0.05688069007461665,0.05618314671724313,3187,0.7431898622148785
logit_C=0.05,val_pool,T_days,1,0.4852918636081957,0.15839382888007844,0.05107034296724849,0.05107034296724851,3187,0.7431898622148785
baseline_pRN,test,T_days,1,0.4304988329489706,0.13356549269940535,0.10514134330592273,0.10284074192155403,1240,0.3512551172395538
logit_C=0.05,test,T_days,1,0.401970910562909,0.12542091100464645,0.057550983339015004,0.05462502768107832,1240,0.3512551172395538
baseline_pRN,val_pool,asof_dow,Mon,0.501685903046601,0.16317976120010538,0.08183989246267703,0.05542427030533605,320,0.03325041476862486
logit_C=0.05,val_pool,asof_dow,Mon,0.4942956734727996,0.16085569982802903,0.04624964664564611,0.041416418626591206,320,0.03325041476862486
baseline_pRN,val_pool,asof_dow,Thu,0.5058997974258767,0.16559306883163122,0.039252776293532125,0.040976930343956844,1138,0.28830061509855787
logit_C=0.05,val_pool,asof_dow,Thu,0.49697484713416745,0.16281097034173747,0.03996474297487377,0.030074095059149226,1138,0.28830061509855787
baseline_pRN,val_pool,asof_dow,Tue,0.4712783824000952,0.15087083231656157,0.11643768284238737,0.1156056776055436,375,0.03852380821182891
logit_C=0.05,val_pool,asof_dow,Tue,0.457108031819029,0.14707112887199086,0.12291894970306114,0.10222544071284076,375,0.03852380821182891
baseline_pRN,val_pool,asof_dow,Wed,0.48922774807810265,0.15897771438263478,0.09454875070873502,0.09471516746309427,1354,0.38311502413586696
logit_C=0.05,val_pool,asof_dow,Wed,0.47855278250710054,0.15599473396329375,0.09896527969215806,0.09896527969215808,1354,0.38311502413586696
baseline_pRN,test,asof_dow,Mon,0.4298215683343041,0.1339367825686566,0.14062088586314378,0.13998895247991278,144,0.01965774295698524
logit_C=0.05,test,asof_dow,Mon,0.4253164924221071,0.13334911997923474,0.1454295909380157,0.13177115531444444,144,0.01965774295698524
baseline_pRN,test,asof_dow,Thu,0.4208735078643227,0.13050804419229983,0.11216637222422157,0.11536095708957304,351,0.12734646806782304
logit_C=0.05,test,asof_dow,Thu,0.38546099384228744,0.1201058967852876,0.07623039178466241,0.07827364141364088,351,0.12734646806782304
baseline_pRN,test,asof_dow,Tue,0.6022138855261977,0.20716404833489482,0.1168368972554719,0.07663749174877184,156,0.02266155651383074
logit_C=0.05,test,asof_dow,Tue,0.6066520934109548,0.20845070962028606,0.08976710416190165,0.07589732209409039,156,0.02266155651383074
baseline_pRN,test,asof_dow,Wed,0.41589298890922294,0.1264846739062279,0.1325646890220708,0.12439825470500747,589,0.18158934970091484
logit_C=0.05,test,asof_dow,Wed,0.3854785553544913,0.11792825308463428,0.0844683543497818,0.07684979868863592,589,0.18158934970091484
