model,split,group_type,group_value,logloss,brier,ece,ece_q,n,weight_sum
baseline_pRN,val_pool,foundation,foundation,0.5400065606806991,0.1799407959827001,0.03012843588901935,0.025729896352104584,1623,0.17621979143858826
logit_C=0.05,val_pool,foundation,foundation,0.5404552332986002,0.17989899825633296,0.0368483909284172,0.031829657378719005,1623,0.17621979143858826
baseline_pRN,val_pool,foundation,non_foundation,0.4814338467539803,0.15552164609599436,0.07127259367315462,0.06731764935581781,1564,0.5669700707762902
logit_C=0.05,val_pool,foundation,non_foundation,0.46910295172565697,0.15204296561395092,0.06140454956959232,0.061404549569592314,1564,0.5669700707762902
baseline_pRN,test,foundation,foundation,0.47976475585340156,0.15477065532329365,0.06505536161976319,0.06323168172378288,645,0.09264652463605627
logit_C=0.05,test,foundation,foundation,0.47401282891965973,0.1531683213791456,0.06124221451982448,0.04512001751038099,645,0.09264652463605627
baseline_pRN,test,foundation,non_foundation,0.4128493167664921,0.1259687434898469,0.12201028090170006,0.12274120042045732,595,0.25860859260349756
logit_C=0.05,test,foundation,non_foundation,0.3759847484387252,0.11541784623391015,0.06952540340086967,0.06094869060988095,595,0.25860859260349756
baseline_pRN,val_pool,ticker,QQQ,0.5310196468571506,0.1756803309725864,0.05910908065834488,0.055521862134629056,841,0.05305953021837469
logit_C=0.05,val_pool,ticker,QQQ,0.5280420905739659,0.17410950388197455,0.05686811983865706,0.05468965090883092,841,0.05305953021837469
baseline_pRN,val_pool,ticker,SPY,0.527331544799752,0.17452446284451675,0.04218120424803457,0.03478074139249223,555,0.06623410948931696
logit_C=0.05,val_pool,ticker,SPY,0.5266398583372903,0.17427593604669642,0.04538828769495065,0.03939147625967434,555,0.06623410948931696
baseline_pRN,val_pool,ticker,META,0.4358835790120827,0.13618628977809571,0.10551117579874028,0.10840617730970127,366,0.0659751963246358
logit_C=0.05,val_pool,ticker,META,0.4199436605967665,0.13423528831217643,0.0674318936861567,0.07687970556480876,366,0.0659751963246358
baseline_pRN,val_pool,ticker,TSLA,0.5193360183832714,0.17104652308233717,0.07328152249223764,0.06586284063249528,328,0.06921946370635369
logit_C=0.05,val_pool,ticker,TSLA,0.5202368681398981,0.17115137803130553,0.07308909942568687,0.07393085829401641,328,0.06921946370635369
baseline_pRN,val_pool,ticker,NFLX,0.5317147233216865,0.17506723358407206,0.14357627680210927,0.13013203917431382,282,0.03516082296552595
logit_C=0.05,val_pool,ticker,NFLX,0.5309054543905584,0.17273320331580402,0.13306796863313125,0.12471554778380134,282,0.03516082296552595
baseline_pRN,val_pool,ticker,IWM,0.5631305515917782,0.19021382966356457,0.06485950447514127,0.046398230202101765,227,0.05692615173089666
logit_C=0.05,val_pool,ticker,IWM,0.5680995502158099,0.19183773553434935,0.07183464330562192,0.055029865825238854,227,0.05692615173089666
baseline_pRN,val_pool,ticker,MSFT,0.48076578278503174,0.15730127635466487,0.09534746034953837,0.09660419757990067,177,0.08833240213895081
logit_C=0.05,val_pool,ticker,MSFT,0.47238028006625765,0.15683010994367724,0.10865251266357036,0.09606586069465863,177,0.08833240213895081
baseline_pRN,val_pool,ticker,PLTR,0.550219558529972,0.18330655942650256,0.09105186753492747,0.09031746217711331,117,0.07177603951756471
logit_C=0.05,val_pool,ticker,PLTR,0.590535978707017,0.19035995331121203,0.11372729029614242,0.10813929996754611,117,0.07177603951756471
baseline_pRN,val_pool,ticker,NVDA,0.4046511109594605,0.1220564553862951,0.14545518973054852,0.12810688769924206,111,0.037159254386869615
logit_C=0.05,val_pool,ticker,NVDA,0.35009786502934676,0.1073839876656195,0.09252714341613562,0.09457225008459444,111,0.037159254386869615
baseline_pRN,val_pool,ticker,GOOGL,0.4888081194721566,0.15834491539581116,0.1253604140750695,0.1256684726047574,92,0.079751224460432
logit_C=0.05,val_pool,ticker,GOOGL,0.4706297903447471,0.1529227238848475,0.10842716858470151,0.0744442272849649,92,0.079751224460432
baseline_pRN,test,ticker,QQQ,0.5045299254686026,0.16473604563063896,0.07362597953029547,0.06751494798417818,302,0.028423357140936835
logit_C=0.05,test,ticker,QQQ,0.4957433367281882,0.16200519403058922,0.06752507587195565,0.0579196764368054,302,0.028423357140936835
baseline_pRN,test,ticker,SPY,0.4456604799603427,0.14202430244621755,0.08272313960694395,0.07000654733290693,240,0.03202216767575583
logit_C=0.05,test,ticker,SPY,0.4394285114615241,0.1404728352990535,0.075790451391288,0.05595496110189016,240,0.03202216767575583
baseline_pRN,test,ticker,META,0.49949815709666473,0.16270202229727024,0.1618941181327091,0.16189411813270904,149,0.033164635063887796
logit_C=0.05,test,ticker,META,0.5091695450049173,0.1663896510091456,0.16235347819946952,0.15334083865847103,149,0.033164635063887796
baseline_pRN,test,ticker,TSLA,0.4505458956289031,0.14053433498847134,0.14337436652325009,0.1260265981675443,142,0.033755478024669806
logit_C=0.05,test,ticker,TSLA,0.43156846473398264,0.13547183238551622,0.11778089504672637,0.11026514596664652,142,0.033755478024669806
baseline_pRN,test,ticker,IWM,0.4918197722397441,0.15864991379446883,0.0850135497890604,0.0923522385960606,103,0.0322009998193636
logit_C=0.05,test,ticker,IWM,0.48922387301915765,0.1579931217726896,0.12388152543344652,0.08867095385896871,103,0.0322009998193636
baseline_pRN,test,ticker,NFLX,0.3572822375946503,0.10107014731473324,0.1747875091287871,0.16171143047831074,68,0.0110420662319362
logit_C=0.05,test,ticker,NFLX,0.31022090387509704,0.08880207914900655,0.14162684522046762,0.1334282703965712,68,0.0110420662319362
baseline_pRN,test,ticker,MSFT,0.47774162239455475,0.15678048981066786,0.19597808599510566,0.19817284015949874,61,0.024403311453308697
logit_C=0.05,test,ticker,MSFT,0.4921139954665423,0.1612401131879959,0.1539344082409949,0.16897711038083554,61,0.024403311453308697
baseline_pRN,test,ticker,PLTR,0.46714292217020265,0.15149251165866154,0.17904248178940851,0.2001147012995987,57,0.033227594085906295
logit_C=0.05,test,ticker,PLTR,0.4553149231495233,0.15110920145138387,0.19122902834409958,0.18444222671040025,57,0.033227594085906295
baseline_pRN,test,ticker,GOOGL,0.37046692013352484,0.10622769931051908,0.2023071877120128,0.21922291703192326,39,0.036639038856000186
logit_C=0.05,test,ticker,GOOGL,0.3287810597315789,0.0943081326185972,0.17241236261033488,0.18645853422755887,39,0.036639038856000186
baseline_pRN,test,ticker,NVDA,0.3445059785596241,0.09870454660369915,0.22101457540362138,0.19661177032102828,39,0.007468608153537
logit_C=0.05,test,ticker,NVDA,0.30292731347375,0.09134802401229167,0.19378395127751286,0.14802823696436862,39,0.007468608153537
baseline_pRN,val_pool,T_days,1,0.4953221839837126,0.1613117378597848,0.05688069007461665,0.05618314671724313,3187,0.7431898622148785
logit_C=0.05,val_pool,T_days,1,0.4860214873741102,0.15864798609676234,0.05326617154154488,0.05326617154154486,3187,0.7431898622148785
baseline_pRN,test,T_days,1,0.4304988329489706,0.13356549269940535,0.10514134330592273,0.10284074192155403,1240,0.3512551172395538
logit_C=0.05,test,T_days,1,0.40184048840537845,0.12537485512548635,0.057493778606125395,0.05432382311832232,1240,0.3512551172395538
baseline_pRN,val_pool,asof_dow,Mon,0.501685903046601,0.16317976120010538,0.08183989246267703,0.05542427030533605,320,0.03325041476862486
logit_C=0.05,val_pool,asof_dow,Mon,0.49403676721048,0.16079931358300295,0.046886363601427936,0.040152028645981094,320,0.03325041476862486
baseline_pRN,val_pool,asof_dow,Thu,0.5058997974258767,0.16559306883163122,0.039252776293532125,0.040976930343956844,1138,0.28830061509855787
logit_C=0.05,val_pool,asof_dow,Thu,0.4971636935948745,0.1628885821452334,0.04162621337156922,0.031277575287501434,1138,0.28830061509855787
baseline_pRN,val_pool,asof_dow,Tue,0.4712783824000952,0.15087083231656157,0.11643768284238737,0.1156056776055436,375,0.03852380821182891
logit_C=0.05,val_pool,asof_dow,Tue,0.45582762269906346,0.14652209133586788,0.12016815653696032,0.09994308330333593,375,0.03852380821182891
baseline_pRN,val_pool,asof_dow,Wed,0.48922774807810265,0.15897771438263478,0.09454875070873502,0.09471516746309427,1354,0.38311502413586696
logit_C=0.05,val_pool,asof_dow,Wed,0.4799772617806221,0.1564894611522522,0.10112542698024315,0.10112542698024311,1354,0.38311502413586696
baseline_pRN,test,asof_dow,Mon,0.4298215683343041,0.1339367825686566,0.14062088586314378,0.13998895247991278,144,0.01965774295698524
logit_C=0.05,test,asof_dow,Mon,0.423316065608669,0.13259842406507014,0.14382038788058535,0.12910358300809538,144,0.01965774295698524
baseline_pRN,test,asof_dow,Thu,0.4208735078643227,0.13050804419229983,0.11216637222422157,0.11536095708957304,351,0.12734646806782304
logit_C=0.05,test,asof_dow,Thu,0.3858276525071367,0.12026493374452155,0.07546393744672968,0.0789764851431357,351,0.12734646806782304
