model,split,group_type,group_value,logloss,brier,ece,ece_q,n,weight_sum
baseline_pRN,val_pool,foundation,foundation,0.5400065606806991,0.1799407959827001,0.03012843588901935,0.025729896352104584,1623,0.17621979143858826
logit_C=0.1,val_pool,foundation,foundation,0.5402201022873532,0.17983828368868093,0.038117708314203164,0.03132485054591421,1623,0.17621979143858826
baseline_pRN,val_pool,foundation,non_foundation,0.4814338467539803,0.15552164609599436,0.07127259367315462,0.06731764935581781,1564,0.5669700707762902
logit_C=0.1,val_pool,foundation,non_foundation,0.4682877348970572,0.151741193270295,0.05930737028065386,0.05930737028065396,1564,0.5669700707762902
baseline_pRN,test,foundation,foundation,0.47976475585340156,0.15477065532329365,0.06505536161976319,0.06323168172378288,645,0.09264652463605627
logit_C=0.1,test,foundation,foundation,0.4740497072803214,0.15320949183463398,0.059562327777714995,0.04473463848977928,645,0.09264652463605627
baseline_pRN,test,foundation,non_foundation,0.4128493167664921,0.1259687434898469,0.12201028090170006,0.12274120042045732,595,0.25860859260349756
logit_C=0.1,test,foundation,non_foundation,0.37594406134848773,0.11541492286963502,0.07332350031387863,0.06099705261783053,595,0.25860859260349756
baseline_pRN,val_pool,ticker,QQQ,0.5310196468571506,0.1756803309725864,0.05910908065834488,0.055521862134629056,841,0.05305953021837469
logit_C=0.1,val_pool,ticker,QQQ,0.5279040050360142,0.17410873805408736,0.060355102717983694,0.05418558863061785,841,0.05305953021837469
baseline_pRN,val_pool,ticker,SPY,0.527331544799752,0.17452446284451675,0.04218120424803457,0.03478074139249223,555,0.06623410948931696
logit_C=0.1,val_pool,ticker,SPY,0.5261280683221051,0.17410482036243619,0.04053710475767318,0.03759187351783958,555,0.06623410948931696
baseline_pRN,val_pool,ticker,META,0.4358835790120827,0.13618628977809571,0.10551117579874028,0.10840617730970127,366,0.0659751963246358
logit_C=0.1,val_pool,ticker,META,0.4189787960025814,0.13384887408380386,0.06548366011895429,0.07258884129180775,366,0.0659751963246358
baseline_pRN,val_pool,ticker,TSLA,0.5193360183832714,0.17104652308233717,0.07328152249223764,0.06586284063249528,328,0.06921946370635369
logit_C=0.1,val_pool,ticker,TSLA,0.5193179141594965,0.17080486052353663,0.07480436724076821,0.07244640703061885,328,0.06921946370635369
baseline_pRN,val_pool,ticker,NFLX,0.5317147233216865,0.17506723358407206,0.14357627680210927,0.13013203917431382,282,0.03516082296552595
logit_C=0.1,val_pool,ticker,NFLX,0.5304046223965482,0.1724914274602473,0.13064796278537005,0.1241483621731947,282,0.03516082296552595
baseline_pRN,val_pool,ticker,IWM,0.5631305515917782,0.19021382966356457,0.06485950447514127,0.046398230202101765,227,0.05692615173089666
logit_C=0.1,val_pool,ticker,IWM,0.5680958607324827,0.19184959688392428,0.06878607955146268,0.055271088790186856,227,0.05692615173089666
