model,split,group_type,group_value,logloss,brier,ece,ece_q,n,weight_sum
baseline_pRN,val_pool,foundation,foundation,0.5400065606806991,0.1799407959827001,0.03012843588901935,0.025729896352104584,1623,0.17621979143858826
logit_C=0.1,val_pool,foundation,foundation,0.5406114664571765,0.1799358900426951,0.038562173724106565,0.031826938761138505,1623,0.17621979143858826
baseline_pRN,val_pool,foundation,non_foundation,0.4814338467539803,0.15552164609599436,0.07127259367315462,0.06731764935581781,1564,0.5669700707762902
logit_C=0.1,val_pool,foundation,non_foundation,0.46911664663288344,0.15204354926889688,0.06140389807766074,0.06140389807766078,1564,0.5669700707762902
baseline_pRN,test,foundation,foundation,0.47976475585340156,0.15477065532329365,0.06505536161976319,0.06323168172378288,645,0.09264652463605627
logit_C=0.1,test,foundation,foundation,0.47379702376089755,0.15310811059301424,0.05977125131167052,0.04446574939198333,645,0.09264652463605627
baseline_pRN,test,foundation,non_foundation,0.4128493167664921,0.1259687434898469,0.12201028090170006,0.12274120042045732,595,0.25860859260349756
logit_C=0.1,test,foundation,non_foundation,0.37587429335662736,0.11539355859270287,0.07039325717940546,0.06075610710965297,595,0.25860859260349756
baseline_pRN,val_pool,ticker,QQQ,0.5310196468571506,0.1756803309725864,0.05910908065834488,0.055521862134629056,841,0.05305953021837469
logit_C=0.1,val_pool,ticker,QQQ,0.5281455122163177,0.17412578412935095,0.05681458228376235,0.054602723157135144,841,0.05305953021837469
baseline_pRN,val_pool,ticker,SPY,0.527331544799752,0.17452446284451675,0.04218120424803457,0.03478074139249223,555,0.06623410948931696
logit_C=0.1,val_pool,ticker,SPY,0.5267010535744516,0.17428838621141163,0.04443702386724028,0.03952463483078926,555,0.06623410948931696
baseline_pRN,val_pool,ticker,META,0.4358835790120827,0.13618628977809571,0.10551117579874028,0.10840617730970127,366,0.0659751963246358
logit_C=0.1,val_pool,ticker,META,0.41970693863550496,0.1341565656201295,0.06594114966066295,0.07441294837552292,366,0.0659751963246358
baseline_pRN,val_pool,ticker,TSLA,0.5193360183832714,0.17104652308233717,0.07328152249223764,0.06586284063249528,328,0.06921946370635369
logit_C=0.1,val_pool,ticker,TSLA,0.5203705687843173,0.1711729500658243,0.07308942685697989,0.07443341497522726,328,0.06921946370635369
baseline_pRN,val_pool,ticker,NFLX,0.5317147233216865,0.17506723358407206,0.14357627680210927,0.13013203917431382,282,0.03516082296552595
logit_C=0.1,val_pool,ticker,NFLX,0.5311034545582746,0.17276746544715363,0.13209290015310224,0.12468557419443495,282,0.03516082296552595
baseline_pRN,val_pool,ticker,IWM,0.5631305515917782,0.19021382966356457,0.06485950447514127,0.046398230202101765,227,0.05692615173089666
logit_C=0.1,val_pool,ticker,IWM,0.5684155852590563,0.19192227690771937,0.07340620131064984,0.055267284043578155,227,0.05692615173089666
baseline_pRN,val_pool,ticker,MSFT,0.48076578278503174,0.15730127635466487,0.09534746034953837,0.09660419757990067,177,0.08833240213895081
logit_C=0.1,val_pool,ticker,MSFT,0.4723113833240888,0.15682219379676077,0.10862584084620476,0.09594906889011945,177,0.08833240213895081
baseline_pRN,val_pool,ticker,PLTR,0.550219558529972,0.18330655942650256,0.09105186753492747,0.09031746217711331,117,0.07177603951756471
logit_C=0.1,val_pool,ticker,PLTR,0.5905826474254683,0.1903564557958824,0.11375637014863241,0.10816756063082657,117,0.07177603951756471
baseline_pRN,val_pool,ticker,NVDA,0.4046511109594605,0.1220564553862951,0.14545518973054852,0.12810688769924206,111,0.037159254386869615
