trial_id,trial_dir,C,features,decay,ticker_intercepts,calibration,objective_score,status
018__C=auto__feat=v:rv20_sqrtT+m:abs_log_m_fwd+x:x_abs_m__ti=non_foundation__tx=0__decay=0__cal=none__foundation=on__fweight=1__5f477ee7,/Users/dorianc./Desktop/polyedgetool/prediction-market-pricing-analysis/src/data/models/auto-run-20260223T114329Z/trials/018__C=auto__feat=v:rv20_sqrtT+m:abs_log_m_fwd+x:x_abs_m__ti=non_foundation__tx=0__decay=0__cal=none__foundation=on__fweight=1__5f477ee7,,"x_logit_prn,rv20_sqrtT,abs_log_m_fwd,x_abs_m",0,non_foundation,none,0.49139338820109,success
108__C=auto__feat=m:log_m_fwd+abs_log_m_fwd+x:x_m+x_abs_m__ti=none__tx=0__decay=0__cal=platt__foundation=on__fweight=1__756856fa,/Users/dorianc./Desktop/polyedgetool/prediction-market-pricing-analysis/src/data/models/auto-run-20260223T114329Z/trials/108__C=auto__feat=m:log_m_fwd+abs_log_m_fwd+x:x_m+x_abs_m__ti=none__tx=0__decay=0__cal=platt__foundation=on__fweight=1__756856fa,,"x_logit_prn,log_m_fwd,abs_log_m_fwd,x_m,x_abs_m",0,none,platt,0.49147660363859136,success
031__C=auto__feat=m:abs_log_m_fwd+x:x_abs_m__ti=non_foundation__tx=0__decay=0__cal=platt__foundation=off__feaa4861,/Users/dorianc./Desktop/polyedgetool/prediction-market-pricing-analysis/src/data/models/auto-run-20260223T114329Z/trials/031__C=auto__feat=m:abs_log_m_fwd+x:x_abs_m__ti=non_foundation__tx=0__decay=0__cal=platt__foundation=off__feaa4861,,"x_logit_prn,abs_log_m_fwd,x_abs_m",0,non_foundation,platt,0.4919670030922976,success
138__C=auto__feat=m:log_m_fwd+abs_log_m_fwd+x:x_m__ti=non_foundation__tx=0__decay=0__cal=none__foundation=on__fweight=1__4c41ed5f,/Users/dorianc./Desktop/polyedgetool/prediction-market-pricing-analysis/src/data/models/auto-run-20260223T114329Z/trials/138__C=auto__feat=m:log_m_fwd+abs_log_m_fwd+x:x_m__ti=non_foundation__tx=0__decay=0__cal=none__foundation=on__fweight=1__4c41ed5f,,"x_logit_prn,log_m_fwd,abs_log_m_fwd,x_m",0,non_foundation,none,0.4946105495235076,success
226__C=auto__feat=v:rv20+m:log_m_fwd+abs_log_m_fwd__ti=none__tx=0__decay=0__cal=none__foundation=on__fweight=1__fe90b7f0,/Users/dorianc./Desktop/polyedgetool/prediction-market-pricing-analysis/src/data/models/auto-run-20260223T114329Z/trials/226__C=auto__feat=v:rv20+m:log_m_fwd+abs_log_m_fwd__ti=none__tx=0__decay=0__cal=none__foundation=on__fweight=1__fe90b7f0,,"x_logit_prn,rv20,log_m_fwd,abs_log_m_fwd",0,none,none,0.48916281533873857,success
194__C=auto__feat=v:rv20_sqrtT+m:abs_log_m_fwd__ti=all__tx=0__decay=0__cal=none__foundation=on__fweight=1__e0874477,/Users/dorianc./Desktop/polyedgetool/prediction-market-pricing-analysis/src/data/models/auto-run-20260223T114329Z/trials/194__C=auto__feat=v:rv20_sqrtT+m:abs_log_m_fwd__ti=all__tx=0__decay=0__cal=none__foundation=on__fweight=1__e0874477,,"x_logit_prn,rv20_sqrtT,abs_log_m_fwd",0,all,none,0.4912565358291534,success
079__C=auto__feat=v:rv20+m:log_m_fwd+abs_log_m_fwd+x:x_m+x_abs_m__ti=non_foundation__tx=0__decay=0__cal=platt__foundation=off__1e080075,/Users/dorianc./Desktop/polyedgetool/prediction-market-pricing-analysis/src/data/models/auto-run-20260223T114329Z/trials/079__C=auto__feat=v:rv20+m:log_m_fwd+abs_log_m_fwd+x:x_m+x_abs_m__ti=non_foundation__tx=0__decay=0__cal=platt__foundation=off__1e080075,,"x_logit_prn,rv20,log_m_fwd,abs_log_m_fwd,x_m,x_abs_m",0,non_foundation,platt,0.4904144061943379,success
073__C=auto__feat=v:rv20+m:log_m_fwd+abs_log_m_fwd+x:x_m+x_abs_m__ti=all__tx=0__decay=0__cal=none__foundation=off__a3441a59,/Users/dorianc./Desktop/polyedgetool/prediction-market-pricing-analysis/src/data/models/auto-run-20260223T114329Z/trials/073__C=auto__feat=v:rv20+m:log_m_fwd+abs_log_m_fwd+x:x_m+x_abs_m__ti=all__tx=0__decay=0__cal=none__foundation=off__a3441a59,,"x_logit_prn,rv20,log_m_fwd,abs_log_m_fwd,x_m,x_abs_m",0,all,none,0.4904144061943379,success
019__C=auto__feat=v:rv20_sqrtT+m:abs_log_m_fwd+x:x_abs_m__ti=non_foundation__tx=0__decay=0__cal=platt__foundation=off__68602a65,/Users/dorianc./Desktop/polyedgetool/prediction-market-pricing-analysis/src/data/models/auto-run-20260223T114329Z/trials/019__C=auto__feat=v:rv20_sqrtT+m:abs_log_m_fwd+x:x_abs_m__ti=non_foundation__tx=0__decay=0__cal=platt__foundation=off__68602a65,,"x_logit_prn,rv20_sqrtT,abs_log_m_fwd,x_abs_m",0,non_foundation,platt,0.49124250939205744,success
096__C=auto__feat=v:rv20_sqrtT+m:log_m_fwd+abs_log_m_fwd+x:x_m+x_abs_m__ti=none__tx=0__decay=0__cal=platt__foundation=on__fweight=1__74fcb768,/Users/dorianc./Desktop/polyedgetool/prediction-market-pricing-analysis/src/data/models/auto-run-20260223T114329Z/trials/096__C=auto__feat=v:rv20_sqrtT+m:log_m_fwd+abs_log_m_fwd+x:x_m+x_abs_m__ti=none__tx=0__decay=0__cal=platt__foundation=on__fweight=1__74fcb768,,"x_logit_prn,rv20_sqrtT,log_m_fwd,abs_log_m_fwd,x_m,x_abs_m",0,none,platt,0.4912057902705417,success
151__C=auto__feat=v:rv20+m:log_m_fwd+x:x_m__ti=non_foundation__tx=0__decay=0__cal=platt__foundation=off__dc43c68c,/Users/dorianc./Desktop/polyedgetool/prediction-market-pricing-analysis/src/data/models/auto-run-20260223T114329Z/trials/151__C=auto__feat=v:rv20+m:log_m_fwd+x:x_m__ti=non_foundation__tx=0__decay=0__cal=platt__foundation=off__dc43c68c,,"x_logit_prn,rv20,log_m_fwd,x_m",0,non_foundation,platt,0.48853557814158455,success
229__C=auto__feat=v:rv20_sqrtT+m:log_m_fwd+abs_log_m_fwd__ti=all__tx=0__decay=0__cal=none__foundation=off__33f13e53,/Users/dorianc./Desktop/polyedgetool/prediction-market-pricing-analysis/src/data/models/auto-run-20260223T114329Z/trials/229__C=auto__feat=v:rv20_sqrtT+m:log_m_fwd+abs_log_m_fwd__ti=all__tx=0__decay=0__cal=none__foundation=off__33f13e53,,"x_logit_prn,rv20_sqrtT,log_m_fwd,abs_log_m_fwd",0,all,none,0.4917560334234745,success
214__C=auto__feat=m:abs_log_m_fwd__ti=none__tx=0__decay=0__cal=none__foundation=on__fweight=1__d20d6f73,/Users/dorianc./Desktop/polyedgetool/prediction-market-pricing-analysis/src/data/models/auto-run-20260223T114329Z/trials/214__C=auto__feat=m:abs_log_m_fwd__ti=none__tx=0__decay=0__cal=none__foundation=on__fweight=1__d20d6f73,,"x_logit_prn,abs_log_m_fwd",0,none,none,0.4891605605958781,success
115__C=auto__feat=v:rv20+m:log_m_fwd+abs_log_m_fwd+x:x_m__ti=non_foundation__tx=0__decay=0__cal=platt__foundation=off__f1a8e78b,/Users/dorianc./Desktop/polyedgetool/prediction-market-pricing-analysis/src/data/models/auto-run-20260223T114329Z/trials/115__C=auto__feat=v:rv20+m:log_m_fwd+abs_log_m_fwd+x:x_m__ti=non_foundation__tx=0__decay=0__cal=platt__foundation=off__f1a8e78b,,"x_logit_prn,rv20,log_m_fwd,abs_log_m_fwd,x_m",0,non_foundation,platt,0.49061441473346246,success
154__C=auto__feat=v:rv20+m:log_m_fwd+x:x_m__ti=none__tx=0__decay=0__cal=none__foundation=on__fweight=1__3c213da6,/Users/dorianc./Desktop/polyedgetool/prediction-market-pricing-analysis/src/data/models/auto-run-20260223T114329Z/trials/154__C=auto__feat=v:rv20+m:log_m_fwd+x:x_m__ti=none__tx=0__decay=0__cal=none__foundation=on__fweight=1__3c213da6,,"x_logit_prn,rv20,log_m_fwd,x_m",0,none,none,0.48889363996446,success
046__C=auto__feat=v:rv20+m:log_m_fwd+abs_log_m_fwd+x:x_abs_m__ti=none__tx=0__decay=0__cal=none__foundation=on__fweight=1__dbef09aa,/Users/dorianc./Desktop/polyedgetool/prediction-market-pricing-analysis/src/data/models/auto-run-20260223T114329Z/trials/046__C=auto__feat=v:rv20+m:log_m_fwd+abs_log_m_fwd+x:x_abs_m__ti=none__tx=0__decay=0__cal=none__foundation=on__fweight=1__dbef09aa,,"x_logit_prn,rv20,log_m_fwd,abs_log_m_fwd,x_abs_m",0,none,none,0.48894794608238457,success
002__C=auto__feat=v:rv20+m:abs_log_m_fwd+x:x_abs_m__ti=all__tx=0__decay=0__cal=none__foundation=on__fweight=1__6500fb0e,/Users/dorianc./Desktop/polyedgetool/prediction-market-pricing-analysis/src/data/models/auto-run-20260223T114329Z/trials/002__C=auto__feat=v:rv20+m:abs_log_m_fwd+x:x_abs_m__ti=all__tx=0__decay=0__cal=none__foundation=on__fweight=1__6500fb0e,,"x_logit_prn,rv20,abs_log_m_fwd,x_abs_m",0,all,none,0.488370513324544,success
247__C=auto__feat=m:log_m_fwd+abs_log_m_fwd__ti=non_foundation__tx=0__decay=0__cal=platt__foundation=off__98e0fb22,/Users/dorianc./Desktop/polyedgetool/prediction-market-pricing-analysis/src/data/models/auto-run-20260223T114329Z/trials/247__C=auto__feat=m:log_m_fwd+abs_log_m_fwd__ti=non_foundation__tx=0__decay=0__cal=platt__foundation=off__98e0fb22,,"x_logit_prn,log_m_fwd,abs_log_m_fwd",0,non_foundation,platt,0.4920152239794259,success
213__C=auto__feat=m:abs_log_m_fwd__ti=none__tx=0__decay=0__cal=none__foundation=off__0e37a436,/Users/dorianc./Desktop/polyedgetool/prediction-market-pricing-analysis/src/data/models/auto-run-20260223T114329Z/trials/213__C=auto__feat=m:abs_log_m_fwd__ti=none__tx=0__decay=0__cal=none__foundation=off__0e37a436,,"x_logit_prn,abs_log_m_fwd",0,none,none,0.4891605605958781,success
003__C=auto__feat=v:rv20+m:abs_log_m_fwd+x:x_abs_m__ti=all__tx=0__decay=0__cal=platt__foundation=off__7a214206,/Users/dorianc./Desktop/polyedgetool/prediction-market-pricing-analysis/src/data/models/auto-run-20260223T114329Z/trials/003__C=auto__feat=v:rv20+m:abs_log_m_fwd+x:x_abs_m__ti=all__tx=0__decay=0__cal=platt__foundation=off__7a214206,,"x_logit_prn,rv20,abs_log_m_fwd,x_abs_m",0,all,platt,0.488370513324544,success
088__C=auto__feat=v:rv20_sqrtT+m:log_m_fwd+abs_log_m_fwd+x:x_m+x_abs_m__ti=all__tx=0__decay=0__cal=platt__foundation=on__fweight=1__22edfd13,/Users/dorianc./Desktop/polyedgetool/prediction-market-pricing-analysis/src/data/models/auto-run-20260223T114329Z/trials/088__C=auto__feat=v:rv20_sqrtT+m:log_m_fwd+abs_log_m_fwd+x:x_m+x_abs_m__ti=all__tx=0__decay=0__cal=platt__foundation=on__fweight=1__22edfd13,,"x_logit_prn,rv20_sqrtT,log_m_fwd,abs_log_m_fwd,x_m,x_abs_m",0,all,platt,0.49275545706444274,success
063__C=auto__feat=m:log_m_fwd+abs_log_m_fwd+x:x_abs_m__ti=all__tx=0__decay=0__cal=platt__foundation=off__a96a9c5d,/Users/dorianc./Desktop/polyedgetool/prediction-market-pricing-analysis/src/data/models/auto-run-20260223T114329Z/trials/063__C=auto__feat=m:log_m_fwd+abs_log_m_fwd+x:x_abs_m__ti=all__tx=0__decay=0__cal=platt__foundation=off__a96a9c5d,,"x_logit_prn,log_m_fwd,abs_log_m_fwd,x_abs_m",0,all,platt,0.49218273565107035,success
304__C=auto__feat=v:rv20_sqrtT__ti=all__tx=0__decay=0__cal=platt__foundation=on__fweight=1__e85ab302,/Users/dorianc./Desktop/polyedgetool/prediction-market-pricing-analysis/src/data/models/auto-run-20260223T114329Z/trials/304__C=auto__feat=v:rv20_sqrtT__ti=all__tx=0__decay=0__cal=platt__foundation=on__fweight=1__e85ab302,,"x_logit_prn,rv20_sqrtT",0,all,platt,0.49260515402609606,success
150__C=auto__feat=v:rv20+m:log_m_fwd+x:x_m__ti=non_foundation__tx=0__decay=0__cal=none__foundation=on__fweight=1__ed7d206c,/Users/dorianc./Desktop/polyedgetool/prediction-market-pricing-analysis/src/data/models/auto-run-20260223T114329Z/trials/150__C=auto__feat=v:rv20+m:log_m_fwd+x:x_m__ti=non_foundation__tx=0__decay=0__cal=none__foundation=on__fweight=1__ed7d206c,,"x_logit_prn,rv20,log_m_fwd,x_m",0,non_foundation,none,0.4888083515635238,success
122__C=auto__feat=v:rv20_sqrtT+m:log_m_fwd+abs_log_m_fwd+x:x_m__ti=all__tx=0__decay=0__cal=none__foundation=on__fweight=1__62f560ed,/Users/dorianc./Desktop/polyedgetool/prediction-market-pricing-analysis/src/data/models/auto-run-20260223T114329Z/trials/122__C=auto__feat=v:rv20_sqrtT+m:log_m_fwd+abs_log_m_fwd+x:x_m__ti=all__tx=0__decay=0__cal=none__foundation=on__fweight=1__62f560ed,,"x_logit_prn,rv20_sqrtT,log_m_fwd,abs_log_m_fwd,x_m",0,all,none,0.49300984578265067,success
016__C=auto__feat=v:rv20_sqrtT+m:abs_log_m_fwd+x:x_abs_m__ti=all__tx=0__decay=0__cal=platt__foundation=on__fweight=1__f24ed5f7,/Users/dorianc./Desktop/polyedgetool/prediction-market-pricing-analysis/src/data/models/auto-run-20260223T114329Z/trials/016__C=auto__feat=v:rv20_sqrtT+m:abs_log_m_fwd+x:x_abs_m__ti=all__tx=0__decay=0__cal=platt__foundation=on__fweight=1__f24ed5f7,,"x_logit_prn,rv20_sqrtT,abs_log_m_fwd,x_abs_m",0,all,platt,0.49124250939205744,success
