C,window,window_start,window_end,n_val,w_sum_val,logloss_baseline,logloss_model,delta_model_minus_baseline
0.001,roll_val_1,2024-11-29,2025-01-31,2506,0.37871748101451613,0.5358553316197742,0.5319284062965378,-0.003926925323236352
0.001,roll_val_2,2025-02-07,2025-04-11,3259,0.4045002636072368,0.5870548040642242,0.6177951289011842,0.030740324836959987
0.001,roll_val_3,2025-04-25,2025-06-27,3127,0.4215214100763476,0.5253377061185042,0.4973596614637874,-0.02797804465471676
0.001,roll_val_4,2025-07-11,2025-09-12,2838,0.4278497553298598,0.46168125896505424,0.4653923138159841,0.0037110548509298735
0.002,roll_val_1,2024-11-29,2025-01-31,2506,0.37871748101451613,0.5358553316197742,0.5298175978343341,-0.006037733785440036
0.002,roll_val_2,2025-02-07,2025-04-11,3259,0.4045002636072368,0.5870548040642242,0.6210940544654941,0.03403925040126998
0.002,roll_val_3,2025-04-25,2025-06-27,3127,0.4215214100763476,0.5253377061185042,0.4928247180376878,-0.032512988080816374
0.002,roll_val_4,2025-07-11,2025-09-12,2838,0.4278497553298598,0.46168125896505424,0.46025225831629035,-0.0014290006487638895
0.005,roll_val_1,2024-11-29,2025-01-31,2506,0.37871748101451613,0.5358553316197742,0.5288702888715275,-0.006985042748246628
0.005,roll_val_2,2025-02-07,2025-04-11,3259,0.4045002636072368,0.5870548040642242,0.6232183319480546,0.03616352788383048
0.005,roll_val_3,2025-04-25,2025-06-27,3127,0.4215214100763476,0.5253377061185042,0.4883964671705233,-0.03694123894798085
0.005,roll_val_4,2025-07-11,2025-09-12,2838,0.4278497553298598,0.46168125896505424,0.4564477314607365,-0.005233527504317714
0.01,roll_val_1,2024-11-29,2025-01-31,2506,0.37871748101451613,0.5358553316197742,0.5286916200428944,-0.007163711576879783
0.01,roll_val_2,2025-02-07,2025-04-11,3259,0.4045002636072368,0.5870548040642242,0.6235507371269419,0.0364959330627177
0.01,roll_val_3,2025-04-25,2025-06-27,3127,0.4215214100763476,0.5253377061185042,0.4859325773820174,-0.03940512873648677
0.01,roll_val_4,2025-07-11,2025-09-12,2838,0.4278497553298598,0.46168125896505424,0.45481756031108395,-0.006863698653970296
0.02,roll_val_1,2024-11-29,2025-01-31,2506,0.37871748101451613,0.5358553316197742,0.5287353819036118,-0.007119949716162366
0.02,roll_val_2,2025-02-07,2025-04-11,3259,0.4045002636072368,0.5870548040642242,0.6234674343305252,0.03641263026630104
0.02,roll_val_3,2025-04-25,2025-06-27,3127,0.4215214100763476,0.5253377061185042,0.4846738943160033,-0.04066381180250089
0.02,roll_val_4,2025-07-11,2025-09-12,2838,0.4278497553298598,0.46168125896505424,0.45389691408791194,-0.007784344877142302
0.05,roll_val_1,2024-11-29,2025-01-31,2506,0.37871748101451613,0.5358553316197742,0.528945833809396,-0.006909497810378196
0.05,roll_val_2,2025-02-07,2025-04-11,3259,0.4045002636072368,0.5870548040642242,0.6233946298558815,0.03633982579165729
0.05,roll_val_3,2025-04-25,2025-06-27,3127,0.4215214100763476,0.5253377061185042,0.48378389667177435,-0.04155380944672982
0.05,roll_val_4,2025-07-11,2025-09-12,2838,0.4278497553298598,0.46168125896505424,0.4534384350357928,-0.008242823929261456
0.1,roll_val_1,2024-11-29,2025-01-31,2506,0.37871748101451613,0.5358553316197742,0.529082089592888,-0.006773242026886117
0.1,roll_val_2,2025-02-07,2025-04-11,3259,0.4045002636072368,0.5870548040642242,0.6234881141336368,0.03643331006941264
0.1,roll_val_3,2025-04-25,2025-06-27,3127,0.4215214100763476,0.5253377061185042,0.4835443240929553,-0.041793382025548886
0.1,roll_val_4,2025-07-11,2025-09-12,2838,0.4278497553298598,0.46168125896505424,0.45330436615128095,-0.008376892813773296
0.2,roll_val_1,2024-11-29,2025-01-31,2506,0.37871748101451613,0.5358553316197742,0.5291718775979364,-0.006683454021837787
0.2,roll_val_2,2025-02-07,2025-04-11,3259,0.4045002636072368,0.5870548040642242,0.6232516380072385,0.03619683394301432
0.2,roll_val_3,2025-04-25,2025-06-27,3127,0.4215214100763476,0.5253377061185042,0.4834309929507165,-0.04190671316778766
0.2,roll_val_4,2025-07-11,2025-09-12,2838,0.4278497553298598,0.46168125896505424,0.4532511584032453,-0.008430100561808929
0.5,roll_val_1,2024-11-29,2025-01-31,2506,0.37871748101451613,0.5358553316197742,0.52923455928705,-0.0066207723327241785
0.5,roll_val_2,2025-02-07,2025-04-11,3259,0.4045002636072368,0.5870548040642242,0.6232367761844357,0.03618197212021157
0.5,roll_val_3,2025-04-25,2025-06-27,3127,0.4215214100763476,0.5253377061185042,0.4833657662395786,-0.04197193987892556
0.5,roll_val_4,2025-07-11,2025-09-12,2838,0.4278497553298598,0.46168125896505424,0.4532568037874848,-0.008424455177569456
1.0,roll_val_1,2024-11-29,2025-01-31,2506,0.37871748101451613,0.5358553316197742,0.5292571197362763,-0.006598211883497851
1.0,roll_val_2,2025-02-07,2025-04-11,3259,0.4045002636072368,0.5870548040642242,0.6232429205616505,0.03618811649742637
1.0,roll_val_3,2025-04-25,2025-06-27,3127,0.4215214100763476,0.5253377061185042,0.4833460038130471,-0.04199170230545707
1.0,roll_val_4,2025-07-11,2025-09-12,2838,0.4278497553298598,0.46168125896505424,0.4532353787154311,-0.008445880249623117
2.0,roll_val_1,2024-11-29,2025-01-31,2506,0.37871748101451613,0.5358553316197742,0.5292687335383137,-0.0065865980814604486
