label,bin,bin_lo,bin_hi,n,weight_sum,avg_pred,emp_rate
val_pool__baseline_pRN,1,0.0,0.06666666666666667,0,0.0,,
val_pool__baseline_pRN,2,0.06666666666666667,0.13333333333333333,872,0.12947790485715677,0.10605333649049137,0.10814357000094355
val_pool__baseline_pRN,3,0.13333333333333333,0.2,860,0.1211095767908358,0.16497108423672022,0.16902632739238607
val_pool__baseline_pRN,4,0.2,0.26666666666666666,822,0.11467504593621722,0.23173490777588215,0.28270519518537063
val_pool__baseline_pRN,5,0.26666666666666666,0.3333333333333333,810,0.11233713681126252,0.30035155247574236,0.34229317597443554
val_pool__baseline_pRN,6,0.3333333333333333,0.4,756,0.10141601985012051,0.36632932731554463,0.39525861988428457
val_pool__baseline_pRN,7,0.4,0.4666666666666667,793,0.10650678217118904,0.43302622806205526,0.4941896319506585
val_pool__baseline_pRN,8,0.4666666666666667,0.5333333333333333,725,0.09513374427520796,0.5004125589756901,0.5769838114314243
val_pool__baseline_pRN,9,0.5333333333333333,0.6,808,0.11204958120488012,0.566504856352589,0.6256895010710133
val_pool__baseline_pRN,10,0.6,0.6666666666666666,860,0.11406919797196846,0.6340323617415721,0.6661470524465298
val_pool__baseline_pRN,11,0.6666666666666666,0.7333333333333333,900,0.12243127000186643,0.7006425579246512,0.7521480984742998
val_pool__baseline_pRN,12,0.7333333333333333,0.8,928,0.1317157854000488,0.7658927097107723,0.8019321570705162
val_pool__baseline_pRN,13,0.8,0.8666666666666667,1207,0.17123479405320935,0.8352249826720615,0.8550258024508093
val_pool__baseline_pRN,14,0.8666666666666667,0.9333333333333333,1389,0.2004320707039974,0.8956516776587641,0.9200577375448741
val_pool__baseline_pRN,15,0.9333333333333333,1.0,0,0.0,,
val_pool__logit+platt_C=0.001,1,0.0,0.06666666666666667,0,0.0,,
val_pool__logit+platt_C=0.001,2,0.06666666666666667,0.13333333333333333,529,0.0846680968867721,0.11107850314065344,0.08938256545058429
val_pool__logit+platt_C=0.001,3,0.13333333333333333,0.2,790,0.11718840269389788,0.16491787107425254,0.13561070788821697
val_pool__logit+platt_C=0.001,4,0.2,0.26666666666666666,736,0.10154936023778133,0.2326004057941422,0.20295593002341847
val_pool__logit+platt_C=0.001,5,0.26666666666666666,0.3333333333333333,764,0.10971356694515892,0.30107718643498715,0.30108252562552634
val_pool__logit+platt_C=0.001,6,0.3333333333333333,0.4,739,0.1005999672389854,0.3660937084166596,0.35250828880156265
val_pool__logit+platt_C=0.001,7,0.4,0.4666666666666667,830,0.1111341102078792,0.4331699372452855,0.4563437695297516
val_pool__logit+platt_C=0.001,8,0.4666666666666667,0.5333333333333333,774,0.10299498546226253,0.49995653378792293,0.5409125624049489
