ticker,week_monday,week_friday,asof_target,drop_reason,detail
AAPL,2023-05-29,2023-06-01,2023-05-31,empty_option_chain,asof=2023-05-31 exp_req=2023-06-01 exp_used=2023-06-01 conv=FRI
PLTR,2023-05-29,2023-06-01,2023-05-31,empty_option_chain,asof=2023-05-31 exp_req=2023-06-01 exp_used=2023-06-01 conv=FRI
MSFT,2023-05-29,2023-06-01,2023-05-31,empty_option_chain,asof=2023-05-31 exp_req=2023-06-01 exp_used=2023-06-01 conv=FRI
GOOGL,2023-05-29,2023-06-01,2023-05-31,empty_option_chain,asof=2023-05-31 exp_req=2023-06-01 exp_used=2023-06-01 conv=FRI
QQQ,2023-05-29,2023-06-01,2023-05-31,empty_option_chain,asof=2023-05-31 exp_req=2023-06-01 exp_used=2023-06-01 conv=FRI
META,2023-05-29,2023-06-01,2023-05-31,empty_option_chain,asof=2023-05-31 exp_req=2023-06-01 exp_used=2023-06-01 conv=FRI
NVDA,2023-05-29,2023-06-01,2023-05-31,empty_option_chain,asof=2023-05-31 exp_req=2023-06-01 exp_used=2023-06-01 conv=FRI
AMZN,2023-05-29,2023-06-01,2023-05-31,empty_option_chain,asof=2023-05-31 exp_req=2023-06-01 exp_used=2023-06-01 conv=FRI
AAPL,2023-05-29,2023-06-02,2023-06-01,too_few_in_prn_band,kept=3 need=7 inside=10 used_abslogm=0.0700 spot_scale=split_adj moneyness_ref=forward
GOOGL,2023-05-29,2023-06-02,2023-06-01,too_few_in_prn_band,kept=5 need=7 inside=15 used_abslogm=0.0600 spot_scale=split_adj moneyness_ref=forward
MSFT,2023-05-29,2023-06-02,2023-06-01,too_few_in_prn_band,kept=5 need=7 inside=16 used_abslogm=0.0600 spot_scale=split_adj moneyness_ref=forward
META,2023-05-29,2023-06-02,2023-06-01,too_few_in_prn_band,kept=5 need=7 inside=13 used_abslogm=0.0600 spot_scale=split_adj moneyness_ref=forward
AMZN,2023-05-29,2023-06-02,2023-06-01,too_few_in_prn_band,kept=6 need=7 inside=15 used_abslogm=0.0600 spot_scale=split_adj moneyness_ref=forward
PLTR,2023-05-29,2023-06-02,2023-06-01,thin_band_inside,inside=6 raw=6 spot_scale=split_adj used_abslogm=0.1000 moneyness_ref=forward spot_ref=14.541194 spot=14.540000 splits_preload=0
SPY,2023-05-29,2023-06-01,2023-05-31,empty_option_chain,asof=2023-05-31 exp_req=2023-06-01 exp_used=2023-06-01 conv=FRI
IWM,2023-05-29,2023-06-01,2023-05-31,empty_option_chain,asof=2023-05-31 exp_req=2023-06-01 exp_used=2023-06-01 conv=FRI
TSLA,2023-05-29,2023-06-01,2023-05-31,empty_option_chain,asof=2023-05-31 exp_req=2023-06-01 exp_used=2023-06-01 conv=FRI
NFLX,2023-05-29,2023-06-01,2023-05-31,empty_option_chain,asof=2023-05-31 exp_req=2023-06-01 exp_used=2023-06-01 conv=FRI
AAPL,2023-06-05,2023-06-06,2023-06-05,empty_option_chain,asof=2023-06-05 exp_req=2023-06-06 exp_used=2023-06-06 conv=FRI
GOOGL,2023-06-05,2023-06-06,2023-06-05,empty_option_chain,asof=2023-06-05 exp_req=2023-06-06 exp_used=2023-06-06 conv=FRI
MSFT,2023-06-05,2023-06-06,2023-06-05,empty_option_chain,asof=2023-06-05 exp_req=2023-06-06 exp_used=2023-06-06 conv=FRI
META,2023-06-05,2023-06-06,2023-06-05,empty_option_chain,asof=2023-06-05 exp_req=2023-06-06 exp_used=2023-06-06 conv=FRI
AMZN,2023-06-05,2023-06-06,2023-06-05,empty_option_chain,asof=2023-06-05 exp_req=2023-06-06 exp_used=2023-06-06 conv=FRI
PLTR,2023-06-05,2023-06-06,2023-06-05,empty_option_chain,asof=2023-06-05 exp_req=2023-06-06 exp_used=2023-06-06 conv=FRI
